DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,@ TB,L 6-4,0.2,4,5,5,1,1,1,1,4,40,7,-,L(0-4),BlSv(4),2.45
Jul 21,@ TB,W 3-2,1.0,1,1,1,1,0,2,0,2,15,4,-,-,Sv(10),1.45
Jul 14,vs PHI,W 2-0,1.0,2,0,0,0,0,0,1,4,23,5,-,-,Sv(9),1.28
Jul 11,vs MIL,W 5-4,1.0,0,0,0,0,3,3,0,0,32,6,-,-,-,1.31
Jul 9,vs MIL,W 4-3,1.0,0,0,0,0,0,1,1,1,13,3,-,-,-,1.34
Jul 8,@ WSH,W 10-2,1.0,1,0,0,0,1,1,2,1,14,5,-,-,-,1.37
Jul 6,@ WSH,L 3-2,0.0,1,1,1,1,0,0,0,1,5,1,-,L(0-3),-,INF
Jul 3,vs TB,L 9-6,1.0,2,0,0,0,1,3,2,0,29,6,-,-,-,1.17
Jul 2,vs TB,W 3-2,1.0,2,1,1,0,1,0,1,4,19,6,-,-,BlSv(3),1.21
Jun 30,vs NYM,W 5-2,1.0,0,0,0,0,0,2,0,1,10,3,-,-,Sv(8),0.99
Jun 29,vs NYM,W 8-2,1.0,1,0,0,0,1,2,0,2,20,5,-,-,-,1.02
Jun 24,@ COL,W 8-5,1.0,0,0,0,0,0,0,1,2,10,3,-,-,Sv(7),1.05
Jun 23,@ COL,W 6-2,1.0,0,0,0,0,0,1,0,2,16,3,-,-,-,1.08
Jun 18,@ SF,W 5-4,1.0,0,0,0,0,0,1,1,1,11,3,-,-,Sv(6),1.11
Jun 15,@ BAL,W 2-0,1.0,0,0,0,0,0,2,1,0,14,3,-,-,Sv(5),1.15
Jun 14,vs SF,L 6-3,1.0,0,0,0,0,1,1,1,0,13,3,-,-,-,1.19
Jun 12,vs SF,W 3-1,1.0,0,0,0,0,0,1,2,0,14,3,-,-,Sv(4),1.23
Jun 11,vs SF,W 7-5,1.0,0,0,0,0,0,1,2,0,11,3,-,-,Sv(3),1.27
Jun 8,vs SD,W 4-0,1.0,0,0,0,0,0,1,0,2,12,3,-,-,-,1.32
Jun 5,@ STL,W 7-4,1.0,0,0,0,0,0,0,1,2,13,3,-,-,Sv(2),1.37
Jun 2,@ ARI,L 6-2,1.0,0,0,0,0,0,0,2,1,16,3,-,-,-,1.42
May 30,@ SD,L 3-2,1.0,0,0,0,0,1,1,1,1,15,4,-,-,H(7),1.48
May 26,vs WSH,L 4-1,0.2,0,0,0,0,1,0,1,1,17,3,-,-,-,1.54
May 22,@ NYM,W 5-1,1.0,1,0,0,0,1,0,2,1,17,4,-,-,-,1.59
May 20,@ ATL,L 10-9,1.0,0,0,0,0,0,0,2,1,10,3,-,-,-,1.66
May 18,@ ATL,W 2-0,1.0,0,0,0,0,0,0,3,0,13,3,-,-,H(6),1.74
May 16,vs LAD,W 6-5,1.0,0,0,0,0,0,1,2,1,15,5,-,-,H(5),1.83
May 15,vs LAD,W 4-2,1.0,0,0,0,0,0,1,1,1,15,3,-,-,H(4),1.93
May 13,vs ATL,L 4-3,1.0,0,0,0,0,1,1,0,2,15,4,-,-,-,2.04
May 11,vs ATL,W 6-3,1.0,0,0,0,0,0,0,0,3,12,3,-,-,H(3),2.16
May 8,@ CHC,L 4-3,1.0,0,1,1,0,1,0,3,1,25,5,-,L(0-2),-,2.30
May 6,@ CIN,W 8-5,1.0,1,0,0,0,0,0,1,3,17,4,-,-,H(2),1.84
May 5,@ CIN,W 6-0,1.0,0,0,0,0,1,1,1,0,12,3,-,-,-,1.98
Apr 30,vs PHI,W 8-4,1.0,1,0,0,0,2,1,1,2,28,6,-,-,H(1),2.13
Apr 28,vs COL,W 4-1,1.0,0,0,0,0,0,3,0,0,21,4,-,-,Sv(1),2.31
Apr 27,vs COL,L 1-0,1.0,0,0,0,0,3,2,1,0,19,6,-,-,-,2.53
Apr 23,@ LAD,L 2-1,1.0,2,1,1,0,0,1,1,3,24,5,-,L(0-1),-,2.79
Apr 21,@ MIL,L 6-5,1.0,0,1,0,0,2,0,1,2,21,5,-,-,BlSv(2),2.08
Apr 20,@ MIL,L 8-0,1.0,0,0,0,0,0,2,1,0,13,3,-,-,-,2.35
Apr 17,@ NYY,W 9-1,1.0,1,0,0,0,0,2,1,1,21,4,-,-,-,2.70
Apr 13,vs PIT,W 7-2,1.0,0,0,0,0,0,3,0,0,15,3,-,-,-,3.18
Apr 10,vs NYM,L 8-6,1.0,2,2,2,2,0,1,2,2,17,5,-,-,BlSv(1),3.86
Apr 9,vs NYM,L 4-2,0.2,1,0,0,0,1,2,1,1,25,5,-,-,-,0.00
Apr 3,vs BOS,L 4-2,1.0,0,0,0,0,0,1,2,0,11,3,-,-,-,0.00
Apr 1,vs CHC,W 6-0,1.0,0,0,0,0,0,2,0,1,10,3,-,-,-,0.00
Mar 30,vs CHC,W 2-1,1.0,0,0,0,0,1,2,0,1,17,4,-,-,-,0.00
