DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,@ KC,L 4-2,5.0,3,3,3,1,6,6,6,6,118,24,49,L(7-8),-,5.23
Jul 11,vs KC,W 8-5,5.0,5,4,3,2,3,6,7,7,114,24,46,W(7-7),-,5.22
Jul 6,vs BAL,W 6-2,6.0,6,1,1,0,2,3,12,8,105,25,57,W(6-7),-,5.21
Jul 1,@ CHC,L 11-10,1.2,5,7,7,1,3,1,4,6,62,14,-,L(5-7),-,5.49
Jun 26,@ CHW,L 8-4,5.0,8,5,4,0,1,8,9,6,90,25,-,L(5-6),-,4.81
Jun 20,vs BOS,W 4-1,5.0,3,1,0,0,5,2,10,5,97,22,56,W(5-5),-,4.64
Jun 14,@ DET,L 3-1,6.2,5,3,3,1,1,9,8,8,114,27,60,L(4-5),-,4.98
Jun 8,vs LAA,L 4-2,6.0,4,1,1,0,2,7,6,9,105,24,65,-,-,5.08
Jun 2,vs CLE,W 7-1,6.0,2,1,1,0,5,5,8,6,113,25,-,W(4-4),-,5.46
May 28,@ KC,W 8-5,6.0,6,2,2,0,3,5,8,11,91,27,54,W(3-4),-,5.94
May 22,vs DET,W 6-0,6.2,5,0,0,0,1,4,16,4,100,26,67,W(2-4),-,6.34
May 16,vs STL,L 7-5,3.0,4,3,3,0,4,5,1,6,82,16,40,L(1-4),-,7.47
May 11,@ LAA,W 5-4,4.2,8,4,4,1,2,3,8,10,99,23,33,-,-,7.34
May 5,@ CHW,W 8-4,6.0,8,2,2,0,0,7,7,10,97,24,55,W(1-3),-,7.28
Apr 30,vs TOR,L 7-5,5.0,7,6,6,2,5,4,10,8,98,27,28,L(0-3),-,8.37
Apr 25,@ NYY,L 7-4,3.2,7,6,6,2,3,3,7,8,88,21,23,L(0-2),-,7.71
Apr 20,@ TB,L 8-7,6.0,7,5,5,0,5,7,9,6,95,27,-,-,-,6.00
Apr 9,vs HOU,L 2-0,5.0,3,0,0,0,4,9,4,4,105,21,66,-,-,5.00
Apr 2,@ PIT,L 5-4,4.0,3,5,5,1,6,3,6,6,95,21,-,L(0-1),-,11.25
