DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CHC,L 8-4,5,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 30,vs CHC,W 2-1,8,1,4,0,0,0,0,0,1,0,0,.308,.308,.616,.308
Mar 31,vs CHC,L 10-6,4,1,1,0,0,0,1,0,3,0,0,.333,.294,.627,.294
Apr 1,vs CHC,W 6-0,3,1,0,0,0,0,0,1,1,0,0,.318,.250,.568,.250
Apr 2,vs BOS,L 7-3,5,0,2,0,0,0,0,0,0,0,0,.333,.280,.613,.280
Apr 3,vs BOS,L 4-2,6,0,0,0,0,0,0,0,2,0,0,.273,.226,.499,.226
Apr 5,@ PHI,L 5-0,4,0,0,0,0,0,0,0,4,0,0,.243,.200,.443,.200
Apr 7,@ PHI,L 20-1,3,0,0,0,0,0,0,1,0,0,0,.244,.184,.428,.184
Apr 8,@ PHI,W 6-3,3,0,0,0,0,0,0,0,2,0,0,.227,.171,.398,.171
Apr 9,vs NYM,L 4-2,2,0,0,0,0,0,0,0,1,0,0,.217,.163,.380,.163
Apr 10,vs NYM,L 8-6,4,0,0,0,0,0,0,0,1,0,0,.200,.149,.349,.149
Apr 11,vs NYM,L 4-1,3,0,0,0,0,0,0,0,2,0,0,.189,.140,.329,.140
Apr 13,vs PIT,W 7-2,3,0,1,0,0,0,0,1,0,1,0,.211,.151,.362,.151
Apr 14,vs PIT,L 1-0,4,0,0,0,0,0,0,0,0,0,0,.197,.140,.337,.140
Apr 15,vs PIT,L 7-3,4,0,0,0,0,0,0,0,3,0,0,.185,.131,.316,.131
Apr 16,@ NYY,L 12-1,Did not play
Apr 17,@ NYY,W 9-1,0,0,0,0,0,0,0,0,0,0,0,.185,.131,.316,.131
Apr 19,@ MIL,L 12-3,3,2,2,0,0,2,3,0,1,0,0,.206,.250,.456,.156
Apr 20,@ MIL,L 8-0,2,0,0,0,0,0,0,0,2,0,0,.200,.242,.442,.152
Apr 21,@ MIL,L 6-5,4,1,1,0,0,1,3,0,3,0,0,.203,.286,.489,.157
Apr 22,@ MIL,L 4-2,3,0,0,0,0,0,0,0,2,0,0,.205,.274,.479,.151
Apr 23,@ LAD,L 2-1,3,0,0,0,0,0,0,1,2,0,0,.207,.263,.470,.145
Apr 24,@ LAD,W 3-2,4,0,1,1,0,0,0,0,3,0,0,.209,.275,.484,.150
Apr 25,@ LAD,W 8-6,2,0,0,0,0,0,0,1,1,0,0,.213,.268,.481,.146
Apr 27,vs COL,L 1-0,4,0,1,0,0,0,0,0,1,0,0,.215,.267,.482,.151
Apr 28,vs COL,W 4-1,3,1,1,1,0,0,0,1,1,0,0,.227,.281,.508,.157
Apr 29,vs COL,W 3-0,3,0,1,0,0,0,1,0,0,0,0,.230,.283,.513,.163
Apr 30,vs PHI,W 8-4,4,0,1,0,0,0,1,0,1,0,0,.231,.281,.512,.167
May 1,vs PHI,W 2-1,2,0,0,0,0,0,0,0,0,0,0,.226,.276,.502,.163
May 2,vs PHI,L 6-0,2,0,1,0,0,0,0,1,1,0,1,.239,.280,.519,.170
May 4,@ CIN,L 4-1,3,1,1,0,0,1,1,0,1,0,0,.241,.311,.552,.175
May 5,@ CIN,W 6-0,4,0,0,0,0,0,0,0,3,0,0,.233,.299,.532,.168
May 6,@ CIN,W 8-5,3,0,0,0,0,0,1,0,1,0,0,.227,.291,.518,.164
May 7,@ CHC,L 14-2,Did not play
May 8,@ CHC,L 4-3,4,0,1,0,0,0,0,0,1,0,0,.228,.289,.517,.167
May 9,@ CHC,L 13-4,4,0,1,0,0,0,0,0,1,0,0,.228,.288,.516,.169
May 10,vs ATL,L 9-2,4,2,1,0,0,1,1,0,1,0,0,.229,.311,.540,.172
May 11,vs ATL,W 6-3,4,0,1,0,0,0,1,0,2,0,0,.230,.310,.540,.175
May 12,vs ATL,L 10-5,4,0,1,0,0,0,0,0,0,0,0,.230,.308,.538,.177
May 13,vs ATL,L 4-3,4,0,0,0,0,0,0,0,1,0,0,.224,.299,.523,.172
May 15,vs LAD,W 4-2,2,0,1,0,0,0,0,0,1,0,0,.228,.301,.529,.176
May 16,vs LAD,W 6-5,4,0,0,0,0,0,0,0,2,0,0,.221,.293,.514,.171
May 17,vs LAD,L 7-0,3,0,0,0,0,0,0,0,1,0,0,.217,.287,.504,.168
May 18,@ ATL,W 2-0,3,0,0,0,0,0,0,0,0,0,0,.213,.281,.494,.164
May 19,@ ATL,L 8-1,4,0,0,0,0,0,0,0,0,0,0,.208,.273,.481,.160
May 20,@ ATL,L 10-9,5,1,2,0,0,1,4,0,0,0,0,.213,.297,.510,.168
May 21,@ NYM,L 2-0,4,0,0,0,0,0,0,0,2,0,0,.208,.289,.497,.164
May 22,@ NYM,W 5-1,4,0,0,0,0,0,0,0,2,0,0,.203,.282,.485,.160
May 23,@ NYM,W 2-1,4,0,1,0,0,0,0,0,1,0,0,.205,.281,.486,.162
May 25,vs WSH,L 9-5,3,0,0,0,0,0,0,1,1,0,0,.206,.276,.482,.159
May 26,vs WSH,L 4-1,3,0,0,0,0,0,0,0,1,0,0,.202,.272,.474,.156
May 27,vs WSH,L 5-2,4,0,1,0,0,0,0,0,1,0,0,.203,.271,.474,.158
May 28,@ SD,W 7-2,4,0,0,0,0,0,0,0,1,0,0,.199,.265,.464,.155
May 29,@ SD,L 9-5,4,0,1,0,0,0,0,0,1,0,0,.200,.265,.465,.157
May 30,@ SD,L 3-2,2,0,0,0,0,0,0,0,1,0,0,.202,.262,.464,.155
May 31,@ SD,L 8-3,4,0,0,0,0,0,0,0,2,0,0,.198,.257,.455,.152
Jun 1,@ ARI,L 9-1,3,0,1,0,0,0,1,1,2,0,0,.204,.258,.462,.155
Jun 2,@ ARI,L 6-2,1,1,1,0,0,1,1,0,0,0,0,.208,.277,.485,.159
Jun 3,@ ARI,L 6-1,3,0,1,1,0,0,0,0,1,0,0,.210,.283,.493,.162
Jun 5,@ STL,W 7-4,1,0,0,0,0,0,0,0,1,0,0,.209,.281,.490,.161
Jun 6,@ STL,W 11-3,5,2,3,0,0,2,2,0,1,0,0,.218,.319,.537,.172
Jun 7,@ STL,L 4-1,4,0,0,0,0,0,0,0,0,0,0,.214,.313,.527,.168
Jun 8,vs SD,W 4-0,2,0,0,0,0,0,1,1,2,0,0,.214,.310,.524,.167
Jun 9,vs SD,L 5-4,1,0,0,0,0,0,0,0,0,0,0,.213,.308,.521,.166
Jun 10,vs SD,L 3-1,4,1,0,0,0,0,0,0,1,0,0,.210,.302,.512,.163
Jun 11,vs SF,W 7-5,4,0,2,0,1,0,2,0,0,0,0,.215,.315,.530,.169
Jun 12,vs SF,W 3-1,1,0,0,0,0,0,0,0,0,0,0,.214,.314,.528,.168
Jun 13,vs SF,W 5-4,4,0,1,0,0,0,1,0,1,0,0,.214,.313,.527,.170
Jun 14,vs SF,L 6-3,6,0,2,0,0,0,1,0,1,0,0,.216,.313,.529,.174
Jun 15,@ BAL,W 2-0,4,0,2,0,2,0,1,0,1,0,0,.221,.333,.554,.179
Jun 16,@ BAL,W 5-4,4,0,0,0,0,0,0,0,1,0,0,.217,.328,.545,.176
Jun 17,@ BAL,L 10-4,Did not play
Jun 18,@ SF,W 5-4,3,1,2,1,0,0,1,1,1,0,0,.226,.336,.562,.183
Jun 19,@ SF,L 6-3,3,0,0,0,0,0,0,0,2,0,0,.226,.332,.558,.180
Jun 20,@ SF,L 6-5,4,1,1,1,0,0,0,0,1,0,0,.226,.335,.561,.181
Jun 22,@ COL,L 11-3,4,0,0,0,0,0,0,0,3,0,0,.223,.329,.552,.179
Jun 23,@ COL,W 6-2,4,0,0,0,0,0,0,0,1,0,0,.220,.324,.544,.176
Jun 24,@ COL,W 8-5,1,1,1,0,1,0,1,0,0,0,0,.223,.335,.558,.179
Jun 25,vs ARI,W 9-5,3,1,0,0,0,0,0,1,1,0,0,.223,.331,.554,.177
Jun 26,vs ARI,L 5-3,4,0,1,0,0,0,0,0,0,0,0,.223,.330,.553,.178
Jun 27,vs ARI,L 2-1,4,0,0,0,0,0,0,0,2,0,0,.220,.325,.545,.175
Jun 28,vs ARI,L 4-0,1,0,1,0,0,0,0,0,0,0,0,.223,.327,.550,.178
Jun 29,vs NYM,W 8-2,4,2,3,1,0,1,1,0,0,0,0,.230,.348,.578,.187
Jun 30,vs NYM,W 5-2,4,0,1,0,0,0,0,0,2,0,0,.231,.347,.578,.188
