DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ SD,W 2-1,5,0,3,0,0,0,0,0,0,1,0,.600,.600,1.200,.600
Mar 30,@ SD,W 8-6,5,2,2,2,0,0,1,0,0,1,0,.500,.700,1.200,.500
Mar 31,@ SD,W 7-3,4,1,3,1,0,0,2,1,0,1,0,.600,.786,1.386,.571
Apr 2,vs STL,L 8-4,4,1,1,0,0,1,1,0,0,0,0,.526,.833,1.359,.500
Apr 3,vs STL,W 5-4,4,0,0,0,0,0,0,1,3,0,0,.458,.682,1.140,.409
Apr 4,vs STL,L 6-0,3,0,0,0,0,0,0,1,1,0,0,.429,.600,1.029,.360
Apr 5,vs CHC,L 8-0,4,0,0,0,0,0,0,0,1,0,0,.375,.517,.892,.310
Apr 6,vs CHC,W 5-4,5,0,1,1,0,0,0,0,1,0,0,.351,.500,.851,.294
Apr 7,vs CHC,L 5-2,3,0,0,0,0,0,1,0,0,0,0,.317,.459,.776,.270
Apr 8,vs CHC,L 3-0,4,0,2,0,0,0,0,0,1,0,1,.333,.463,.796,.293
Apr 9,@ STL,W 5-4,5,0,1,0,0,0,0,0,1,0,0,.320,.435,.755,.283
Apr 10,@ STL,L 5-3,Did not play
Apr 11,@ STL,W 3-2,Did not play
Apr 13,@ NYM,L 6-5,3,0,1,0,0,0,0,2,1,1,0,.345,.429,.774,.286
Apr 14,@ NYM,W 5-1,5,0,1,0,0,0,0,0,1,0,0,.333,.407,.740,.278
Apr 15,@ NYM,L 3-2,1,1,0,0,0,0,0,3,1,0,0,.359,.400,.759,.273
Apr 16,vs CIN,L 10-4,4,0,1,0,0,0,0,0,1,0,0,.353,.390,.743,.271
Apr 17,vs CIN,W 2-0,3,1,1,0,0,0,0,1,1,0,0,.361,.387,.748,.274
Apr 18,vs CIN,W 2-0,0,0,0,0,0,0,0,0,0,0,0,.361,.387,.748,.274
Apr 19,vs MIA,W 12-3,4,4,3,2,0,1,2,1,1,0,0,.390,.485,.875,.303
Apr 20,vs MIA,W 8-0,3,2,1,0,0,0,0,2,2,0,0,.402,.478,.880,.304
Apr 21,vs MIA,W 6-5,4,0,1,0,0,0,0,0,0,0,0,.395,.466,.861,.301
Apr 22,vs MIA,W 4-2,3,2,1,0,0,0,0,1,0,1,0,.400,.461,.861,.303
Apr 24,@ KC,W 5-2,3,2,2,0,0,1,1,2,0,0,0,.421,.506,.927,.316
Apr 25,@ KC,W 6-2,5,0,0,0,0,0,0,0,1,0,0,.400,.476,.876,.298
Apr 26,@ CHC,L 1-0,4,0,1,0,0,0,0,0,0,0,0,.394,.466,.860,.295
Apr 27,@ CHC,L 3-2,2,1,1,0,0,0,0,2,0,1,0,.407,.467,.874,.300
Apr 28,@ CHC,L 3-0,3,0,1,1,0,0,0,1,1,0,0,.411,.473,.884,.301
Apr 29,@ CHC,L 2-0,3,0,0,0,0,0,0,1,1,1,0,.405,.458,.863,.292
Apr 30,@ CIN,W 6-5,4,1,1,0,0,1,2,1,0,1,0,.405,.480,.885,.290
May 1,@ CIN,W 7-6,4,0,0,0,0,0,0,0,0,0,0,.392,.462,.854,.279
May 2,@ CIN,W 3-1,0,0,0,0,0,0,0,1,0,0,0,.397,.462,.859,.279
May 4,vs PIT,L 6-4,5,0,0,0,0,0,0,0,3,0,0,.382,.440,.822,.266
May 5,vs PIT,W 5-3,4,1,2,0,0,0,0,1,1,0,0,.390,.442,.832,.274
May 6,vs PIT,L 9-0,3,0,0,0,0,0,0,0,0,0,0,.381,.431,.812,.267
May 8,vs CLE,W 3-2,4,0,1,0,0,0,0,0,2,0,0,.378,.425,.803,.267
May 9,vs CLE,L 6-2,4,1,2,1,0,0,0,0,1,0,0,.381,.435,.816,.274
May 10,@ COL,W 5-2,3,1,2,0,0,1,2,2,0,0,1,.395,.465,.860,.283
May 11,@ COL,W 11-10,6,3,3,1,0,0,1,0,2,0,0,.399,.474,.873,.293
May 12,@ COL,L 4-0,4,0,1,0,0,0,0,0,2,0,0,.395,.467,.862,.292
May 13,@ COL,W 7-3,Did not play
May 14,@ ARI,W 7-2,4,0,0,0,0,0,0,1,1,1,0,.389,.454,.843,.284
May 15,@ ARI,L 2-1,4,0,0,0,0,0,0,0,1,0,0,.380,.441,.821,.276
May 16,@ ARI,W 8-2,3,2,1,0,0,0,0,2,0,1,0,.386,.439,.825,.277
May 18,@ MIN,W 8-3,5,0,1,1,0,0,1,0,1,0,0,.381,.438,.819,.275
May 19,@ MIN,W 5-4,2,1,0,0,0,0,0,1,1,0,0,.384,.432,.816,.271
May 20,@ MIN,L 3-1,4,0,1,0,0,0,0,0,2,0,0,.381,.428,.809,.270
May 21,vs ARI,W 4-2,4,2,2,0,0,1,1,0,0,0,0,.383,.448,.831,.276
May 22,vs ARI,W 1-0,3,0,2,0,0,0,0,1,0,0,1,.391,.452,.843,.283
May 23,vs ARI,W 9-2,Did not play
May 24,vs NYM,L 5-0,4,0,1,0,0,0,0,0,0,0,0,.388,.447,.835,.282
May 25,vs NYM,W 4-3,5,1,1,0,0,0,0,0,1,1,0,.383,.440,.823,.280
May 26,vs NYM,W 17-6,4,3,3,1,0,0,1,2,0,0,0,.396,.453,.849,.291
May 27,vs NYM,W 8-7,4,2,2,0,0,0,0,1,1,0,0,.401,.454,.855,.295
May 28,vs STL,W 8-3,4,0,0,0,0,0,0,1,0,0,0,.396,.444,.840,.289
May 29,vs STL,L 6-1,4,0,0,0,0,0,0,0,2,0,0,.389,.435,.824,.283
May 30,vs STL,W 3-2,4,0,1,0,0,0,0,1,1,0,0,.390,.431,.821,.282
Jun 1,@ CHW,L 8-3,3,0,0,0,0,0,0,2,0,0,0,.390,.424,.814,.278
Jun 2,@ CHW,W 5-0,4,1,1,0,0,1,1,0,2,0,0,.388,.436,.824,.277
Jun 3,@ CHW,L 6-1,3,0,0,0,0,0,0,1,2,0,0,.385,.429,.814,.273
Jun 5,@ CLE,L 3-2,4,0,2,0,0,0,1,0,0,0,0,.387,.431,.818,.278
Jun 6,@ CLE,L 3-1,4,0,2,0,0,0,0,0,0,0,0,.389,.432,.821,.282
Jun 8,@ PHI,W 12-4,5,1,2,1,0,0,2,0,0,0,0,.389,.436,.825,.284
Jun 9,@ PHI,W 12-3,6,0,1,0,0,0,0,0,1,1,0,.384,.429,.813,.281
Jun 10,@ PHI,L 4-3,5,0,2,1,0,0,1,0,1,0,0,.384,.432,.816,.284
Jun 11,vs CHC,L 7-2,4,0,2,0,0,0,0,1,0,0,0,.388,.433,.821,.288
Jun 12,vs CHC,W 4-0,4,2,0,0,0,0,0,0,0,0,0,.383,.426,.809,.283
Jun 13,vs CHC,W 1-0,3,1,2,0,0,1,1,1,0,1,0,.388,.442,.830,.288
Jun 15,vs PHI,W 13-2,5,2,2,1,0,0,2,0,1,1,0,.388,.445,.833,.290
Jun 16,vs PHI,L 4-1,4,0,1,0,0,0,0,0,0,0,0,.386,.442,.828,.289
Jun 17,vs PHI,L 10-9,2,1,1,1,0,0,1,3,0,1,0,.393,.446,.839,.291
Jun 18,@ PIT,L 1-0,4,0,0,0,0,0,0,0,2,0,0,.388,.439,.827,.286
Jun 19,@ PIT,W 3-2,4,2,2,0,0,0,0,0,1,0,0,.389,.440,.829,.290
Jun 21,vs STL,W 11-3,3,2,2,0,0,0,1,0,0,1,0,.392,.443,.835,.294
Jun 22,vs STL,W 2-1,2,0,0,0,0,0,0,1,2,0,0,.394,.439,.833,.292
Jun 23,vs STL,L 3-2,1,1,0,0,0,0,0,0,0,0,0,.394,.438,.832,.291
Jun 24,vs STL,L 8-2,Did not play
Jun 26,vs KC,W 5-1,Did not play
Jun 27,vs KC,L 5-4,Did not play
Jun 28,@ CIN,W 6-4,Did not play
Jun 29,@ CIN,W 8-2,Did not play
Jun 30,@ CIN,L 12-3,Did not play
Jul 1,@ CIN,L 8-2,Did not play
Jul 2,vs MIN,W 6-5,Did not play
Jul 3,vs MIN,W 2-0,Did not play
Jul 4,vs MIN,W 3-2,Did not play
Jul 5,vs ATL,W 7-2,Did not play
Jul 6,vs ATL,W 5-4,Did not play
Jul 7,vs ATL,L 5-1,Did not play
Jul 8,vs ATL,W 10-3,4,2,1,0,0,0,0,1,0,0,0,.394,.435,.829,.290
Jul 9,@ MIA,L 4-3,4,0,3,0,0,0,1,1,0,1,0,.401,.440,.841,.297
Jul 10,@ MIA,W 8-4,Did not play
Jul 11,@ MIA,L 5-4,5,0,2,0,0,0,0,1,2,0,0,.402,.439,.841,.299
Jul 12,@ PIT,L 6-3,4,0,0,0,0,0,0,1,3,0,0,.399,.433,.832,.294
Jul 13,@ PIT,L 7-3,4,0,1,0,0,0,0,0,0,0,0,.398,.430,.828,.294
Jul 14,@ PIT,L 2-1,4,0,2,1,0,0,0,0,0,1,0,.399,.434,.833,.297
Jul 14,@ PIT,L 6-2,5,0,2,0,0,0,0,0,1,0,0,.399,.434,.833,.298
Jul 15,@ PIT,L 7-6,5,0,0,0,0,0,0,0,0,0,1,.393,.427,.820,.293
Jul 20,vs LAD,L 6-4,5,0,0,0,0,0,0,0,3,0,0,.388,.420,.808,.289
Jul 21,vs LAD,W 4-2,4,0,1,0,0,0,0,0,1,0,0,.386,.417,.803,.288
Jul 22,vs LAD,L 11-2,2,0,2,0,0,0,0,1,0,0,0,.391,.421,.812,.293
Jul 23,vs WSH,W 6-1,3,0,0,0,0,0,0,1,1,0,0,.390,.417,.807,.290
Jul 24,vs WSH,W 5-4,5,2,4,0,0,0,1,0,0,0,0,.395,.423,.818,.298
Jul 25,vs WSH,L 7-3,2,0,0,0,0,0,0,1,0,0,0,.395,.421,.816,.296
