DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,vs SF,W 6-5,0.1,2,1,1,0,0,1,0,2,10,3,-,-,BlSv(2),1.36
Jul 21,vs SF,W 4-3,1.2,1,0,0,0,0,3,1,2,24,6,-,-,H(13),1.17
Jul 15,@ SF,W 6-2,1.0,0,0,0,0,1,0,2,0,12,3,-,-,H(12),1.22
Jul 14,@ SF,W 4-3,2.0,0,0,0,0,2,3,1,2,36,8,-,-,H(11),1.25
Jul 12,@ HOU,W 6-4,1.0,0,0,0,0,0,2,1,0,14,3,-,-,Sv(4),1.31
Jul 9,@ HOU,W 2-0,2.0,0,0,0,0,0,3,3,0,19,6,-,-,H(10),1.34
Jul 7,@ CLE,W 6-3,2.0,3,0,0,0,0,3,2,3,30,8,-,-,-,1.41
Jul 4,vs SD,W 4-2,0.2,0,0,0,0,2,0,0,2,11,4,-,W(7-1),-,1.49
Jul 3,vs SD,W 6-2,1.0,0,0,0,0,1,0,1,2,21,4,-,-,-,1.51
Jun 30,vs CLE,W 7-2,0.2,0,0,0,0,0,0,1,0,3,1,-,-,Sv(3),1.56
Jun 28,@ DET,W 4-2,1.0,0,0,0,0,0,2,1,0,16,3,-,-,H(9),1.59
Jun 27,@ DET,W 3-0,1.0,0,0,0,0,0,1,1,1,14,3,-,-,Sv(2),1.64
Jun 25,@ DET,W 5-4,1.2,1,1,1,1,0,2,2,3,27,7,-,W(6-1),-,1.69
Jun 23,@ CHW,W 7-6,1.2,0,0,0,0,0,4,1,0,18,5,-,W(5-1),BlSv(1),1.48
Jun 19,@ SD,W 4-2,2.0,0,0,0,0,0,2,2,2,22,6,-,W(4-1),-,1.57
Jun 16,vs LAA,W 6-4,1.0,1,0,0,0,0,1,2,1,12,4,-,-,H(8),1.69
Jun 15,vs LAA,L 8-4,1.0,0,0,0,0,0,0,3,0,9,3,-,-,-,1.75
Jun 8,vs KC,W 7-2,1.1,0,0,0,0,0,2,2,0,13,4,-,-,Sv(1),1.82
Jun 7,vs KC,W 4-1,1.0,1,0,0,0,0,1,1,2,20,4,-,-,H(7),1.93
Jun 5,@ TEX,L 7-4,0.1,2,3,3,2,1,1,0,2,13,4,-,L(3-1),-,2.01
Jun 3,@ KC,W 5-1,2.0,0,0,0,0,1,2,3,1,26,7,-,W(3-0),-,0.82
May 28,vs TB,L 1-0,1.0,0,0,0,0,1,1,1,1,17,4,-,-,-,0.90
May 27,vs ARI,W 2-1,1.0,0,0,0,0,0,2,1,0,14,3,-,-,H(6),0.95
May 24,vs SEA,W 4-3,0.2,2,1,1,0,1,0,1,2,15,4,-,-,H(5),1.00
May 22,vs SEA,L 3-2,1.0,0,0,0,0,1,3,0,0,18,4,-,-,-,0.52
May 19,@ TOR,W 5-4,1.0,0,0,0,0,1,0,0,3,16,4,-,-,H(4),0.55
May 17,@ TOR,W 10-5,1.1,1,0,0,0,1,0,4,1,19,6,-,-,-,0.59
May 15,@ BOS,W 5-3,2.0,1,0,0,0,1,2,2,3,30,8,-,-,H(3),0.64
May 11,@ NYY,W 10-5,0.0,0,0,0,0,2,0,0,0,10,2,-,-,-,0.75
May 8,vs HOU,L 4-2,1.1,2,0,0,0,0,2,2,2,17,6,-,-,-,0.75
May 6,vs BAL,W 2-1,1.0,0,0,0,0,0,0,2,1,6,3,-,-,H(2),0.84
May 4,vs BAL,W 6-4,1.2,1,0,0,0,1,1,2,2,12,6,-,W(2-0),-,0.93
May 3,@ SEA,L 4-1,1.0,1,0,0,0,0,0,4,0,13,4,-,-,-,1.13
May 1,@ SEA,L 6-3,1.1,2,1,1,0,1,1,3,2,19,7,-,-,-,1.29
Apr 28,@ HOU,L 11-0,1.0,0,0,0,0,0,1,0,2,10,3,-,-,-,0.00
Apr 24,@ TEX,W 3-2,0.2,1,0,0,0,0,2,0,1,16,3,-,-,H(1),0.00
Apr 18,vs CHW,W 12-11,3.0,2,0,0,0,0,4,2,5,49,11,-,W(1-0),-,0.00
Apr 17,vs CHW,W 10-2,1.0,2,0,0,0,1,2,1,2,25,6,-,-,-,0.00
