DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,@ KC,W 5-4,0.1,1,1,1,0,0,0,0,2,6,2,-,-,-,3.77
Jul 22,vs BOS,L 9-1,1.2,0,0,0,0,0,0,0,5,13,5,-,-,-,3.49
Jul 20,vs BOS,L 1-0,0.1,1,0,0,0,0,1,1,0,11,2,-,-,-,3.71
Jul 10,@ TB,L 5-2,1.0,1,0,0,0,2,0,3,1,22,6,-,-,-,3.76
Jul 9,@ TB,L 10-9,0.2,4,2,2,0,1,0,2,3,12,6,-,-,-,3.91
Jul 4,@ CHC,L 5-2,1.0,2,2,2,0,1,2,1,2,22,6,-,-,-,3.28
Jun 29,@ TOR,L 3-2,1.0,0,0,0,0,1,1,1,0,18,3,-,-,-,2.66
Jun 28,vs OAK,L 4-2,1.0,1,0,0,0,0,0,2,1,9,3,-,-,-,2.78
Jun 26,vs OAK,L 9-7,0.1,1,1,1,0,2,0,2,0,19,4,-,-,H(5),2.91
Jun 25,vs OAK,L 5-4,0.2,3,1,1,1,0,1,0,4,16,5,-,-,BlSv(2),2.53
Jun 23,@ CLE,L 4-1,1.0,1,0,0,0,0,0,1,3,16,4,-,-,-,2.18
Jun 20,@ CIN,L 5-3,0.2,0,0,0,0,0,1,0,1,12,2,-,-,-,2.29
Jun 17,@ CHW,W 3-1,1.1,1,0,0,0,0,2,2,1,27,6,-,-,H(4),2.37
Jun 15,@ CHW,W 4-3,1.1,1,0,0,0,0,2,2,0,15,4,-,-,-,2.55
Jun 12,vs MIN,L 6-4,0.2,0,2,2,0,2,1,0,1,23,4,-,L(3-1),H(3),2.76
Jun 9,vs CLE,W 4-2,0.2,2,1,1,1,0,2,0,2,11,4,-,-,BlSv(1),1.72
Jun 6,@ BOS,L 7-1,0.2,2,1,0,0,0,1,0,4,26,6,-,-,-,1.20
Jun 4,vs NYY,W 4-2,1.1,0,0,0,0,2,3,0,1,29,6,-,-,H(2),1.26
Jun 2,vs TOR,W 7-4,1.0,0,0,0,0,0,1,1,1,15,3,-,W(3-0),-,1.38
May 31,vs LAA,W 6-2,1.0,0,0,0,0,0,2,1,0,10,3,-,-,-,1.50
May 30,vs LAA,W 6-1,1.1,0,0,0,0,1,2,0,2,26,5,-,W(2-0),-,1.64
May 28,vs LAA,W 9-3,1.2,1,0,0,0,0,2,1,2,18,5,-,-,-,1.86
May 26,vs CHW,L 8-4,1.0,2,2,2,1,0,0,2,3,15,5,-,-,-,2.25
May 23,@ MIN,W 4-1,1.1,0,0,0,0,0,2,0,2,18,4,-,-,H(1),0.00
May 21,@ MIN,L 4-2,2.0,0,0,0,0,1,1,2,3,30,7,-,-,-,0.00
May 18,@ SEA,L 5-4,1.0,0,0,0,0,0,0,3,0,13,3,-,-,-,0.00
May 15,vs CLE,W 9-8,1.0,2,0,0,0,0,1,2,2,22,5,-,W(1-0),-,0.00
May 12,vs SEA,L 9-5,1.2,1,0,0,0,1,1,1,2,29,6,-,-,-,0.00
