DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ SD,W 2-1,5,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 30,@ SD,W 8-6,4,1,1,0,0,0,0,0,0,0,0,.111,.111,.222,.111
Mar 31,@ SD,W 7-3,Did not play
Apr 2,vs STL,L 8-4,4,1,2,0,0,1,1,0,1,0,0,.231,.462,.693,.231
Apr 3,vs STL,W 5-4,4,0,1,1,0,0,0,0,2,0,0,.235,.471,.706,.235
Apr 4,vs STL,L 6-0,3,0,0,0,0,0,0,1,0,0,0,.238,.400,.638,.200
Apr 5,vs CHC,L 8-0,0,0,0,0,0,0,0,0,0,0,0,.238,.400,.638,.200
Apr 6,vs CHC,W 5-4,4,1,1,0,0,0,0,1,0,0,0,.269,.375,.644,.208
Apr 7,vs CHC,L 5-2,Did not play
Apr 8,vs CHC,L 3-0,3,0,0,0,0,0,0,0,2,0,0,.241,.333,.574,.185
Apr 9,@ STL,W 5-4,4,0,1,0,0,0,2,1,0,0,0,.265,.323,.588,.194
Apr 10,@ STL,L 5-3,1,0,1,0,0,0,0,1,0,0,0,.324,.344,.668,.219
Apr 11,@ STL,W 3-2,Did not play
Apr 13,@ NYM,L 6-5,Did not play
Apr 14,@ NYM,W 5-1,Did not play
Apr 15,@ NYM,L 3-2,Did not play
Apr 16,vs CIN,L 10-4,Did not play
Apr 17,vs CIN,W 2-0,Did not play
Apr 18,vs CIN,W 2-0,Did not play
Apr 19,vs MIA,W 12-3,Did not play
Apr 20,vs MIA,W 8-0,Did not play
Apr 21,vs MIA,W 6-5,Did not play
Apr 22,vs MIA,W 4-2,Did not play
Apr 24,@ KC,W 5-2,4,0,0,0,0,0,0,0,1,0,0,.293,.306,.599,.194
Apr 25,@ KC,W 6-2,4,0,1,0,0,0,0,0,0,0,0,.289,.300,.589,.200
Apr 26,@ CHC,L 1-0,Did not play
Apr 27,@ CHC,L 3-2,4,0,1,0,0,0,0,0,1,0,0,.286,.295,.581,.205
Apr 28,@ CHC,L 3-0,3,0,0,0,0,0,0,0,1,0,0,.269,.277,.546,.191
Apr 29,@ CHC,L 2-0,0,0,0,0,0,0,0,0,0,0,0,.269,.277,.546,.191
Apr 30,@ CIN,W 6-5,4,1,1,0,0,1,1,0,0,0,0,.268,.333,.601,.196
May 1,@ CIN,W 7-6,3,1,0,0,0,0,0,1,1,0,0,.267,.315,.582,.185
May 2,@ CIN,W 3-1,4,0,0,0,0,0,1,0,1,0,0,.250,.293,.543,.172
May 4,vs PIT,L 6-4,3,1,1,0,0,1,1,1,0,0,0,.265,.344,.609,.180
May 5,vs PIT,W 5-3,4,0,1,0,0,0,0,0,0,0,0,.264,.338,.602,.185
May 6,vs PIT,L 9-0,Did not play
May 8,vs CLE,W 3-2,4,0,0,0,0,0,0,0,1,0,0,.250,.319,.569,.174
May 9,vs CLE,L 6-2,3,0,0,0,0,0,0,0,1,0,0,.241,.306,.547,.167
May 10,@ COL,W 5-2,3,0,1,0,0,0,1,0,0,0,0,.241,.307,.548,.173
May 11,@ COL,W 11-10,5,2,2,1,0,1,3,0,1,0,0,.250,.363,.613,.188
May 12,@ COL,L 4-0,Did not play
May 13,@ COL,W 7-3,4,2,2,0,0,0,0,1,2,0,0,.269,.369,.638,.202
May 14,@ ARI,W 7-2,4,1,2,1,0,0,0,0,1,0,0,.278,.386,.664,.216
May 15,@ ARI,L 2-1,3,0,1,0,0,0,0,0,0,0,0,.280,.385,.665,.220
May 16,@ ARI,W 8-2,Did not play
May 18,@ MIN,W 8-3,4,0,1,0,0,0,0,1,0,0,0,.286,.379,.665,.221
May 19,@ MIN,W 5-4,4,1,1,1,0,0,1,0,1,0,0,.284,.384,.668,.222
May 20,@ MIN,L 3-1,Did not play
May 21,vs ARI,W 4-2,3,0,0,0,0,0,0,0,0,0,0,.277,.373,.650,.216
May 22,vs ARI,W 1-0,3,0,1,0,0,0,0,0,1,0,0,.278,.371,.649,.219
May 23,vs ARI,W 9-2,Did not play
May 24,vs NYM,L 5-0,2,0,0,0,0,0,0,2,0,0,0,.286,.364,.650,.215
May 25,vs NYM,W 4-3,4,0,1,0,0,0,0,0,1,0,0,.285,.360,.645,.216
May 26,vs NYM,W 17-6,Did not play
May 27,vs NYM,W 8-7,4,0,0,0,0,0,0,0,1,0,0,.276,.348,.624,.209
May 28,vs STL,W 8-3,4,0,2,1,0,0,1,0,0,0,0,.282,.361,.643,.218
May 29,vs STL,L 6-1,4,1,0,0,0,0,0,0,1,0,0,.274,.350,.624,.211
May 30,vs STL,W 3-2,1,0,1,0,0,0,0,0,0,0,0,.279,.355,.634,.218
Jun 1,@ CHW,L 8-3,3,0,0,0,0,0,0,1,0,0,0,.279,.346,.625,.213
Jun 2,@ CHW,W 5-0,Did not play
Jun 3,@ CHW,L 6-1,4,1,1,0,0,0,0,0,1,0,0,.278,.344,.622,.214
Jun 5,@ CLE,L 3-2,3,1,1,1,0,0,0,0,1,0,0,.279,.351,.630,.216
Jun 6,@ CLE,L 3-1,Did not play
Jun 8,@ PHI,W 12-4,4,1,1,1,0,0,0,1,3,0,0,.283,.355,.638,.217
Jun 9,@ PHI,W 12-3,Did not play
Jun 10,@ PHI,L 4-3,3,1,0,0,0,0,0,0,2,0,0,.282,.348,.630,.213
Jun 11,vs CHC,L 7-2,1,0,0,0,0,0,0,0,0,0,0,.280,.345,.625,.211
Jun 12,vs CHC,W 4-0,4,0,0,0,0,0,0,0,0,0,0,.273,.336,.609,.205
Jun 13,vs CHC,W 1-0,Did not play
Jun 15,vs PHI,W 13-2,5,2,2,0,0,0,1,0,0,0,0,.277,.338,.615,.212
Jun 16,vs PHI,L 4-1,Did not play
Jun 17,vs PHI,L 10-9,5,1,1,1,0,0,0,0,2,0,0,.275,.340,.615,.212
Jun 18,@ PIT,L 1-0,Did not play
Jun 19,@ PIT,W 3-2,4,0,2,0,1,0,0,0,0,0,0,.280,.356,.636,.219
Jun 21,vs STL,W 11-3,3,1,2,1,0,1,1,1,0,0,0,.291,.387,.678,.227
Jun 22,vs STL,W 2-1,3,0,0,0,0,0,0,0,3,0,0,.286,.380,.666,.223
Jun 23,vs STL,L 3-2,4,0,1,0,0,0,0,0,1,0,0,.285,.376,.661,.224
Jun 24,vs STL,L 8-2,1,0,0,0,0,0,0,0,1,0,0,.283,.374,.657,.222
Jun 26,vs KC,W 5-1,3,0,0,0,0,0,0,1,2,0,0,.283,.368,.651,.218
Jun 27,vs KC,L 5-4,4,1,1,0,0,0,0,0,0,0,0,.282,.365,.647,.219
Jun 28,@ CIN,W 6-4,Did not play
Jun 29,@ CIN,W 8-2,3,1,2,0,0,0,1,0,0,0,0,.295,.370,.665,.227
Jun 30,@ CIN,L 12-3,0,0,0,0,0,0,0,0,0,0,0,.295,.370,.665,.227
Jul 1,@ CIN,L 8-2,3,0,0,0,0,0,0,0,0,0,0,.291,.364,.655,.223
Jul 2,vs MIN,W 6-5,5,2,2,0,0,1,1,0,2,0,0,.293,.381,.674,.228
Jul 3,vs MIN,W 2-0,Did not play
Jul 4,vs MIN,W 3-2,2,0,0,0,0,0,0,1,0,0,0,.294,.377,.671,.225
Jul 5,vs ATL,W 7-2,Did not play
Jul 6,vs ATL,W 5-4,3,1,1,0,0,0,0,0,1,0,0,.294,.376,.670,.227
Jul 7,vs ATL,L 5-1,Did not play
Jul 8,vs ATL,W 10-3,Did not play
Jul 9,@ MIA,L 4-3,Did not play
Jul 10,@ MIA,W 8-4,Did not play
Jul 11,@ MIA,L 5-4,Did not play
Jul 12,@ PIT,L 6-3,Did not play
Jul 13,@ PIT,L 7-3,Did not play
Jul 14,@ PIT,L 2-1,Did not play
Jul 14,@ PIT,L 6-2,Did not play
Jul 15,@ PIT,L 7-6,Did not play
Jul 20,vs LAD,L 6-4,4,2,2,0,0,0,0,0,0,0,0,.298,.379,.677,.232
Jul 21,vs LAD,W 4-2,1,1,0,0,0,0,0,0,0,0,0,.297,.377,.674,.231
Jul 22,vs LAD,L 11-2,4,0,0,0,0,0,0,0,1,0,0,.291,.369,.660,.227
Jul 23,vs WSH,W 6-1,Did not play
Jul 24,vs WSH,W 5-4,4,0,0,0,0,0,0,0,1,0,0,.286,.362,.648,.222
Jul 25,vs WSH,L 7-3,4,0,0,0,0,0,0,0,1,0,0,.281,.355,.636,.218
