DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,vs CHW,W 8-2,6.1,4,2,2,1,1,6,11,5,84,23,62,W(11-5),-,3.38
Jul 11,@ LAA,W 3-0,7.0,2,0,0,0,0,4,9,10,82,23,77,W(10-5),-,3.41
Jul 5,vs LAA,W 4-1,6.0,5,1,1,0,2,7,7,9,102,25,63,W(9-5),-,3.64
Jun 29,vs KC,W 4-1,9.0,6,1,1,0,0,7,15,8,96,31,78,W(8-5),-,3.77
Jun 24,@ BOS,L 5-0,6.0,7,5,5,1,0,6,6,13,96,25,44,L(7-5),-,4.04
Jun 19,@ NYY,L 7-2,6.1,8,6,6,3,1,5,8,13,90,27,37,L(7-4),-,3.80
Jun 13,vs LAA,W 8-6,5.0,7,3,3,0,2,7,6,9,101,24,46,-,-,3.42
Jun 8,@ TB,W 4-3,7.1,5,2,2,1,0,3,12,11,103,27,63,W(7-3),-,3.28
Jun 2,vs TB,W 3-1,6.2,5,1,1,0,2,6,9,8,104,26,64,W(6-3),-,3.38
May 28,vs TEX,W 2-1,6.2,4,1,0,0,4,4,8,8,102,24,64,W(5-3),-,3.60
May 23,@ OAK,W 1-0,7.0,2,0,0,0,2,6,10,7,102,25,-,W(4-3),-,4.05
May 17,vs DET,L 3-2,5.2,5,1,0,0,1,2,12,9,97,25,58,-,-,4.66
May 12,@ DET,L 4-3,6.0,10,4,4,1,2,3,9,13,99,27,37,L(3-3),-,5.31
May 5,vs LAA,W 9-8,6.0,9,4,4,1,1,7,5,14,100,27,-,-,-,5.19
Apr 29,@ CLE,W 10-4,6.0,6,2,2,1,1,4,8,11,89,24,55,W(3-2),-,5.02
Apr 24,@ CHW,W 1-0,6.0,5,0,0,0,1,8,8,7,89,24,69,W(2-2),-,5.56
Apr 19,vs HOU,L 9-2,4.2,5,3,3,0,1,8,3,6,79,18,-,L(1-2),-,7.56
Apr 14,vs OAK,W 10-8,3.1,5,4,4,0,1,5,1,9,80,17,34,-,-,8.25
Apr 9,@ KC,L 10-0,2.1,8,4,4,0,1,4,4,7,64,16,28,L(1-1),-,7.27
Apr 3,@ SF,W 6-4,6.1,6,3,3,2,0,2,13,8,92,23,51,W(1-0),-,4.26
