DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CHC,L 8-4,Did not play
Mar 30,vs CHC,W 2-1,Did not play
Mar 31,vs CHC,L 10-6,Did not play
Apr 1,vs CHC,W 6-0,Did not play
Apr 2,vs BOS,L 7-3,Did not play
Apr 3,vs BOS,L 4-2,Did not play
Apr 5,@ PHI,L 5-0,Did not play
Apr 7,@ PHI,L 20-1,Did not play
Apr 8,@ PHI,W 6-3,Did not play
Apr 9,vs NYM,L 4-2,Did not play
Apr 10,vs NYM,L 8-6,Did not play
Apr 11,vs NYM,L 4-1,Did not play
Apr 13,vs PIT,W 7-2,Did not play
Apr 14,vs PIT,L 1-0,Did not play
Apr 15,vs PIT,L 7-3,Did not play
Apr 16,@ NYY,L 12-1,Did not play
Apr 17,@ NYY,W 9-1,Did not play
Apr 19,@ MIL,L 12-3,Did not play
Apr 20,@ MIL,L 8-0,Did not play
Apr 21,@ MIL,L 6-5,Did not play
Apr 22,@ MIL,L 4-2,Did not play
Apr 23,@ LAD,L 2-1,Did not play
Apr 24,@ LAD,W 3-2,Did not play
Apr 25,@ LAD,W 8-6,Did not play
Apr 27,vs COL,L 1-0,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 28,vs COL,W 4-1,4,0,2,1,0,0,2,0,1,0,0,.250,.375,.625,.250
Apr 29,vs COL,W 3-0,Did not play
Apr 30,vs PHI,W 8-4,4,1,1,0,0,0,0,0,1,0,0,.250,.333,.583,.250
May 1,vs PHI,W 2-1,4,0,0,0,0,0,0,0,0,0,0,.188,.250,.438,.188
May 2,vs PHI,L 6-0,4,0,1,0,0,0,0,0,0,0,0,.200,.250,.450,.200
May 4,@ CIN,L 4-1,3,0,0,0,0,0,0,1,0,0,0,.208,.217,.425,.174
May 5,@ CIN,W 6-0,4,1,1,0,0,0,0,0,0,0,0,.214,.222,.436,.185
May 6,@ CIN,W 8-5,6,1,0,0,0,0,0,0,1,0,0,.176,.182,.358,.152
May 7,@ CHC,L 14-2,4,0,0,0,0,0,0,0,0,0,0,.158,.162,.320,.135
May 8,@ CHC,L 4-3,Did not play
May 9,@ CHC,L 13-4,5,0,0,0,0,0,0,0,1,0,1,.140,.143,.283,.119
May 10,vs ATL,L 9-2,4,0,2,0,0,0,1,0,0,0,0,.170,.174,.344,.152
May 11,vs ATL,W 6-3,3,0,0,0,0,0,0,1,0,0,0,.176,.163,.339,.143
May 12,vs ATL,L 10-5,5,1,1,0,0,0,0,0,2,0,0,.179,.167,.346,.148
May 13,vs ATL,L 4-3,2,0,0,0,0,0,0,2,1,0,0,.200,.161,.361,.143
May 15,vs LAD,W 4-2,4,1,2,0,0,0,0,0,1,0,0,.219,.183,.402,.167
May 16,vs LAD,W 6-5,4,2,1,0,0,0,0,1,1,0,0,.232,.188,.420,.172
May 17,vs LAD,L 7-0,2,0,0,0,0,0,0,0,1,0,0,.225,.182,.407,.167
May 18,@ ATL,W 2-0,3,1,1,0,0,0,0,1,1,0,0,.240,.188,.428,.174
May 19,@ ATL,L 8-1,4,0,0,0,0,0,0,0,0,0,0,.228,.178,.406,.164
May 20,@ ATL,L 10-9,6,0,1,0,0,0,0,0,1,0,0,.224,.177,.401,.165
May 21,@ NYM,L 2-0,4,0,1,0,0,0,0,0,0,0,0,.225,.181,.406,.169
May 22,@ NYM,W 5-1,5,0,0,0,0,0,0,0,2,0,0,.213,.170,.383,.159
May 23,@ NYM,W 2-1,1,0,1,0,0,0,0,0,0,0,0,.221,.180,.401,.169
May 25,vs WSH,L 9-5,4,0,3,2,0,0,0,0,0,0,0,.242,.226,.468,.194
May 26,vs WSH,L 4-1,Did not play
May 27,vs WSH,L 5-2,Did not play
May 28,@ SD,W 7-2,Did not play
May 29,@ SD,L 9-5,Did not play
May 30,@ SD,L 3-2,Did not play
May 31,@ SD,L 8-3,Did not play
Jun 1,@ ARI,L 9-1,Did not play
Jun 2,@ ARI,L 6-2,Did not play
Jun 3,@ ARI,L 6-1,Did not play
Jun 5,@ STL,W 7-4,Did not play
Jun 6,@ STL,W 11-3,Did not play
Jun 7,@ STL,L 4-1,Did not play
Jun 8,vs SD,W 4-0,Did not play
Jun 9,vs SD,L 5-4,Did not play
Jun 10,vs SD,L 3-1,Did not play
Jun 11,vs SF,W 7-5,Did not play
Jun 12,vs SF,W 3-1,Did not play
Jun 13,vs SF,W 5-4,Did not play
Jun 14,vs SF,L 6-3,Did not play
Jun 15,@ BAL,W 2-0,Did not play
Jun 16,@ BAL,W 5-4,Did not play
Jun 17,@ BAL,L 10-4,Did not play
Jun 18,@ SF,W 5-4,Did not play
Jun 19,@ SF,L 6-3,Did not play
Jun 20,@ SF,L 6-5,Did not play
Jun 22,@ COL,L 11-3,Did not play
Jun 23,@ COL,W 6-2,Did not play
Jun 24,@ COL,W 8-5,Did not play
Jun 25,vs ARI,W 9-5,Did not play
Jun 26,vs ARI,L 5-3,Did not play
Jun 27,vs ARI,L 2-1,Did not play
Jun 28,vs ARI,L 4-0,Did not play
Jun 29,vs NYM,W 8-2,Did not play
Jun 30,vs NYM,W 5-2,Did not play
Jul 1,vs NYM,L 5-2,Did not play
Jul 2,vs TB,W 3-2,Did not play
Jul 3,vs TB,L 9-6,Did not play
Jul 4,vs TB,W 3-0,Did not play
Jul 5,@ WSH,L 14-12,5,1,1,0,0,1,3,0,1,0,0,.240,.255,.495,.194
Jul 6,@ WSH,L 3-2,2,0,0,0,0,0,1,2,0,0,0,.250,.250,.500,.190
Jul 7,@ WSH,L 18-4,Did not play
Jul 8,@ WSH,W 10-2,6,2,4,1,0,0,1,0,1,0,0,.272,.283,.555,.217
Jul 9,vs MIL,W 4-3,5,0,2,0,0,0,0,0,1,0,0,.277,.288,.565,.225
Jul 10,vs MIL,L 8-4,1,0,0,0,0,0,0,0,0,0,0,.275,.286,.561,.223
Jul 11,vs MIL,W 5-4,5,1,1,0,0,0,0,0,2,0,0,.272,.282,.554,.222
Jul 13,vs PHI,L 2-0,3,0,0,0,0,0,0,0,0,0,0,.266,.275,.541,.217
Jul 14,vs PHI,W 2-0,3,0,2,0,0,0,1,0,0,0,0,.275,.285,.560,.228
Jul 15,vs PHI,W 10-5,0,1,0,0,0,0,0,1,0,0,0,.280,.285,.565,.228
Jul 20,@ TB,W 6-5,4,0,0,0,0,0,0,0,1,0,0,.272,.276,.548,.220
Jul 21,@ TB,W 3-2,4,0,2,1,0,0,1,0,1,0,0,.279,.290,.569,.229
Jul 22,@ TB,L 6-4,4,1,2,1,0,0,0,0,1,0,0,.285,.304,.589,.237
Jul 23,vs ATL,L 12-1,4,0,1,0,0,0,0,0,0,0,0,.284,.302,.586,.237
Jul 24,vs ATL,W 9-3,4,0,1,0,0,0,0,0,0,0,0,.283,.301,.584,.238
