DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ TEX,W 4-1,3,0,1,0,0,0,0,1,1,0,0,.500,.333,.833,.333
Mar 30,@ TEX,L 5-1,3,0,0,0,0,0,0,1,0,0,0,.375,.167,.542,.167
Mar 31,@ TEX,W 9-3,3,0,1,1,0,0,2,1,1,0,0,.385,.333,.718,.222
Apr 1,@ TEX,W 8-2,4,0,0,0,0,0,0,0,3,0,0,.294,.231,.525,.154
Apr 2,vs BAL,W 6-1,4,1,1,0,0,1,1,0,2,0,0,.286,.412,.698,.176
Apr 3,vs BAL,W 10-6,4,0,1,0,0,0,0,0,2,0,0,.280,.381,.661,.190
Apr 4,vs BAL,W 3-2,3,0,1,1,0,0,1,0,1,0,0,.286,.417,.703,.208
Apr 6,vs SD,L 4-1,3,0,0,0,0,0,0,1,0,0,0,.281,.370,.651,.185
Apr 7,vs SD,W 1-0,2,0,0,0,0,0,0,2,0,0,0,.306,.345,.651,.172
Apr 8,vs SD,W 4-1,3,1,1,0,0,0,0,0,0,0,0,.308,.344,.652,.188
Apr 9,@ MIN,W 2-0,3,0,1,1,0,0,1,1,0,0,0,.326,.371,.697,.200
Apr 10,@ MIN,L 4-1,4,0,0,0,0,0,0,0,0,0,0,.298,.333,.631,.179
Apr 11,@ MIN,L 9-8,1,0,0,0,0,0,0,1,1,0,0,.306,.325,.631,.175
Apr 13,vs TEX,W 3-2,3,0,2,0,0,0,0,1,0,0,0,.340,.349,.689,.209
Apr 14,vs TEX,L 6-5,4,0,0,0,0,0,0,0,1,0,0,.316,.319,.635,.191
Apr 15,vs TEX,L 3-1,4,0,0,0,0,0,0,0,1,0,0,.295,.294,.589,.176
Apr 16,@ SEA,L 2-1,4,0,0,0,0,0,0,0,2,0,0,.277,.273,.550,.164
Apr 17,@ SEA,W 4-1,Did not play
Apr 18,@ SEA,W 7-1,4,2,2,0,0,0,2,0,1,0,0,.290,.288,.578,.186
Apr 19,@ SEA,W 9-2,4,0,1,0,0,0,0,0,2,0,0,.288,.286,.574,.190
Apr 20,@ CHW,W 10-0,3,1,0,0,0,0,0,1,0,0,0,.286,.273,.559,.182
Apr 21,@ CHW,W 10-1,4,1,2,1,0,0,2,1,1,0,0,.305,.300,.605,.200
Apr 22,@ CHW,W 7-1,5,0,1,1,0,0,2,0,1,0,0,.299,.307,.606,.200
Apr 23,vs LAA,L 2-0,4,0,2,0,0,0,0,0,2,0,0,.308,.316,.624,.215
Apr 24,vs LAA,L 8-7,3,1,2,0,0,0,2,2,0,0,0,.333,.329,.662,.232
