DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,@ CIN,W 2-0,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Mar 31,@ CIN,W 13-7,4,2,1,0,0,1,3,1,2,0,0,.333,.800,1.133,.200
Apr 1,@ CIN,W 6-5,Did not play
Apr 2,@ ATL,W 8-1,Did not play
Apr 3,@ ATL,L 13-6,0,1,0,0,0,0,0,1,0,0,0,.429,.800,1.229,.200
Apr 4,@ ATL,L 7-1,4,0,1,1,0,0,0,1,2,0,0,.417,.667,1.084,.222
Apr 5,vs NYM,L 8-2,1,0,0,0,0,0,0,0,0,0,0,.385,.600,.985,.200
Apr 7,vs NYM,L 3-2,1,0,0,0,0,0,0,0,0,0,0,.357,.545,.902,.182
Apr 8,vs NYM,L 6-5,5,0,1,1,0,0,0,1,2,0,0,.350,.500,.850,.188
Apr 9,vs ATL,W 2-0,Did not play
Apr 10,vs ATL,W 4-1,Did not play
Apr 11,vs ATL,L 5-3,3,1,1,0,0,1,1,1,1,0,0,.400,.632,1.032,.211
Apr 12,vs COL,L 5-1,3,0,1,0,0,0,0,0,1,0,0,.393,.591,.984,.227
Apr 13,vs COL,L 2-1,1,0,0,0,0,0,0,0,1,0,0,.379,.565,.944,.217
Apr 14,vs COL,W 6-2,4,0,0,0,0,0,0,0,1,0,0,.333,.481,.814,.185
Apr 15,vs COL,L 6-5,0,0,0,0,0,0,0,1,0,0,0,.353,.481,.834,.185
Apr 16,@ NYM,W 8-6,3,0,1,0,0,0,0,0,1,0,0,.351,.467,.818,.200
Apr 17,@ NYM,W 5-2,Did not play
Apr 18,@ NYM,L 11-5,Did not play
Apr 20,@ LAD,W 5-2,1,0,0,0,0,0,0,0,0,0,0,.342,.452,.794,.194
Apr 21,@ LAD,L 4-0,0,0,0,0,0,0,0,1,0,0,0,.359,.452,.811,.194
Apr 22,@ LAD,L 4-3,1,0,1,0,0,0,0,0,0,0,0,.375,.469,.844,.219
Apr 23,@ SF,L 4-2,4,0,0,0,0,0,0,0,2,0,0,.341,.417,.758,.194
Apr 24,@ SF,L 4-3,1,0,0,0,0,0,0,0,0,0,0,.333,.405,.738,.189
Apr 25,@ SF,W 15-2,5,2,3,1,0,1,6,0,2,0,0,.373,.524,.897,.238
Apr 27,vs ARI,L 5-4,3,1,2,0,0,0,0,0,0,0,0,.389,.533,.922,.267
Apr 28,vs ARI,L 4-3,1,0,0,0,0,0,0,0,0,0,0,.382,.522,.904,.261
Apr 29,vs ARI,W 3-1,Did not play
Apr 30,vs PIT,W 3-2,4,0,1,0,0,0,0,0,1,0,0,.373,.500,.873,.260
May 1,vs PIT,W 12-4,4,3,3,0,0,2,3,0,0,0,0,.397,.630,1.027,.296
May 2,vs PIT,W 9-3,3,2,2,0,0,1,2,2,1,0,0,.426,.684,1.110,.316
May 3,vs PIT,W 3-1,4,0,0,0,0,0,0,0,0,0,0,.403,.639,1.042,.295
May 4,vs PHI,W 7-3,3,2,1,0,0,1,2,2,0,0,0,.416,.672,1.088,.297
May 5,vs PHI,L 3-1,3,0,0,0,0,0,0,1,1,0,0,.407,.642,1.049,.284
May 6,vs PHI,W 5-4,4,1,2,0,0,1,1,0,1,0,0,.412,.676,1.088,.296
May 7,@ SD,W 8-5,4,2,2,0,0,2,5,1,0,0,0,.422,.747,1.169,.307
May 8,@ SD,W 4-0,3,1,1,1,0,0,1,1,1,0,0,.426,.744,1.170,.308
May 9,@ SD,L 2-1,1,0,0,0,0,0,0,0,0,0,0,.421,.734,1.155,.304
May 10,@ ARI,W 2-1,5,0,1,0,0,0,1,0,0,0,0,.410,.702,1.112,.298
May 11,@ ARI,W 3-1,4,0,0,0,0,0,0,0,1,0,0,.394,.670,1.064,.284
May 12,@ ARI,W 2-1,3,0,0,0,0,0,0,2,0,0,0,.394,.648,1.042,.275
May 13,@ ARI,W 6-4,4,0,1,1,0,0,0,0,1,0,0,.389,.642,1.031,.274
May 15,vs NYY,W 5-3,2,0,0,0,0,0,0,0,0,0,0,.383,.629,1.012,.268
May 19,vs LAD,L 4-1,4,0,0,0,0,0,0,0,1,0,0,.370,.604,.974,.257
May 19,vs LAD,L 5-4,1,0,1,0,0,0,2,0,0,0,0,.375,.608,.983,.265
May 20,vs LAD,L 7-2,4,0,0,0,0,0,0,0,2,0,0,.363,.585,.948,.255
May 21,vs SD,W 10-2,Did not play
May 22,vs SD,W 2-1,1,0,0,0,0,0,0,0,1,0,0,.360,.579,.939,.252
May 23,vs SD,L 3-1,3,1,3,0,0,1,1,0,0,0,0,.375,.618,.993,.273
May 25,@ MIA,W 9-5,5,1,1,0,0,1,2,0,1,0,0,.368,.626,.994,.270
May 26,@ MIA,W 4-1,1,1,1,0,0,0,1,0,0,0,0,.373,.629,1.002,.276
May 27,@ MIA,W 5-2,3,0,0,0,0,0,0,0,1,0,0,.365,.613,.978,.269
May 28,@ BAL,W 6-0,5,1,2,0,0,0,1,0,0,0,0,.366,.605,.971,.274
May 29,@ BAL,W 3-2,4,0,1,1,0,0,0,0,1,0,0,.363,.602,.965,.273
May 30,@ BAL,W 2-0,4,0,0,0,0,0,0,0,0,0,0,.353,.583,.936,.265
May 31,@ ATL,L 4-2,1,0,0,0,0,0,0,0,1,0,0,.351,.579,.930,.263
Jun 1,@ ATL,L 4-0,3,0,0,0,0,0,0,0,1,0,0,.344,.566,.910,.257
Jun 2,@ ATL,W 5-3,2,0,0,0,0,0,0,0,0,0,0,.340,.558,.898,.254
Jun 3,@ ATL,L 4-2,Did not play
Jun 5,vs TB,W 4-2,3,1,1,0,0,1,1,0,1,0,0,.340,.574,.914,.255
Jun 6,vs TB,W 11-2,Did not play
Jun 8,vs SF,L 9-5,1,0,1,0,0,0,1,0,0,0,0,.344,.577,.921,.261
Jun 9,vs SF,W 7-5,4,0,2,1,0,0,2,0,1,0,0,.348,.582,.930,.267
Jun 10,vs SF,L 2-0,1,0,0,0,0,0,0,0,1,0,0,.345,.578,.923,.265
Jun 12,@ NYY,L 3-0,1,0,0,0,0,0,0,0,1,0,0,.343,.574,.917,.264
Jun 13,@ NYY,W 5-4,4,1,3,0,0,0,0,0,0,0,0,.353,.579,.932,.276
Jun 15,@ TOR,L 6-5,1,0,0,0,0,0,0,0,1,0,0,.351,.575,.926,.275
Jun 16,@ TOR,L 2-0,Did not play
Jun 17,@ TOR,L 8-6,Did not play
Jun 18,vs NYY,L 4-2,Did not play
Jun 19,vs BAL,W 9-7,Did not play
Jun 20,vs BAL,L 3-0,Did not play
Jun 21,vs BAL,W 4-2,Did not play
Jun 22,vs PHI,L 12-2,Did not play
Jun 23,vs PHI,L 5-3,Did not play
Jun 24,vs PHI,W 8-6,Did not play
Jun 25,@ TB,L 11-0,Did not play
Jun 26,@ TB,L 1-0,Did not play
Jun 28,@ PHI,L 4-3,Did not play
Jun 29,@ PHI,W 17-7,Did not play
Jun 30,@ PHI,L 3-2,Did not play
Jul 1,@ PHI,L 4-3,Did not play
Jul 2,vs BOS,L 4-3,Did not play
Jul 3,vs BOS,L 11-4,Did not play
Jul 4,vs BOS,L 3-0,Did not play
Jul 5,vs MIA,W 14-12,5,3,4,1,0,0,0,0,0,0,0,.364,.589,.953,.291
Jul 6,vs MIA,W 3-2,4,0,1,0,0,0,0,0,1,0,0,.361,.580,.941,.290
Jul 7,vs MIA,W 18-4,2,1,1,0,0,0,0,0,0,0,0,.363,.579,.942,.293
Jul 8,vs MIA,L 10-2,4,0,1,0,0,0,0,1,0,0,0,.364,.571,.935,.292
Jul 9,@ PIT,L 6-3,4,1,1,0,0,0,0,0,1,0,0,.361,.564,.925,.291
Jul 10,@ PIT,W 5-1,4,0,1,0,0,0,0,1,2,0,0,.362,.557,.919,.290
Jul 11,@ PIT,L 2-0,4,0,0,0,0,0,0,0,1,0,0,.355,.544,.899,.283
Jul 12,@ NYM,W 5-4,1,0,0,0,0,0,0,0,0,0,0,.353,.541,.894,.282
Jul 13,@ NYM,L 4-2,2,1,1,0,0,1,1,2,1,0,0,.361,.557,.918,.284
Jul 14,@ NYM,L 7-4,4,1,1,0,0,1,2,0,0,0,0,.359,.567,.926,.283
Jul 15,@ NYM,W 6-1,4,1,2,0,0,0,0,0,1,0,0,.362,.565,.927,.288
Jul 20,vs ATL,L 8-5,4,1,1,0,0,1,1,0,1,0,0,.359,.574,.933,.287
Jul 22,vs ATL,W 6-2,4,0,1,0,0,0,1,1,2,0,0,.360,.568,.928,.286
Jul 23,@ MIL,L 6-1,1,0,0,0,0,0,0,0,0,0,0,.359,.565,.924,.285
Jul 24,@ MIL,L 5-4,1,0,0,0,0,0,0,0,0,0,0,.357,.562,.919,.284
Jul 25,@ MIL,W 7-3,3,1,0,0,0,0,0,0,0,0,0,.355,.554,.909,.279
