DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs LAA,W 6-5,4,1,1,0,0,0,0,2,1,0,0,.500,.250,.750,.250
Mar 30,vs LAA,L 2-1,2,0,1,1,0,0,0,0,0,0,0,.500,.500,1.000,.333
Mar 31,vs LAA,L 8-3,5,0,0,0,0,0,0,0,1,0,0,.308,.273,.581,.182
Apr 1,vs LAA,L 7-4,3,1,2,0,0,0,0,1,0,0,0,.412,.357,.769,.286
Apr 2,vs TEX,W 3-1,3,0,0,0,0,0,0,1,0,0,0,.381,.294,.675,.235
Apr 3,vs TEX,L 4-1,1,0,0,0,0,0,0,0,0,0,0,.364,.278,.642,.222
Apr 4,vs TEX,W 6-2,4,1,1,1,0,0,0,1,2,0,0,.370,.318,.688,.227
Apr 5,vs TEX,L 6-3,1,0,0,0,0,0,1,0,0,0,0,.345,.304,.649,.217
Apr 6,@ LAA,L 13-9,4,1,1,0,0,1,2,1,1,0,0,.353,.407,.760,.222
Apr 7,@ LAA,W 7-3,3,1,1,0,0,0,0,2,0,0,0,.385,.400,.785,.233
Apr 8,@ LAA,L 6-1,4,1,1,0,0,1,1,0,1,0,0,.372,.471,.843,.235
Apr 10,@ LAD,L 4-0,1,0,0,0,0,0,0,0,1,0,0,.364,.457,.821,.229
Apr 11,@ LAD,W 16-6,2,0,1,0,0,0,0,0,0,0,0,.370,.459,.829,.243
Apr 13,@ SEA,L 7-4,2,0,1,0,0,0,0,3,0,0,0,.412,.462,.874,.256
Apr 14,@ SEA,L 10-8,3,0,0,0,0,0,0,0,0,0,0,.389,.429,.818,.238
Apr 15,@ SEA,W 2-1,3,0,0,0,0,0,0,0,1,0,0,.379,.400,.779,.222
Apr 16,vs CHW,W 8-1,3,2,1,1,0,0,0,1,1,0,0,.387,.417,.804,.229
Apr 17,vs CHW,W 10-2,3,0,1,1,0,0,0,2,1,0,1,.403,.431,.834,.235
Apr 18,vs CHW,W 12-11,2,2,1,1,0,0,0,2,0,0,0,.423,.453,.876,.245
Apr 20,vs BOS,L 7-3,1,0,0,0,0,0,0,0,1,0,0,.417,.444,.861,.241
Apr 21,vs BOS,W 3-0,Did not play
Apr 22,vs BOS,W 4-1,Did not play
Apr 23,@ TEX,W 9-4,1,0,0,0,0,0,0,0,0,0,0,.411,.436,.847,.236
Apr 24,@ TEX,W 3-2,1,0,0,0,0,0,0,1,1,0,0,.413,.429,.842,.232
Apr 25,@ TEX,L 4-2,4,0,0,0,0,0,0,0,1,0,0,.392,.400,.792,.217
Apr 27,@ HOU,W 8-1,Did not play
Apr 28,@ HOU,L 11-0,4,0,0,0,0,0,0,0,0,0,0,.373,.375,.748,.203
Apr 29,@ HOU,L 8-4,4,0,1,0,0,0,0,0,2,0,0,.368,.368,.736,.206
May 1,@ SEA,L 6-3,4,0,0,0,0,0,0,0,3,0,0,.352,.347,.699,.194
May 2,@ SEA,W 3-2,1,1,1,1,0,0,0,0,0,0,0,.359,.370,.729,.205
May 3,@ SEA,L 4-1,1,0,0,0,0,0,0,0,1,0,0,.355,.365,.720,.203
May 4,vs BAL,W 6-4,4,1,0,0,0,0,0,1,1,0,0,.347,.346,.693,.192
May 5,vs BAL,W 2-0,4,0,0,0,0,0,0,1,2,0,0,.340,.329,.669,.183
May 6,vs BAL,W 2-1,4,1,2,1,0,0,0,0,1,0,0,.346,.349,.695,.198
May 7,vs HOU,L 16-2,2,0,0,0,0,0,0,0,0,0,0,.339,.341,.680,.193
May 8,vs HOU,L 4-2,3,0,0,0,0,0,0,1,2,0,0,.336,.330,.666,.187
May 9,vs HOU,L 4-1,3,1,1,0,0,0,0,1,1,0,1,.342,.330,.672,.191
May 11,@ NYY,W 10-5,5,1,2,0,0,1,1,1,0,0,0,.350,.364,.714,.202
May 12,@ NYY,L 7-6,3,1,0,0,0,0,0,2,0,0,0,.352,.353,.705,.196
May 13,@ NYY,L 6-2,3,0,0,0,0,0,0,1,1,0,0,.348,.343,.691,.190
May 14,@ BOS,W 6-5,4,1,2,0,0,1,1,0,2,0,0,.353,.376,.729,.202
May 15,@ BOS,W 5-3,Did not play
May 16,@ BOS,L 6-4,2,1,1,0,0,1,1,0,0,0,0,.355,.405,.760,.207
May 17,@ TOR,W 10-5,6,1,2,0,0,0,1,0,3,0,0,.354,.402,.756,.214
May 18,@ TOR,W 3-1,4,0,0,0,0,0,0,0,2,0,0,.345,.388,.733,.207
May 19,@ TOR,W 5-4,5,0,0,0,0,0,0,0,1,0,0,.333,.373,.706,.198
May 20,@ TOR,W 9-2,3,0,1,1,0,0,0,0,1,0,0,.333,.380,.713,.202
May 22,vs SEA,L 3-2,3,0,1,0,0,0,0,0,0,0,0,.333,.379,.712,.205
May 23,vs SEA,L 1-0,1,0,1,0,0,0,0,0,0,0,0,.338,.383,.721,.211
May 24,vs SEA,W 4-3,4,1,1,0,0,0,0,0,0,0,0,.335,.380,.715,.212
May 25,vs ARI,L 7-1,1,0,0,0,0,0,0,0,0,0,0,.333,.377,.710,.210
May 26,vs ARI,W 3-0,4,1,1,0,0,1,1,0,0,0,0,.331,.394,.725,.211
May 27,vs ARI,W 2-1,3,0,1,0,0,0,0,1,2,0,0,.335,.393,.728,.214
May 28,vs TB,L 1-0,6,0,0,0,0,0,0,0,2,0,0,.324,.377,.701,.205
May 29,vs TB,L 4-3,2,0,0,0,0,0,1,0,1,0,0,.320,.373,.693,.203
