DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,@ TOR,W 8-3,1.0,0,0,0,0,1,2,0,1,17,4,-,-,-,3.47
Jul 10,vs KC,L 9-4,2.0,3,1,1,0,1,2,3,3,44,9,-,-,-,3.57
Jul 8,vs BAL,W 10-1,1.0,2,1,1,1,0,1,0,4,21,5,-,-,-,3.51
Jul 1,@ CHC,L 11-10,2.1,5,2,2,0,1,1,5,6,45,13,-,-,-,3.34
Jun 29,@ CHC,L 10-6,2.0,3,3,3,2,0,4,3,2,33,9,-,-,-,3.00
Jun 23,vs TEX,L 9-6,3.1,3,3,3,2,1,5,3,5,60,15,-,-,-,2.25
Jun 21,vs BOS,L 9-2,1.0,3,1,1,0,0,2,2,2,27,6,-,-,-,1.46
Jun 16,@ CLE,W 9-3,3.0,0,0,0,0,0,1,0,8,34,10,-,W(2-1),-,1.14
Jun 5,vs CHW,L 6-3,3.0,1,0,0,0,1,3,3,4,40,11,-,-,-,1.31
May 29,@ KC,L 2-1,3.1,0,0,0,0,1,2,4,4,35,11,-,-,-,1.53
May 26,@ SEA,L 4-3,1.2,2,1,1,1,0,0,3,4,28,8,-,L(1-1),-,1.88
May 22,vs DET,W 6-0,1.0,1,0,0,0,0,2,2,0,17,4,-,-,-,1.42
May 18,vs MIL,L 8-3,1.0,3,1,1,0,0,1,1,3,18,5,-,-,-,1.54
May 16,vs STL,L 7-5,0.2,2,0,0,0,0,1,1,2,17,4,-,-,-,0.84
May 14,vs SEA,L 1-0,1.0,0,0,0,0,0,0,1,2,13,3,-,-,-,0.90
May 11,@ LAA,W 5-4,1.0,0,0,0,0,0,1,0,2,13,3,-,W(1-0),-,1.00
May 10,@ LAA,L 7-4,1.0,1,0,0,0,0,0,2,1,14,3,-,-,-,1.13
May 7,@ STL,W 6-0,2.0,1,0,0,0,0,2,3,2,32,7,-,-,-,1.29
May 5,@ CHW,W 8-4,2.0,2,1,1,1,0,3,2,3,34,8,-,-,-,1.80
May 1,vs TOR,L 7-4,0.2,0,0,0,0,0,0,0,2,4,2,-,-,-,0.00
Apr 29,vs CIN,L 8-2,2.1,3,0,0,0,1,2,3,5,38,11,-,-,-,0.00
