DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs OAK,L 15-3,1.2,5,6,6,1,1,0,2,8,47,11,-,-,-,7.70
Jul 20,vs CLE,L 9-8,1.0,2,1,1,0,0,0,2,2,13,4,-,L(1-6),-,7.11
Jul 7,@ DET,L 7-2,4.1,2,0,0,0,4,6,5,3,85,19,-,-,-,7.08
Jul 1,vs CHW,L 10-5,2.0,2,2,2,0,1,0,3,5,24,9,-,-,-,7.55
Jun 29,vs CHW,W 11-3,1.0,0,0,0,0,0,1,1,1,10,3,-,-,-,7.51
Jun 23,@ MIN,W 9-6,2.1,4,2,2,0,0,3,1,7,38,11,-,-,-,7.63
Jun 15,vs COL,L 9-5,3.0,1,1,1,1,1,3,3,4,48,11,-,-,-,7.63
Jun 10,vs HOU,L 8-7,3.0,9,6,5,1,1,0,5,12,50,18,18,-,-,7.88
Jun 5,vs OAK,W 7-4,6.0,8,3,3,1,2,2,10,14,98,28,44,-,-,7.47
May 30,@ SEA,W 7-6,5.1,8,5,4,0,2,6,7,11,108,26,38,-,-,7.85
May 18,@ CHW,W 12-5,3.2,5,5,4,0,3,5,5,7,92,21,35,-,-,7.99
May 13,@ HOU,L 6-1,3.0,6,3,3,1,3,5,7,3,72,18,37,L(1-5),-,7.82
May 7,vs DET,W 7-6,5.2,9,5,5,1,2,5,7,14,96,28,-,-,-,7.71
May 2,@ CLE,L 12-4,4.0,11,10,10,3,2,1,8,14,94,25,-1,L(1-4),-,7.67
Apr 29,@ TOR,L 7-2,1.0,1,0,0,0,0,0,2,1,10,3,-,-,-,5.33
Apr 23,vs OAK,L 9-4,5.0,7,3,3,0,2,2,7,12,86,24,41,-,-,5.55
Apr 17,@ TB,W 7-2,7.0,5,1,0,0,2,6,12,6,93,27,69,W(1-3),-,5.59
Apr 11,vs LAA,L 7-2,5.0,7,3,3,0,3,2,5,15,96,25,40,L(0-3),-,8.76
Apr 6,vs TOR,L 8-5,3.1,5,6,5,0,4,1,4,10,73,20,25,L(0-2),-,11.05
Mar 31,vs HOU,L 9-3,4.0,7,4,4,1,0,6,4,9,85,19,38,L(0-1),-,9.00
