DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ NYM,L 6-4,1.0,0,0,0,0,1,1,1,1,20,4,-,-,-,2.15
Jul 22,@ PHI,W 10-2,2.0,1,0,0,0,1,2,3,3,43,10,-,-,-,2.21
Jul 15,vs CHC,L 7-4,3.0,1,1,0,0,1,0,2,7,41,11,-,-,-,2.34
Jul 12,vs LAD,L 3-2,1.1,0,0,0,0,1,3,1,0,21,5,-,-,-,2.56
Jul 8,@ ARI,W 4-3,2.0,1,0,0,0,0,2,3,2,24,7,-,-,-,2.67
Jul 5,@ ARI,W 6-3,2.2,3,2,2,1,0,3,0,8,41,11,-,-,H(1),2.86
Jun 30,vs PIT,W 4-3,1.0,2,1,1,0,0,1,2,2,18,5,-,-,-,2.45
Jun 26,@ TEX,W 3-2,1.0,1,0,0,0,0,2,0,2,17,4,-,W(2-2),-,2.19
Jun 23,@ SF,L 5-3,3.1,2,1,1,0,2,5,1,6,59,14,-,-,-,2.28
Jun 17,@ ATL,L 4-1,2.2,1,0,0,0,0,5,2,4,46,11,61,-,-,2.21
Jun 12,@ STL,W 4-2,3.0,0,0,0,0,0,4,3,2,36,9,63,-,-,2.55
Jun 6,vs ATL,W 3-1,2.1,2,1,1,1,0,2,2,5,30,9,51,-,-,3.07
Jun 4,vs ATL,W 11-4,1.0,0,0,0,0,0,0,0,3,12,3,-,-,-,2.92
May 30,vs MIA,W 3-2,2.0,0,0,0,0,0,1,3,2,23,6,-,W(1-2),-,3.18
May 27,@ LAD,L 6-1,2.0,2,0,0,0,1,2,3,2,31,8,53,-,-,3.86
May 22,@ WSH,L 2-1,0.1,1,1,1,0,1,0,1,1,17,3,-,L(0-2),-,4.91
May 20,@ PIT,W 8-5,1.1,1,0,0,0,1,0,0,5,30,6,-,-,-,3.86
May 17,@ PIT,L 5-4,0.2,2,1,0,0,0,0,1,4,18,5,-,L(0-1),-,4.76
May 14,vs COL,L 6-4,2.0,0,0,0,0,2,1,2,3,30,8,-,-,-,5.40
May 11,vs STL,L 9-5,1.0,0,0,0,0,1,1,1,1,20,4,-,-,-,9.00
May 7,vs WSH,L 8-5,2.0,2,3,3,1,3,1,3,3,36,10,-,-,-,13.50
