DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ KC,W 8-4,6.0,7,2,2,0,0,7,5,6,95,25,57,W(5-9),-,4.53
Jul 20,vs BOS,L 1-0,5.0,3,1,1,0,2,6,8,5,98,21,61,L(4-9),-,4.62
Jul 10,@ TB,L 5-2,6.0,4,5,5,1,1,8,6,8,95,24,51,L(4-8),-,4.76
Jul 5,vs TEX,L 7-5,4.0,7,7,6,2,0,3,9,8,79,20,25,L(4-7),-,4.58
Jun 30,@ TOR,L 4-3,6.0,4,3,3,1,2,7,5,9,87,23,57,-,-,4.18
Jun 24,@ CLE,L 12-2,3.0,8,6,6,1,2,5,2,10,79,19,22,L(4-6),-,4.15
Jun 19,@ CIN,L 9-5,4.0,6,5,5,1,3,5,6,7,80,22,32,L(4-5),-,3.63
Jun 13,vs MIN,W 5-2,5.0,3,2,2,0,2,5,4,9,106,21,-,-,-,3.23
Jun 7,@ BOS,W 7-2,6.1,4,2,2,1,4,6,5,11,101,26,59,W(4-4),-,3.20
Jun 2,vs TOR,W 7-4,7.0,6,4,4,2,2,3,6,17,94,28,-,-,-,3.23
May 28,vs LAA,W 9-3,5.0,2,0,0,0,3,4,2,11,102,21,64,W(3-4),-,3.00
May 22,@ MIN,L 6-0,4.0,1,2,2,0,4,0,5,6,61,15,48,L(2-4),-,3.29
May 17,@ SEA,W 3-2,6.0,6,2,2,0,1,9,5,9,96,24,60,-,-,3.19
May 12,vs SEA,W 4-3,6.0,3,3,3,0,3,6,6,9,94,25,57,W(2-3),-,3.21
May 6,@ KC,L 4-2,7.0,6,4,4,0,1,5,7,14,102,27,53,L(1-3),-,3.00
May 1,vs TB,W 2-1,6.0,7,1,1,0,1,7,6,11,96,26,60,W(1-2),-,2.48
Apr 25,@ PIT,L 8-3,3.2,7,4,4,1,3,3,8,7,94,21,31,L(0-2),-,2.74
Apr 18,vs BAL,W 6-5,6.1,2,1,1,1,3,6,3,12,95,24,68,-,-,1.40
Apr 10,@ CLE,L 2-1,7.0,3,1,1,1,1,4,7,12,102,25,70,-,-,1.38
Apr 3,vs KC,L 1-0,6.0,4,1,1,0,0,1,3,18,88,22,61,L(0-1),-,1.50
