DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Apr 17,@ SD,W 7-3,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,2.000,1.000
Apr 18,@ SD,W 13-4,4,2,1,0,0,1,2,1,1,0,0,.500,1.000,1.500,.400
Apr 20,vs WSH,L 5-2,4,0,0,0,0,0,0,0,2,0,0,.300,.556,.856,.222
Apr 21,vs WSH,W 4-0,2,0,0,0,0,0,0,1,1,0,0,.308,.455,.763,.182
Apr 22,vs WSH,W 4-3,3,0,0,0,0,0,0,0,1,0,0,.250,.357,.607,.143
Apr 23,vs MIA,W 2-1,1,0,0,0,0,0,0,0,1,0,0,.235,.333,.568,.133
Apr 24,vs MIA,L 3-2,2,0,0,0,0,0,0,0,1,0,0,.211,.294,.505,.118
Apr 25,vs MIA,L 8-6,1,0,0,0,0,0,0,0,0,0,0,.200,.278,.478,.111
Apr 27,@ SF,L 6-4,Did not play
Apr 28,@ SF,W 15-6,5,2,2,1,0,0,1,1,2,0,0,.269,.348,.617,.174
Apr 28,@ SF,L 8-3,Did not play
Apr 29,@ SF,L 4-2,2,1,1,0,0,0,0,0,1,0,0,.286,.360,.646,.200
Apr 30,@ ARI,L 8-5,4,1,1,0,0,1,1,0,2,0,0,.281,.448,.729,.207
May 1,@ ARI,L 4-3,3,0,0,0,0,0,1,1,1,0,0,.278,.406,.684,.188
May 2,@ ARI,W 2-1,3,0,1,0,0,0,0,0,0,0,0,.282,.400,.682,.200
May 3,@ ARI,W 5-2,Did not play
May 4,@ SD,W 4-0,Did not play
May 5,@ SD,L 7-4,3,1,1,0,0,0,0,1,0,0,0,.302,.395,.697,.211
May 6,@ SD,L 3-0,0,0,0,0,0,0,0,1,0,0,0,.318,.395,.713,.211
May 8,vs ARI,L 8-5,4,0,0,0,0,0,0,0,1,0,0,.292,.357,.649,.190
May 9,vs ARI,W 6-3,0,0,0,0,0,0,0,1,0,0,0,.306,.357,.663,.190
May 10,vs CIN,L 4-1,3,0,1,0,0,0,0,1,2,0,0,.321,.356,.677,.200
May 11,vs CIN,L 6-2,4,1,2,1,0,1,2,0,0,0,0,.333,.449,.782,.224
May 12,vs CIN,L 5-3,4,0,2,1,0,0,1,0,1,0,0,.344,.472,.816,.245
May 13,vs CIN,L 5-3,2,0,0,0,0,0,0,0,1,0,0,.333,.455,.788,.236
May 15,@ MIA,L 4-2,1,0,0,0,0,0,0,0,0,0,0,.328,.446,.774,.232
May 16,@ MIA,L 6-5,3,0,1,1,0,0,2,0,1,0,0,.338,.458,.796,.237
May 17,@ MIA,W 7-0,1,0,0,0,0,0,0,0,0,0,0,.333,.450,.783,.233
May 19,@ WSH,W 4-1,3,0,1,1,0,0,2,0,2,0,0,.329,.460,.789,.238
May 19,@ WSH,W 5-4,3,1,2,0,0,1,2,1,0,0,0,.351,.515,.866,.258
May 20,@ WSH,W 7-2,3,0,0,0,0,0,0,2,1,0,0,.354,.493,.847,.246
May 21,vs COL,L 2-1,2,1,1,0,0,1,1,2,0,0,0,.372,.535,.907,.254
May 22,vs COL,W 5-3,4,0,0,0,0,0,0,0,3,0,0,.356,.507,.863,.240
May 23,vs COL,W 3-0,2,0,0,0,0,0,0,1,0,0,0,.355,.494,.849,.234
May 25,vs SD,W 4-1,Did not play
May 26,vs SD,L 7-5,4,1,1,0,0,0,0,0,0,0,0,.351,.481,.832,.235
May 27,vs SD,W 6-1,2,1,1,0,0,1,2,0,1,0,0,.354,.518,.872,.241
May 28,vs PHI,W 5-4,3,0,1,0,0,0,1,1,1,0,0,.359,.512,.871,.244
May 29,vs PHI,L 6-1,4,1,2,1,0,0,0,0,0,0,0,.364,.522,.886,.256
May 30,vs PHI,W 8-2,5,1,1,0,0,1,1,0,3,0,0,.357,.537,.894,.253
May 31,vs PHI,L 2-1,3,0,0,0,0,0,0,1,1,0,0,.353,.520,.873,.245
Jun 1,@ COL,W 11-8,4,0,0,0,0,0,0,1,0,0,0,.347,.500,.847,.235
Jun 2,@ COL,W 12-4,Did not play
Jun 3,@ COL,W 10-7,5,2,2,0,0,2,4,0,1,0,0,.349,.551,.900,.243
Jun 5,@ PIT,W 5-0,3,0,1,0,0,0,0,1,2,0,0,.354,.545,.899,.245
Jun 6,@ PIT,L 11-9,4,2,2,0,0,0,0,1,1,0,0,.363,.544,.907,.254
Jun 7,@ PIT,W 8-7,4,0,1,0,0,0,0,1,1,1,0,.364,.534,.898,.254
Jun 8,vs ATL,W 7-3,4,1,2,1,0,1,2,0,0,0,0,.368,.566,.934,.262
Jun 9,vs ATL,L 5-3,1,1,1,0,0,1,1,3,0,0,0,.385,.593,.978,.268
Jun 10,vs ATL,W 7-2,2,1,1,0,0,1,2,2,1,0,0,.395,.616,1.011,.272
Jun 12,vs TEX,W 12-5,5,1,2,0,0,1,2,0,2,0,0,.395,.631,1.026,.277
