DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,@ CIN,W 9-2,1.1,1,0,0,0,0,1,1,3,14,5,-,-,-,5.35
Jul 20,@ CIN,W 12-1,1.0,0,0,0,0,0,2,0,1,13,3,-,-,-,5.54
Jul 14,vs MIL,W 6-2,1.1,3,2,2,0,1,3,0,4,44,8,-,-,H(12),5.70
Jul 12,vs MIL,W 6-3,0.1,2,2,1,0,1,0,3,1,20,5,-,-,-,5.40
Jul 10,vs WSH,L 5-1,2.0,2,0,0,0,0,1,4,3,32,8,-,-,-,5.19
Jun 23,vs ARI,L 7-2,2.0,2,1,1,0,2,1,3,3,32,9,-,-,-,5.51
Jun 21,vs ARI,L 9-3,2.0,1,1,0,0,0,1,3,4,30,8,-,-,-,5.58
Jun 17,vs CIN,L 8-6,1.0,1,0,0,0,0,2,1,0,10,3,-,-,-,5.97
Jun 16,vs CIN,W 6-2,1.0,2,1,1,1,0,2,2,1,25,5,-,-,-,6.18
Jun 12,@ ARI,L 13-8,1.0,0,0,0,0,0,2,0,1,16,3,-,-,-,6.08
Jun 7,vs LAD,L 8-7,2.0,2,2,2,1,2,1,3,3,40,9,-,-,-,6.31
Jun 3,@ STL,L 5-0,0.2,2,1,1,0,1,1,1,2,28,5,-,-,-,6.08
May 29,vs CHC,L 8-6,1.0,2,2,2,1,1,1,0,4,20,7,-,-,-,5.87
May 27,vs STL,L 6-4,0.1,1,3,3,0,2,1,0,1,17,4,-,L(0-2),H(11),5.32
May 25,vs STL,W 8-1,1.0,1,1,1,1,0,1,1,2,18,4,-,-,-,4.15
May 23,@ CIN,W 5-4,0.2,2,3,3,0,1,0,0,4,17,5,-,-,H(10),3.92
May 20,vs SD,L 8-5,1.0,0,0,0,0,0,1,1,1,16,3,-,-,-,2.70
May 17,vs SD,W 5-4,1.0,0,0,0,0,0,1,0,2,13,3,-,-,H(9),2.84
May 16,vs CHW,W 3-2,1.0,1,0,0,0,0,1,2,1,14,4,-,-,H(8),3.00
May 12,vs SF,W 6-5,1.0,2,1,1,0,0,1,1,3,27,5,-,-,H(7),3.18
May 11,vs SF,W 11-2,1.0,1,0,0,0,1,2,0,2,23,5,-,-,-,2.81
May 8,@ CHW,W 10-6,1.0,1,0,0,0,0,1,2,0,14,3,-,-,-,3.00
May 4,@ MIL,W 6-4,1.0,1,0,0,0,1,3,0,1,22,5,-,-,H(6),3.21
May 3,@ WSH,L 3-1,1.0,0,0,0,0,0,1,1,1,14,3,-,-,-,3.46
Apr 29,vs STL,W 5-0,1.0,1,0,0,0,0,0,0,3,27,3,-,-,-,3.75
Apr 28,vs STL,W 6-2,1.0,1,0,0,0,0,1,2,1,17,4,-,-,H(5),4.09
Apr 25,vs DET,W 8-3,1.0,0,0,0,0,1,0,0,3,22,4,-,-,H(4),4.50
Apr 22,@ PHI,L 3-2,1.0,1,0,0,0,0,3,1,0,20,4,-,-,-,5.00
Apr 21,@ PHI,L 6-2,0.2,1,1,1,1,0,2,0,1,16,3,-,L(0-1),BlSv(2),5.63
Apr 20,@ PHI,L 2-1,1.0,1,0,0,0,0,2,0,2,16,4,-,-,-,4.91
Apr 15,@ MIA,W 7-3,0.1,0,0,0,0,0,1,1,0,8,2,-,-,H(3),5.68
Apr 14,@ MIA,W 1-0,1.0,0,0,0,0,0,1,0,2,13,3,-,-,-,6.00
Apr 12,@ CHC,W 6-1,1.0,1,0,0,0,0,1,1,2,14,4,-,-,-,7.20
Apr 7,vs CIN,L 7-4,1.0,0,0,0,0,0,1,0,2,12,3,-,-,-,9.00
Apr 5,vs CIN,W 5-2,1.0,0,0,0,0,1,1,0,2,19,4,-,-,-,12.00
Apr 2,vs MIN,W 5-4,1.0,0,0,0,0,2,1,1,1,21,5,-,-,H(2),18.00
Apr 1,@ DET,W 1-0,1.0,1,0,0,0,0,1,0,3,11,4,-,-,H(1),36.00
Mar 30,@ DET,W 13-10,0.0,3,4,4,0,1,0,0,3,17,4,-,-,BlSv(1),INF
