DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,vs PIT,L 13-10,6,1,2,1,0,0,2,1,1,0,0,.429,.500,.929,.333
Apr 1,vs PIT,L 1-0,4,0,0,0,0,0,0,0,1,0,0,.273,.300,.573,.200
Apr 1,vs PIT,L 8-6,4,2,3,2,0,1,2,1,1,0,0,.438,.786,1.224,.357
Apr 2,vs KC,W 6-1,3,1,1,0,0,0,1,1,0,0,0,.450,.706,1.156,.353
Apr 3,vs KC,L 1-0,4,0,0,0,0,0,0,0,1,0,0,.375,.571,.946,.286
Apr 5,@ CHW,W 9-7,1,0,1,0,0,0,0,0,0,0,0,.400,.591,.991,.318
Apr 7,@ CHW,W 6-1,4,0,1,0,0,0,3,1,1,0,0,.400,.538,.938,.308
Apr 8,@ CHW,W 1-0,3,0,0,0,0,0,1,0,2,0,0,.353,.483,.836,.276
Apr 9,@ CLE,L 2-0,4,0,0,0,0,0,0,0,1,0,0,.316,.424,.740,.242
Apr 10,@ CLE,L 2-1,4,0,1,0,0,0,0,0,0,0,0,.310,.405,.715,.243
Apr 11,@ CLE,L 5-1,4,0,0,0,0,0,0,0,0,0,0,.283,.366,.649,.220
Apr 12,@ CLE,L 9-3,3,0,1,0,0,0,0,1,1,0,0,.300,.364,.664,.227
Apr 13,vs NYY,L 8-6,5,1,2,0,0,0,0,0,2,0,0,.309,.367,.676,.245
Apr 17,vs BAL,W 4-2,2,0,0,0,0,0,0,2,1,0,0,.322,.353,.675,.235
Apr 18,vs BAL,W 6-5,4,1,2,1,0,1,1,0,1,0,0,.333,.436,.769,.255
Apr 19,vs BAL,W 13-8,5,0,3,1,0,0,0,0,0,0,0,.353,.467,.820,.283
Apr 20,vs KC,W 3-2,2,0,0,0,0,0,0,2,1,0,0,.361,.452,.813,.274
Apr 20,vs KC,L 3-2,1,0,1,0,0,0,0,0,0,0,0,.370,.460,.830,.286
Apr 21,vs KC,W 12-4,4,2,2,0,0,0,3,2,0,0,0,.392,.463,.855,.299
Apr 22,vs KC,L 8-5,3,1,1,0,0,0,1,1,0,0,0,.398,.457,.855,.300
Apr 25,@ PIT,W 13-10,6,3,4,3,0,0,2,0,1,0,0,.416,.513,.929,.329
Apr 25,@ PIT,L 8-3,Did not play
Apr 26,@ PIT,L 1-0,4,0,1,0,0,0,0,0,0,0,0,.409,.500,.909,.325
Apr 27,@ BAL,L 6-0,3,0,0,0,0,0,0,1,1,0,0,.402,.482,.884,.313
Apr 28,@ BAL,W 9-5,4,1,3,1,0,1,5,1,0,0,0,.422,.540,.962,.333
Apr 29,@ BAL,L 5-3,2,0,0,0,0,0,0,0,0,0,0,.413,.528,.941,.326
Apr 30,vs TB,L 3-2,Did not play
May 1,vs TB,W 2-1,Did not play
May 2,vs TB,W 3-2,Did not play
May 3,@ KC,L 10-6,4,0,1,0,0,0,0,0,1,0,0,.407,.516,.923,.323
May 4,@ KC,L 4-2,Did not play
May 5,@ KC,W 3-2,Did not play
May 6,@ KC,L 4-2,Did not play
May 7,@ TEX,L 7-6,Did not play
May 8,@ TEX,W 7-4,Did not play
May 9,@ TEX,L 5-4,Did not play
May 12,vs SEA,W 4-3,Did not play
May 12,vs SEA,L 9-5,Did not play
May 13,vs SEA,W 5-4,Did not play
May 14,vs CLE,W 6-3,Did not play
May 15,vs CLE,W 9-8,Did not play
May 16,vs CLE,L 6-0,Did not play
May 17,@ SEA,W 3-2,Did not play
May 18,@ SEA,L 5-4,Did not play
May 19,@ SEA,L 7-2,Did not play
May 20,@ SEA,L 3-2,Did not play
May 21,@ MIN,L 4-2,Did not play
May 22,@ MIN,L 6-0,Did not play
May 23,@ MIN,W 4-1,Did not play
May 25,vs CHW,W 5-4,Did not play
May 26,vs CHW,L 8-4,Did not play
May 27,vs CHW,W 3-2,Did not play
May 28,vs LAA,W 9-3,Did not play
May 29,vs LAA,L 9-2,Did not play
May 30,vs LAA,W 6-1,Did not play
May 31,vs LAA,W 6-2,Did not play
Jun 1,vs TOR,W 5-2,3,0,1,0,0,0,0,1,0,0,0,.411,.510,.921,.323
Jun 2,vs TOR,W 7-4,3,0,1,0,0,0,0,1,2,0,0,.414,.505,.919,.323
Jun 3,vs TOR,L 8-4,4,1,1,0,0,0,0,0,1,0,0,.408,.495,.903,.320
Jun 4,vs NYY,L 7-4,4,0,1,1,0,0,1,0,2,0,0,.403,.495,.898,.318
Jun 4,vs NYY,W 4-2,4,1,1,1,0,0,0,0,0,0,0,.398,.495,.893,.315
Jun 5,@ BOS,L 6-0,3,0,0,0,0,0,0,1,0,0,0,.394,.482,.876,.307
Jun 6,@ BOS,L 7-1,4,0,2,0,0,0,0,0,1,0,0,.397,.483,.880,.314
Jun 7,@ BOS,W 7-2,3,1,0,0,0,0,0,2,1,0,0,.397,.471,.868,.306
Jun 8,vs CLE,L 4-1,4,0,2,0,0,0,0,0,1,0,0,.400,.472,.872,.312
Jun 9,vs CLE,W 4-2,4,1,1,0,0,0,0,2,0,0,0,.404,.465,.869,.310
Jun 10,vs CLE,L 9-2,4,0,0,0,0,0,0,0,1,0,0,.394,.451,.845,.301
Jun 13,vs MIN,W 5-2,Did not play
Jun 14,vs MIN,W 3-1,Did not play
Jun 15,@ CHW,W 4-3,Did not play
Jun 16,@ CHW,W 7-5,Did not play
Jun 17,@ CHW,W 3-1,Did not play
Jun 19,@ CIN,L 9-5,Did not play
Jun 20,@ CIN,L 5-3,Did not play
Jun 22,@ CLE,L 10-0,Did not play
Jun 23,@ CLE,L 4-1,Did not play
Jun 24,@ CLE,L 12-2,Did not play
Jun 25,vs OAK,L 5-4,Did not play
Jun 26,vs OAK,L 9-7,Did not play
Jun 27,vs OAK,L 3-0,Did not play
Jun 28,vs OAK,L 4-2,Did not play
Jun 29,@ TOR,L 3-2,Did not play
Jun 30,@ TOR,L 4-3,Did not play
Jul 1,@ TOR,W 9-1,Did not play
Jul 2,@ TOR,W 3-2,Did not play
Jul 3,@ CHC,L 5-3,Did not play
Jul 4,@ CHC,L 5-2,Did not play
Jul 5,vs TEX,L 7-5,Did not play
Jul 6,vs TEX,W 3-1,Did not play
Jul 7,vs TEX,W 7-2,Did not play
Jul 8,vs TEX,L 3-0,Did not play
Jul 9,@ TB,L 10-9,Did not play
Jul 10,@ TB,L 5-2,Did not play
Jul 11,@ TB,L 4-2,Did not play
Jul 13,@ HOU,L 3-0,Did not play
Jul 14,@ HOU,L 9-1,Did not play
Jul 15,@ HOU,W 6-3,Did not play
Jul 20,vs BOS,L 1-0,Did not play
Jul 21,vs BOS,W 5-0,Did not play
Jul 22,vs BOS,L 9-1,Did not play
Jul 23,@ KC,W 5-4,Did not play
Jul 24,@ KC,L 5-4,Did not play
