DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs BOS,L 5-3,3.0,3,0,0,0,1,1,8,1,53,11,-,-,-,3.32
Jul 20,@ TOR,L 8-7,0.2,1,0,0,0,1,1,1,1,8,4,-,-,-,3.49
Jul 15,vs TEX,W 6-5,2.2,1,4,4,1,3,2,5,2,60,12,39,-,-,3.54
Jul 12,vs PHI,L 5-4,1.0,0,0,0,0,0,0,2,0,10,2,-,-,-,3.04
Jul 10,vs NYY,W 6-5,0.2,1,0,0,0,1,0,1,2,13,4,-,-,-,3.10
Jul 8,@ MIN,L 10-1,1.0,0,0,0,0,0,0,1,2,8,3,-,-,-,3.14
Jul 7,@ MIN,L 5-4,1.0,2,2,2,0,2,0,2,2,25,6,-,L(2-5),-,3.20
Jul 1,vs LAA,W 8-2,1.0,0,0,0,0,0,2,0,1,16,4,-,-,-,2.90
Jun 28,vs SEA,L 4-2,0.0,3,2,1,0,0,0,2,2,11,4,-,L(2-4),-,INF
Jun 26,vs SEA,L 3-2,1.2,0,0,0,0,0,1,1,2,19,4,-,-,-,2.77
Jun 25,vs SEA,L 5-3,0.1,1,2,2,0,3,0,1,1,17,5,-,L(2-3),-,2.87
Jun 22,@ ATL,W 10-7,3.0,0,0,0,0,0,1,4,4,43,10,-,-,-,2.51
Jun 20,@ WSH,W 3-0,2.0,0,0,0,0,2,2,2,3,31,9,-,W(2-2),-,2.68
Jun 19,@ WSH,L 9-7,0.1,0,0,0,0,0,0,1,0,5,1,-,-,-,2.81
Jun 17,vs MIA,W 10-4,0.0,2,0,0,0,1,0,2,0,12,3,-,-,-,2.83
Jun 15,vs MIA,L 2-0,0.2,2,0,0,0,0,1,0,3,14,4,-,-,-,2.83
Jun 12,vs BOS,L 6-4,2.2,2,1,1,0,2,1,3,4,29,10,-,-,-,2.88
Jun 9,@ TOR,L 4-3,2.0,2,0,0,0,1,0,2,6,34,9,-,-,-,2.84
Jun 7,@ TOR,L 5-4,1.1,2,1,1,0,1,2,1,2,30,6,-,L(1-2),-,3.00
Jun 2,vs NYY,L 8-5,1.2,0,0,0,0,1,1,1,3,37,7,-,-,-,2.86
May 30,vs WSH,L 2-0,1.0,2,1,1,0,1,0,3,2,22,6,-,-,-,3.00
May 28,vs WSH,L 6-0,1.1,0,0,0,0,1,2,0,2,19,5,-,-,-,2.81
May 26,@ TB,L 5-1,2.0,0,0,0,0,2,1,4,1,27,8,-,-,-,2.93
May 22,@ CHW,L 3-2,0.1,0,0,0,0,0,1,0,0,4,1,-,-,-,3.14
May 19,@ BOS,L 6-3,1.2,0,0,0,0,1,0,3,1,15,5,-,-,-,3.18
May 17,@ BOS,L 6-2,1.1,0,0,0,0,2,1,1,2,25,6,-,-,-,3.38
May 10,vs KC,W 11-6,4.2,4,0,0,0,2,1,10,5,65,18,-,W(1-1),-,3.55
May 6,@ OAK,L 2-1,1.0,1,0,0,0,0,1,0,3,17,4,-,-,-,4.35
May 3,@ LAA,L 12-3,2.1,4,4,4,0,1,3,3,4,56,12,-,-,-,4.58
May 1,@ LAA,L 3-2,1.0,0,0,0,0,1,1,1,1,12,4,-,-,-,3.12
Apr 28,vs DET,L 9-5,1.1,1,0,0,0,1,2,1,2,23,6,-,-,-,3.31
Apr 25,vs TB,L 8-4,1.1,1,1,1,1,0,0,1,4,19,5,-,-,-,3.60
Apr 22,vs CLE,L 7-3,2.0,2,0,0,0,0,1,2,5,30,8,-,-,-,3.29
Apr 18,@ DET,L 6-5,0.1,0,0,0,0,0,0,0,1,3,1,-,-,-,3.86
Apr 14,@ BOS,L 10-3,2.0,3,1,1,0,1,1,3,5,42,10,-,-,-,3.97
Apr 10,vs TOR,L 2-1,1.0,1,1,0,0,1,1,1,3,24,6,-,-,-,3.86
Apr 8,@ NYY,W 8-7,2.0,3,1,1,0,1,1,7,1,35,10,-,-,-,4.32
Apr 6,@ NYY,W 7-3,2.1,1,1,1,1,0,2,4,2,26,8,-,-,BlSv(1),4.26
Apr 4,@ HOU,L 3-2,1.0,1,1,1,0,1,0,2,2,18,5,-,L(0-1),-,4.50
Apr 2,@ HOU,L 6-1,2.0,2,1,1,0,1,3,2,2,34,8,-,-,-,3.00
Mar 31,vs MIN,L 6-2,1.0,0,0,0,0,0,1,2,0,13,3,-,-,-,0.00
