DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,vs BOS,W 5-0,6.1,7,0,0,0,3,6,10,10,99,29,62,W(7-6),-,3.49
Jul 13,@ HOU,L 3-0,6.0,9,3,3,1,0,2,11,13,91,26,44,L(6-6),-,3.70
Jul 7,vs TEX,W 7-2,6.0,5,1,1,1,1,6,5,12,98,24,63,W(6-5),-,3.65
Jul 2,@ TOR,W 3-2,8.0,3,1,1,0,1,5,11,11,89,28,76,-,-,3.79
Jun 27,vs OAK,L 3-0,7.0,5,1,1,0,1,5,5,16,109,28,67,L(5-5),-,4.04
Jun 22,@ CLE,L 10-0,5.0,4,4,4,2,3,4,5,11,85,23,44,L(5-4),-,4.29
Jun 15,@ CHW,W 4-3,5.1,8,3,3,1,1,4,9,10,83,25,43,-,-,4.09
Jun 9,vs CLE,W 4-2,7.0,5,1,1,1,1,8,5,12,108,26,70,-,-,4.01
Jun 4,vs NYY,W 4-2,5.2,6,2,2,1,2,6,8,9,100,26,53,W(5-3),-,4.33
May 30,vs LAA,W 6-1,5.2,7,1,1,0,1,4,9,10,92,24,54,-,-,4.45
May 25,vs CHW,W 5-4,5.2,9,4,4,1,3,4,7,14,98,28,36,-,-,4.78
May 19,@ SEA,L 7-2,5.0,6,4,4,2,1,2,9,10,100,23,40,L(4-3),-,4.57
May 14,vs CLE,W 6-3,6.0,3,1,1,1,1,5,4,12,92,22,66,W(4-2),-,4.23
May 8,@ TEX,W 7-4,5.1,6,2,2,1,0,5,6,9,79,20,53,W(3-2),-,4.73
May 3,@ KC,L 10-6,4.0,6,5,5,2,1,1,3,14,66,19,30,-,-,5.00
Apr 27,@ BAL,L 6-0,6.0,4,3,3,2,1,5,8,9,82,23,56,L(2-2),-,3.91
Apr 21,vs KC,W 12-4,5.1,10,4,2,0,1,0,10,15,81,27,35,W(2-1),-,3.71
Apr 13,vs NYY,L 8-6,5.2,8,6,5,2,1,4,14,8,89,27,34,L(1-1),-,3.86
Apr 8,@ CHW,W 1-0,6.0,3,0,0,0,1,6,5,9,90,22,71,W(1-0),-,0.00
