DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs BOS,W 7-6,1.0,0,0,0,0,0,2,0,1,11,3,-,-,H(1),4.67
Jul 21,@ TOR,L 4-1,1.0,2,0,0,0,0,0,1,3,18,4,-,-,-,4.75
Jul 15,vs TEX,W 6-5,3.0,5,1,1,1,0,3,3,7,64,13,-,-,-,4.85
Jul 11,vs NYY,L 9-0,1.1,3,1,1,1,1,0,1,6,39,8,-,-,-,4.96
Jul 9,vs NYY,W 5-4,2.0,2,1,1,0,0,4,3,1,33,8,-,W(2-0),-,4.91
Jul 6,@ MIN,L 6-2,1.1,2,0,0,0,0,2,2,2,26,6,-,-,-,4.93
Jun 27,vs SEA,L 8-7,2.1,1,0,0,0,0,0,2,6,32,8,-,-,-,5.08
Jun 24,@ ATL,L 7-3,3.0,2,0,0,0,0,3,3,4,38,11,-,-,-,5.36
Jun 22,@ ATL,W 10-7,2.0,1,0,0,0,1,1,4,2,35,8,-,W(1-0),-,5.77
Jun 19,@ WSH,L 9-7,1.2,4,1,1,0,2,1,3,4,31,10,-,-,-,6.08
Jun 13,vs BOS,L 5-1,2.1,3,2,2,1,2,1,3,5,52,11,-,-,-,6.11
Jun 10,@ TOR,L 13-3,2.1,4,0,0,0,0,2,1,8,42,11,-,-,-,6.00
Jun 8,@ TOR,L 5-1,1.0,2,1,1,1,1,0,3,2,31,6,-,-,-,6.46
Jun 1,vs NYY,L 4-1,1.0,0,0,0,0,0,1,1,1,12,3,-,-,-,6.37
May 30,vs WSH,L 2-0,1.0,1,0,0,0,0,0,3,0,10,3,-,-,-,6.59
May 27,@ TB,L 8-3,2.2,2,0,0,0,2,5,1,4,55,13,-,-,-,6.83
May 23,@ CHW,L 11-1,1.0,0,0,0,0,0,1,0,2,14,3,-,-,-,7.56
May 20,@ BOS,L 5-0,2.1,4,0,0,0,3,1,0,10,52,14,-,-,-,7.88
May 13,vs TB,W 17-1,1.0,1,0,0,0,1,0,1,2,12,4,-,-,-,8.72
May 12,vs TB,L 10-3,1.1,3,3,3,0,1,1,2,3,23,7,-,-,-,9.15
May 8,vs KC,L 15-7,4.2,8,5,5,0,0,1,8,13,80,22,-,-,-,8.38
May 2,@ LAA,L 10-7,1.2,1,2,2,0,3,2,1,3,45,9,-,-,-,7.98
Apr 26,vs TB,L 9-5,1.1,0,0,0,0,0,3,0,1,21,4,-,-,-,7.62
Apr 19,@ DET,L 13-8,3.1,5,5,5,1,1,1,6,8,59,17,-,-,-,8.49
Apr 13,@ BOS,L 7-3,2.2,2,1,1,0,3,3,1,6,55,13,-,-,-,6.48
Apr 8,@ NYY,W 8-7,0.2,5,5,2,0,1,1,2,5,39,9,28,-,-,7.94
Apr 3,@ HOU,L 10-6,5.0,4,3,3,1,1,6,5,7,82,20,-,-,-,5.40
