DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CLE,W 2-1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 31,vs CLE,L 6-5,Did not play
Apr 1,vs CLE,W 5-4,Did not play
Apr 3,@ SF,W 6-4,Did not play
Apr 4,@ SF,L 10-1,Did not play
Apr 5,@ MIN,L 4-2,Did not play
Apr 7,@ MIN,W 11-4,Did not play
Apr 9,@ KC,L 10-0,Did not play
Apr 10,@ KC,W 8-3,Did not play
Apr 11,@ KC,W 4-2,Did not play
Apr 13,vs OAK,W 7-4,Did not play
Apr 14,vs OAK,W 10-8,Did not play
Apr 15,vs OAK,L 2-1,Did not play
Apr 16,vs HOU,W 2-1,Did not play
Apr 17,vs HOU,L 4-1,Did not play
Apr 18,vs HOU,L 7-1,Did not play
Apr 19,vs HOU,L 9-2,Did not play
Apr 20,@ TEX,W 6-2,5,0,0,0,0,0,0,0,4,0,0,.000,.000,.000,.000
Apr 21,@ TEX,W 9-7,3,1,0,0,0,0,0,0,1,0,0,.111,.000,.111,.000
Apr 22,@ TEX,L 7-4,1,0,0,0,0,0,0,0,1,0,0,.100,.000,.100,.000
Apr 23,@ CHW,L 10-4,4,1,2,0,0,1,2,0,1,0,0,.214,.385,.599,.154
Apr 24,@ CHW,W 1-0,3,0,0,0,0,0,0,0,0,0,0,.176,.313,.489,.125
Apr 25,@ CHW,W 4-3,4,2,2,1,0,1,1,0,1,0,0,.238,.550,.788,.200
Apr 26,@ CLE,W 5-4,4,0,1,0,0,0,1,0,0,0,0,.240,.500,.740,.208
Apr 27,@ CLE,L 6-5,4,1,1,0,0,1,3,0,0,0,0,.241,.571,.812,.214
Apr 28,@ CLE,W 12-4,Did not play
Apr 29,@ CLE,W 10-4,5,0,0,0,0,0,0,0,3,0,0,.206,.485,.691,.182
May 1,vs OAK,W 6-3,4,0,1,1,0,0,1,0,3,0,0,.211,.486,.697,.189
May 2,vs OAK,L 3-2,3,0,0,0,0,0,0,1,1,0,0,.214,.450,.664,.175
May 3,vs OAK,W 4-1,3,0,0,0,0,0,0,0,3,0,0,.200,.419,.619,.163
May 4,vs LAA,L 5-0,Did not play
May 5,vs LAA,W 9-8,5,1,2,0,0,1,2,0,2,0,0,.220,.479,.699,.188
May 6,vs LAA,L 8-2,2,0,0,0,0,0,0,2,1,0,0,.241,.460,.701,.180
May 8,@ TOR,W 5-0,4,1,1,0,0,1,2,0,0,0,0,.241,.500,.741,.185
May 9,@ TOR,L 5-2,4,0,0,0,0,0,0,0,2,0,0,.226,.466,.692,.172
May 10,@ TOR,W 9-3,4,1,2,0,0,1,1,1,1,0,0,.254,.516,.770,.194
May 12,@ DET,L 4-3,4,0,1,0,0,0,1,0,1,0,0,.254,.500,.754,.197
May 12,@ DET,W 9-5,Did not play
May 13,@ DET,L 5-4,4,0,2,0,0,0,0,0,1,0,0,.267,.500,.767,.214
May 14,@ MIN,W 1-0,4,0,0,0,0,0,0,0,2,0,0,.253,.473,.726,.203
May 15,vs TEX,W 9-8,5,0,1,0,0,0,0,0,2,0,0,.250,.456,.706,.203
May 16,vs TEX,L 5-1,3,0,1,0,0,0,0,0,0,0,0,.253,.451,.704,.207
May 17,vs DET,L 3-2,4,0,0,0,0,0,0,0,3,0,0,.242,.430,.672,.198
May 18,vs DET,W 5-4,2,1,0,0,0,0,0,1,1,0,0,.245,.420,.665,.193
May 19,vs DET,W 7-2,4,2,2,0,0,0,1,0,2,0,0,.255,.424,.679,.207
May 20,vs DET,W 3-2,2,0,1,0,0,0,0,0,1,0,0,.260,.426,.686,.213
May 22,@ OAK,W 3-2,4,1,1,0,0,1,2,0,2,0,0,.260,.449,.709,.214
May 23,@ OAK,W 1-0,4,0,0,0,0,0,0,0,1,0,0,.250,.431,.681,.206
May 24,@ OAK,L 4-3,1,0,0,0,0,0,0,0,1,0,0,.248,.427,.675,.204
May 25,vs MIN,W 2-1,3,0,0,0,0,0,0,0,2,0,0,.241,.415,.656,.198
May 26,vs MIN,W 4-3,5,1,1,0,0,1,1,0,3,0,0,.239,.432,.671,.198
May 27,vs MIN,W 3-1,Did not play
May 28,vs TEX,W 2-1,2,0,0,0,0,0,0,0,0,0,0,.242,.425,.667,.195
May 29,vs TEX,L 9-5,3,0,0,0,0,0,0,0,2,0,0,.242,.414,.656,.190
May 30,vs TEX,L 7-6,3,2,2,2,0,0,0,1,1,0,0,.258,.437,.695,.202
May 31,vs TEX,W 6-1,3,1,1,0,0,0,0,1,1,0,0,.265,.434,.699,.205
Jun 1,vs TB,W 4-3,2,0,1,0,0,0,0,0,1,0,0,.269,.435,.704,.210
Jun 2,vs TB,W 3-1,3,0,1,0,0,0,0,0,2,0,0,.275,.433,.708,.213
Jun 3,vs TB,W 2-1,3,0,0,0,0,0,0,0,3,0,0,.270,.423,.693,.208
Jun 5,@ HOU,W 7-1,3,1,1,0,0,1,2,1,0,0,0,.276,.444,.720,.211
Jun 6,@ HOU,L 7-5,4,0,0,0,0,0,0,0,1,0,0,.268,.431,.699,.204
Jun 7,@ TB,W 5-4,Did not play
Jun 8,@ TB,W 4-3,4,0,1,1,0,0,0,0,2,0,0,.268,.433,.701,.206
Jun 9,@ TB,L 7-3,3,0,1,0,0,0,0,1,1,0,0,.274,.431,.705,.208
Jun 10,@ TB,W 5-4,3,1,1,0,0,1,2,0,2,0,0,.275,.449,.724,.211
Jun 11,vs LAA,W 5-3,3,0,0,0,0,0,0,0,3,0,0,.270,.440,.710,.207
Jun 12,vs LAA,W 6-3,Did not play
Jun 13,vs LAA,W 8-6,4,0,1,1,0,0,1,0,2,0,0,.269,.442,.711,.208
Jun 14,vs BOS,L 2-1,3,0,0,0,0,0,0,0,2,0,0,.265,.433,.698,.204
Jun 15,vs BOS,W 7-6,4,1,2,0,0,1,2,0,1,0,0,.270,.453,.723,.211
Jun 16,vs BOS,W 1-0,3,0,0,0,0,0,0,0,1,0,0,.266,.445,.711,.207
Jun 17,vs BOS,L 9-3,Did not play
Jun 19,@ NYY,L 7-2,3,0,0,0,0,0,0,0,2,0,0,.261,.437,.698,.204
Jun 20,@ NYY,L 7-5,3,0,0,0,0,0,0,0,1,0,0,.261,.429,.690,.200
Jun 21,@ NYY,L 4-3,3,0,1,1,0,0,0,1,0,0,0,.266,.434,.700,.202
Jun 22,@ BOS,L 14-10,4,0,0,0,0,0,0,0,2,0,0,.260,.424,.684,.198
Jun 23,@ BOS,W 7-2,Did not play
Jun 24,@ BOS,L 5-0,3,0,0,0,0,0,0,0,3,0,0,.256,.417,.673,.194
Jun 25,@ BAL,W 5-3,Did not play
Jun 26,@ BAL,W 3-2,4,0,0,0,0,0,0,0,1,0,0,.251,.408,.659,.190
Jun 27,@ BAL,W 8-7,4,0,1,0,0,0,2,0,1,0,0,.255,.404,.659,.191
Jun 28,@ BAL,W 4-2,Did not play
Jun 29,vs KC,W 4-1,3,1,1,0,0,1,1,0,2,0,0,.256,.419,.675,.194
Jun 30,vs KC,W 6-4,3,0,0,0,0,0,1,0,1,0,0,.251,.412,.663,.191
Jul 1,vs KC,W 1-0,3,0,0,0,0,0,0,0,0,0,0,.248,.406,.654,.188
Jul 3,vs LAA,W 4-1,3,0,0,0,0,0,0,0,1,0,0,.244,.400,.644,.185
Jul 4,vs LAA,L 7-4,1,0,1,0,0,0,0,1,0,0,0,.251,.403,.654,.189
Jul 5,vs LAA,W 4-1,Did not play
Jul 6,vs COL,L 7-1,Did not play
Jul 7,vs COL,L 5-1,Did not play
Jul 8,vs COL,W 6-4,Did not play
Jul 10,@ LAA,L 9-3,Did not play
Jul 11,@ LAA,W 3-0,Did not play
Jul 12,@ LAA,L 11-2,Did not play
Jul 13,@ COL,L 10-7,Did not play
Jul 14,@ COL,L 4-1,Did not play
Jul 15,@ COL,L 4-3,Did not play
Jul 20,vs CHW,W 3-1,Did not play
Jul 21,vs CHW,L 5-0,Did not play
Jul 22,vs CHW,W 8-2,4,0,0,0,0,0,0,0,2,0,0,.247,.395,.642,.185
Jul 24,vs SF,L 4-3,3,0,1,0,0,0,0,1,1,0,0,.251,.394,.645,.188
Jul 25,vs SF,W 3-2,3,0,0,0,0,0,0,0,1,0,0,.248,.389,.637,.185
