DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ BAL,L 3-2,Did not play
Mar 31,@ BAL,W 6-2,Did not play
Apr 1,@ BAL,W 7-0,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 2,@ PIT,L 5-4,Did not play
Apr 4,@ PIT,W 7-3,Did not play
Apr 5,vs SEA,W 4-2,3,1,1,0,0,1,1,0,1,0,0,.143,.571,.714,.143
Apr 7,vs SEA,L 11-4,1,0,0,0,0,0,0,0,1,0,0,.125,.500,.625,.125
Apr 9,vs HOU,L 2-0,Did not play
Apr 10,vs HOU,W 4-1,3,2,1,0,0,0,0,1,2,0,0,.250,.455,.705,.182
Apr 11,vs HOU,W 9-8,Did not play
Apr 12,vs CHW,W 4-0,Did not play
Apr 17,vs CLE,L 6-1,Did not play
Apr 18,vs CLE,W 2-1,Did not play
Apr 20,@ TB,L 8-7,Did not play
Apr 21,@ TB,L 10-1,4,0,0,0,0,0,0,0,1,0,0,.188,.333,.521,.133
Apr 22,@ TB,L 8-6,0,0,0,0,0,0,0,1,0,0,0,.235,.333,.568,.133
Apr 23,@ NYY,L 14-1,1,0,1,1,0,0,0,0,0,0,0,.278,.438,.716,.188
Apr 24,@ NYY,L 8-3,4,0,1,0,0,0,0,0,1,0,0,.273,.400,.673,.200
Apr 25,@ NYY,L 7-4,Did not play
Apr 26,@ NYY,L 4-3,4,0,1,0,0,0,0,0,3,0,0,.269,.375,.644,.208
Apr 27,vs CIN,L 15-9,Did not play
Apr 28,vs CIN,W 3-1,4,1,2,1,0,1,1,0,2,0,0,.300,.536,.836,.250
Apr 29,vs CIN,L 8-2,0,0,0,0,0,0,0,0,0,0,0,.300,.536,.836,.250
Apr 30,vs TOR,L 7-5,4,0,2,0,0,0,1,0,1,0,0,.324,.531,.855,.281
May 1,vs TOR,L 7-4,4,0,0,0,0,0,0,0,2,0,0,.289,.472,.761,.250
May 2,vs TOR,W 4-0,Did not play
May 3,@ CHW,L 6-5,Did not play
May 4,@ CHW,W 6-4,Did not play
May 5,@ CHW,W 8-4,4,0,1,0,0,0,1,1,1,0,0,.302,.450,.752,.250
May 6,@ CHW,W 5-3,Did not play
