DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ TB,L 6-4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 30,@ TB,W 1-0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 31,@ TB,W 3-2,3,0,0,0,0,0,0,1,0,0,0,.250,.000,.250,.000
Apr 1,@ TB,W 2-1,4,0,0,0,0,0,0,0,0,0,0,.125,.000,.125,.000
Apr 2,@ MIA,W 7-3,1,0,0,0,0,0,0,0,0,0,0,.111,.000,.111,.000
Apr 3,@ MIA,W 4-2,1,0,0,0,0,0,0,0,0,0,0,.100,.000,.100,.000
Apr 5,vs TB,W 3-2,Did not play
Apr 7,vs TB,W 10-3,Did not play
Apr 8,vs TB,W 8-7,4,1,1,1,0,0,1,0,1,0,0,.143,.154,.297,.077
Apr 10,vs NYY,W 14-1,Did not play
Apr 11,vs NYY,L 10-7,3,0,1,1,0,0,0,1,0,0,0,.222,.250,.472,.125
Apr 12,vs NYY,W 6-3,3,0,2,0,0,0,1,0,1,0,0,.286,.316,.602,.211
Apr 13,vs BAL,W 7-3,4,2,1,0,0,0,0,1,1,0,0,.308,.304,.612,.217
Apr 14,vs BAL,W 10-3,Did not play
Apr 15,vs BAL,W 3-1,4,1,3,2,0,0,0,0,0,0,0,.367,.444,.811,.296
Apr 17,@ LAA,W 10-1,0,0,0,0,0,0,0,1,0,0,0,.387,.444,.831,.296
Apr 18,@ LAA,W 9-0,4,2,3,0,0,1,4,1,0,0,0,.444,.581,1.025,.355
Apr 19,@ LAA,W 8-2,4,0,1,1,0,0,1,0,2,0,0,.415,.571,.986,.343
Apr 20,@ OAK,W 7-3,4,1,1,0,0,1,4,0,1,0,0,.400,.615,1.015,.333
Apr 21,@ OAK,L 3-0,Did not play
Apr 22,@ OAK,L 4-1,4,0,2,0,0,0,0,0,1,0,0,.408,.605,1.013,.349
Apr 24,@ TOR,L 4-3,1,0,0,0,0,0,0,0,0,0,0,.400,.591,.991,.341
Apr 25,@ TOR,W 4-3,Did not play
Apr 26,@ TOR,W 5-4,4,1,0,0,0,0,0,0,1,0,0,.370,.542,.912,.313
Apr 27,vs TB,L 4-3,4,0,0,0,0,0,0,0,2,0,0,.345,.500,.845,.288
Apr 28,vs TB,L 12-6,Did not play
Apr 29,vs TB,W 4-3,3,0,0,0,0,0,0,1,1,1,0,.339,.473,.812,.273
Apr 30,vs KC,W 10-6,4,3,3,1,0,1,2,1,0,0,0,.373,.559,.932,.305
May 1,vs KC,L 7-6,6,2,3,0,0,1,1,0,1,0,0,.384,.600,.984,.323
May 2,vs KC,W 5-4,Did not play
May 3,@ TEX,L 11-5,Did not play
May 4,@ TEX,W 5-1,Did not play
May 5,@ TEX,W 6-5,3,1,2,0,0,1,2,1,0,0,0,.403,.647,1.050,.338
May 6,@ TEX,W 6-1,4,0,2,1,0,0,1,0,0,0,0,.407,.653,1.060,.347
May 8,@ NYY,L 3-2,Did not play
May 9,@ NYY,L 9-6,4,1,1,0,0,1,2,1,2,0,0,.407,.671,1.078,.342
May 10,@ NYY,W 5-4,4,0,0,0,0,0,0,0,2,0,0,.389,.638,1.027,.325
May 11,@ TOR,L 5-3,4,0,1,0,0,0,0,1,0,0,0,.389,.619,1.008,.321
May 12,@ TOR,W 5-2,Did not play
May 13,@ TOR,W 5-3,3,0,1,0,0,0,1,1,1,0,0,.394,.609,1.003,.322
May 14,vs OAK,L 6-5,1,0,0,0,0,0,0,0,0,0,0,.390,.602,.992,.318
May 15,vs OAK,L 5-3,3,0,2,2,0,0,1,1,0,0,0,.404,.626,1.030,.330
May 16,vs OAK,W 6-4,3,0,0,0,0,0,0,1,3,0,0,.398,.606,1.004,.319
May 17,vs BAL,W 6-2,Did not play
May 18,vs BAL,L 7-4,0,0,0,0,0,0,0,1,0,0,0,.404,.606,1.010,.319
May 19,vs BAL,W 6-3,Did not play
May 20,vs BAL,W 5-0,5,1,1,1,0,0,0,0,2,0,0,.395,.596,.991,.313
May 22,@ TB,W 4-2,Did not play
May 23,@ TB,W 4-1,Did not play
May 24,@ TB,L 6-3,4,1,1,0,0,1,1,0,1,0,0,.390,.612,1.002,.311
May 25,vs ATL,W 6-2,4,1,2,0,0,1,1,0,1,0,0,.393,.636,1.029,.318
May 26,vs ATL,W 8-6,5,1,2,1,1,0,2,0,1,0,0,.394,.652,1.046,.321
May 27,vs ATL,L 7-1,4,0,1,0,1,0,1,0,1,0,0,.389,.655,1.044,.319
May 28,vs TOR,W 8-3,4,0,1,0,0,0,0,0,1,0,0,.385,.642,1.027,.317
May 29,vs TOR,W 8-3,4,1,1,1,0,0,1,0,0,0,0,.381,.637,1.018,.315
May 30,vs TOR,W 6-4,1,0,0,0,0,0,0,0,1,0,0,.379,.632,1.011,.312
May 31,@ HOU,L 4-2,4,0,0,0,0,0,0,0,2,0,0,.368,.612,.980,.302
Jun 1,@ HOU,L 7-3,4,1,1,0,0,1,1,0,1,0,0,.365,.624,.989,.301
Jun 2,@ HOU,W 5-4,4,0,0,0,0,0,0,0,2,0,0,.355,.606,.961,.292
Jun 3,@ HOU,W 9-3,4,2,3,0,0,1,2,1,0,0,0,.369,.631,1.000,.305
Jun 5,vs DET,W 6-0,4,1,2,0,0,0,0,0,0,0,0,.373,.628,1.001,.310
Jun 6,vs DET,W 7-1,4,1,0,0,0,0,0,0,0,0,0,.364,.611,.975,.302
Jun 7,vs DET,L 7-2,3,0,1,1,0,0,0,1,2,0,0,.367,.612,.979,.303
Jun 8,vs CHW,L 1-0,4,0,0,0,0,0,0,0,0,0,0,.358,.596,.954,.295
Jun 9,vs CHW,W 4-2,0,0,0,0,0,0,0,0,0,0,0,.358,.596,.954,.295
Jun 10,vs CHW,L 5-2,3,0,1,0,0,0,0,2,1,0,0,.365,.591,.956,.296
Jun 11,@ BAL,W 2-0,5,0,0,0,0,0,0,0,3,0,0,.355,.573,.928,.287
Jun 12,@ BAL,W 6-4,3,0,1,0,0,0,0,2,1,0,0,.362,.569,.931,.287
Jun 13,@ BAL,W 5-1,Did not play
Jun 14,@ SEA,W 2-1,4,0,0,0,0,0,0,0,0,0,0,.354,.556,.910,.281
Jun 15,@ SEA,L 7-6,5,1,1,0,0,0,2,0,2,0,0,.350,.545,.895,.278
Jun 16,@ SEA,L 1-0,1,0,0,0,0,0,0,0,0,0,0,.348,.542,.890,.277
Jun 17,@ SEA,W 9-3,4,1,2,0,0,0,2,0,1,0,0,.351,.541,.892,.282
Jun 19,@ MIN,L 6-2,4,0,1,0,0,0,0,0,1,0,0,.350,.535,.885,.281
Jun 20,@ MIN,L 4-1,3,1,1,0,0,0,0,1,2,0,0,.352,.532,.884,.282
Jun 21,@ MIN,W 9-2,3,2,2,1,0,0,1,2,1,0,0,.363,.539,.902,.288
Jun 22,vs SEA,W 14-10,5,3,3,0,1,0,1,0,1,0,0,.368,.551,.919,.296
Jun 23,vs SEA,L 7-2,4,1,2,0,1,0,1,0,0,0,0,.371,.560,.931,.300
Jun 24,vs SEA,W 5-0,4,1,1,0,0,1,2,0,1,0,0,.368,.569,.937,.299
Jun 26,vs LAA,W 9-1,4,0,1,0,0,0,1,0,1,0,0,.366,.563,.929,.298
Jun 27,vs LAA,W 9-6,5,0,0,0,0,0,0,0,1,0,0,.359,.549,.908,.291
Jun 28,vs LAA,W 4-2,4,0,1,1,0,0,0,0,2,0,0,.357,.548,.905,.290
Jun 29,@ NYY,L 8-1,Did not play
Jun 30,@ NYY,W 11-0,4,1,0,0,0,0,0,1,1,0,0,.354,.538,.892,.285
Jul 1,@ NYY,L 11-1,3,0,1,0,0,0,0,0,1,0,0,.353,.536,.889,.286
Jul 2,@ WSH,W 4-3,4,1,1,0,0,0,0,0,2,0,0,.352,.531,.883,.285
Jul 3,@ WSH,W 11-4,1,1,1,0,0,0,0,0,0,0,0,.354,.533,.887,.288
Jul 4,@ WSH,W 3-0,Did not play
Jul 6,@ KC,W 10-5,Did not play
Jul 7,@ KC,W 15-4,3,2,1,0,0,0,1,2,0,0,0,.358,.530,.888,.289
Jul 8,@ KC,W 7-4,4,1,1,0,0,0,2,1,0,0,0,.358,.525,.883,.288
Jul 9,vs TEX,W 5-0,4,0,0,0,0,0,0,0,0,0,0,.353,.517,.870,.283
Jul 10,vs TEX,W 8-4,2,1,1,0,0,0,2,1,0,0,0,.355,.517,.872,.285
Jul 11,vs TEX,W 4-2,3,0,0,0,0,0,0,1,2,0,0,.354,.510,.864,.282
