DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,vs PIT,L 13-10,6,2,2,0,0,0,1,1,1,0,0,.429,.333,.762,.333
Apr 1,vs PIT,L 1-0,2,0,1,1,0,0,0,2,1,0,0,.545,.500,1.045,.375
Apr 1,vs PIT,L 8-6,5,2,2,0,1,0,1,0,2,0,0,.500,.615,1.115,.385
Apr 2,vs KC,W 6-1,4,2,2,0,1,0,1,0,0,0,0,.500,.706,1.206,.412
Apr 3,vs KC,L 1-0,4,0,0,0,0,0,0,0,2,0,0,.417,.571,.988,.333
Apr 5,@ CHW,W 9-7,5,2,3,0,0,0,0,0,0,0,0,.448,.577,1.025,.385
Apr 7,@ CHW,W 6-1,4,0,1,1,0,0,0,1,1,0,0,.441,.567,1.008,.367
Apr 8,@ CHW,W 1-0,4,0,0,0,0,0,0,0,1,0,0,.395,.500,.895,.324
Apr 9,@ CLE,L 2-0,3,0,1,0,0,0,0,0,2,0,0,.390,.486,.876,.324
Apr 10,@ CLE,L 2-1,3,0,0,0,0,0,0,1,1,0,0,.378,.450,.828,.300
Apr 11,@ CLE,L 5-1,4,0,0,0,0,0,0,0,0,0,0,.347,.409,.756,.273
Apr 12,@ CLE,L 9-3,5,0,2,0,0,0,2,0,0,0,0,.352,.408,.760,.286
Apr 13,vs NYY,L 8-6,4,1,2,0,0,0,0,0,1,0,0,.362,.415,.777,.302
Apr 17,vs BAL,W 4-2,2,1,0,0,0,0,0,2,0,0,0,.371,.400,.771,.291
Apr 18,vs BAL,W 6-5,4,1,2,1,0,0,0,0,0,0,0,.379,.424,.803,.305
Apr 19,vs BAL,W 13-8,5,0,0,0,0,0,1,0,2,0,0,.352,.391,.743,.281
Apr 20,vs KC,W 3-2,4,0,1,1,0,0,0,0,0,0,0,.347,.397,.744,.279
Apr 20,vs KC,L 3-2,4,0,0,0,0,0,0,0,2,0,0,.329,.375,.704,.264
Apr 21,vs KC,W 12-4,5,1,3,1,0,1,3,0,0,0,0,.345,.442,.787,.286
Apr 22,vs KC,L 8-5,4,1,3,0,0,0,2,0,0,0,0,.364,.457,.821,.309
Apr 25,@ PIT,W 13-10,5,2,4,0,0,1,4,1,0,0,0,.394,.512,.906,.337
Apr 25,@ PIT,L 8-3,4,0,1,0,0,0,1,0,1,0,0,.388,.500,.888,.333
Apr 26,@ PIT,L 1-0,4,0,1,0,0,0,0,0,1,0,0,.382,.489,.871,.330
Apr 27,@ BAL,L 6-0,4,0,1,0,0,0,0,0,1,0,0,.377,.480,.857,.327
Apr 28,@ BAL,W 9-5,5,0,1,0,0,0,1,0,3,0,0,.369,.466,.835,.320
Apr 29,@ BAL,L 5-3,4,0,0,0,0,0,0,0,2,0,0,.357,.449,.806,.308
Apr 30,vs TB,L 3-2,3,0,1,1,0,0,0,0,0,0,0,.361,.455,.816,.309
May 1,vs TB,W 2-1,3,0,1,1,0,0,1,1,1,0,0,.366,.460,.826,.310
May 2,vs TB,W 3-2,5,0,0,0,0,0,0,0,2,0,0,.352,.441,.793,.297
May 3,@ KC,L 10-6,5,1,3,0,0,1,2,0,1,0,0,.361,.472,.833,.309
May 4,@ KC,L 4-2,3,0,0,0,0,0,0,1,1,0,0,.358,.460,.818,.302
May 5,@ KC,W 3-2,5,1,3,2,1,0,1,0,2,0,0,.366,.496,.862,.313
May 6,@ KC,L 4-2,1,0,0,0,0,0,0,0,0,0,0,.364,.492,.856,.311
May 7,@ TEX,L 7-6,4,1,3,1,0,0,1,1,0,0,0,.378,.507,.885,.324
May 8,@ TEX,W 7-4,4,2,1,0,0,0,1,0,1,0,0,.379,.500,.879,.321
May 9,@ TEX,L 5-4,Did not play
May 12,vs SEA,W 4-3,4,0,2,0,0,0,0,0,1,0,0,.382,.500,.882,.326
May 12,vs SEA,L 9-5,0,0,0,0,0,0,0,0,0,0,0,.386,.500,.886,.326
May 13,vs SEA,W 5-4,Did not play
May 14,vs CLE,W 6-3,Did not play
May 15,vs CLE,W 9-8,4,1,1,0,0,1,1,0,0,0,0,.383,.514,.897,.324
May 16,vs CLE,L 6-0,4,0,0,0,0,0,0,0,3,0,0,.373,.500,.873,.316
May 17,@ SEA,W 3-2,5,0,2,1,0,0,0,0,0,0,0,.374,.503,.877,.318
May 18,@ SEA,L 5-4,4,1,1,0,0,0,0,0,0,1,0,.371,.497,.868,.317
May 19,@ SEA,L 7-2,4,0,0,0,0,0,0,0,3,0,0,.363,.485,.848,.309
May 20,@ SEA,L 3-2,5,1,2,0,0,0,0,0,1,0,0,.364,.482,.846,.312
May 21,@ MIN,L 4-2,4,1,2,0,0,1,2,0,0,0,0,.367,.500,.867,.316
May 22,@ MIN,L 6-0,4,0,2,0,0,0,0,0,1,0,0,.370,.500,.870,.320
May 23,@ MIN,W 4-1,4,0,2,1,0,0,0,0,0,0,0,.372,.505,.877,.324
May 25,vs CHW,W 5-4,4,2,3,2,0,0,1,0,0,0,0,.380,.522,.902,.333
May 26,vs CHW,L 8-4,5,1,0,0,0,0,0,0,2,0,0,.371,.508,.879,.325
May 27,vs CHW,W 3-2,4,0,1,0,0,0,1,0,0,0,0,.368,.503,.871,.323
May 28,vs LAA,W 9-3,4,1,1,0,0,0,0,1,0,0,0,.369,.497,.866,.322
May 29,vs LAA,L 9-2,5,0,1,1,0,0,0,0,3,0,0,.365,.495,.860,.319
May 30,vs LAA,W 6-1,5,0,3,2,0,0,1,0,1,0,0,.371,.507,.878,.325
