DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,@ CIN,W 6-2,6.1,4,2,2,1,2,3,9,11,79,25,58,W(5-4),-,4.11
Jul 13,vs MIL,W 7-3,6.1,5,3,3,2,1,9,10,4,95,24,59,W(4-4),-,4.26
Jul 8,vs PHI,W 4-1,6.0,4,1,1,1,1,5,9,8,84,24,64,W(3-4),-,4.26
Jul 2,@ LAD,L 17-1,3.0,8,7,5,3,3,2,7,9,79,21,18,L(2-4),-,4.70
Jun 9,@ CHC,L 2-0,6.1,4,2,2,0,2,5,5,13,99,26,60,L(2-3),-,3.82
Jun 3,@ STL,L 5-0,5.0,4,4,3,1,1,5,6,10,81,22,49,L(2-2),-,4.03
May 29,vs CHC,L 8-6,5.2,8,3,3,1,2,4,5,15,84,27,43,-,-,3.75
May 19,vs SD,L 6-2,6.0,5,3,3,0,1,5,13,5,98,24,54,L(2-1),-,3.44
May 4,@ MIL,W 6-4,5.1,6,4,4,2,1,7,6,9,92,23,-,W(2-0),-,2.92
Apr 29,vs STL,W 5-0,7.0,1,0,0,0,0,9,4,9,98,22,84,W(1-0),-,0.00
