DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs PHI,W 8-5,5,1,1,0,0,1,3,0,1,0,0,.200,.800,1.000,.200
Mar 30,vs PHI,L 5-4,4,0,1,0,0,0,0,1,0,0,1,.300,.556,.856,.222
Mar 31,vs PHI,W 15-2,3,1,2,0,0,0,2,3,1,0,0,.500,.583,1.083,.333
Apr 2,vs WSH,L 8-1,4,0,0,0,0,0,0,0,1,0,0,.400,.438,.838,.250
Apr 3,vs WSH,W 13-6,5,2,3,2,0,0,1,0,0,0,0,.440,.571,1.011,.333
Apr 4,vs WSH,W 7-1,4,1,1,0,0,0,0,0,2,0,0,.414,.520,.934,.320
Apr 6,@ COL,W 8-3,4,1,1,0,0,0,0,1,0,0,0,.412,.483,.895,.310
Apr 7,@ COL,L 3-2,4,0,1,0,0,0,0,1,0,0,0,.410,.455,.865,.303
Apr 8,@ COL,W 4-0,4,1,2,0,0,1,1,0,1,0,0,.419,.541,.960,.324
Apr 9,@ WSH,L 2-0,3,0,1,0,0,0,0,0,1,0,0,.413,.525,.938,.325
Apr 10,@ WSH,L 4-1,3,0,0,0,0,0,0,1,0,0,0,.400,.488,.888,.302
Apr 11,@ WSH,W 5-3,5,0,0,0,0,0,0,1,2,0,0,.375,.438,.813,.271
Apr 13,@ CHC,W 4-0,4,1,2,0,0,0,0,1,1,0,0,.393,.442,.835,.288
Apr 14,@ CHC,L 14-10,5,0,2,1,0,0,2,0,0,0,0,.394,.456,.850,.298
Apr 16,vs PHI,W 2-1,3,0,0,0,0,0,0,0,0,0,0,.377,.433,.810,.283
Apr 17,vs PHI,L 5-1,4,0,0,0,0,0,0,1,0,0,0,.365,.406,.771,.266
Apr 18,vs PHI,W 7-3,4,1,2,0,0,0,0,0,0,0,0,.372,.412,.784,.279
Apr 19,vs NYM,W 12-4,4,2,2,0,0,0,2,0,0,0,0,.373,.417,.790,.292
Apr 20,vs NYM,L 5-3,4,1,1,1,0,0,0,1,0,0,0,.375,.421,.796,.289
Apr 21,vs NYM,W 4-3,3,0,0,0,0,0,0,1,1,0,0,.370,.405,.775,.278
Apr 23,@ CIN,L 10-4,4,1,3,0,0,1,3,0,0,0,0,.385,.458,.843,.301
Apr 24,@ CIN,L 9-7,4,1,2,1,0,0,0,2,0,0,0,.402,.471,.873,.310
Apr 25,@ CIN,W 5-4,4,0,1,0,0,0,0,1,0,0,0,.402,.462,.864,.308
Apr 26,@ CIN,W 7-4,4,0,1,0,0,0,1,1,0,0,0,.402,.453,.855,.305
Apr 27,@ PHI,L 7-3,4,0,1,1,0,0,0,0,0,0,0,.397,.455,.852,.303
Apr 28,@ PHI,W 4-1,2,1,1,0,0,1,1,3,0,0,0,.413,.485,.898,.307
Apr 29,@ PHI,W 10-1,5,1,1,0,0,0,2,0,0,0,0,.405,.472,.877,.302
May 1,@ NYM,W 3-2,5,0,2,0,0,0,1,0,1,0,0,.405,.468,.873,.306
May 2,@ NYM,W 7-0,4,1,3,1,0,0,1,0,0,0,0,.415,.487,.902,.322
May 3,@ NYM,W 11-0,4,3,3,1,0,1,3,1,0,0,0,.429,.529,.958,.336
May 4,vs SF,L 9-4,4,1,2,0,0,1,1,0,0,0,0,.431,.553,.984,.341
May 5,vs SF,L 11-2,4,0,3,1,0,0,1,0,0,0,0,.439,.567,1.006,.354
May 6,vs SF,L 4-3,4,0,0,0,0,0,0,0,1,0,0,.428,.550,.978,.344
May 8,@ TB,W 1-0,4,0,0,0,0,0,0,0,0,0,0,.417,.533,.950,.333
May 9,@ TB,W 5-2,4,2,2,0,0,1,3,0,0,0,0,.419,.554,.973,.338
May 10,@ MIA,W 9-2,5,2,2,0,0,0,0,0,0,0,0,.418,.549,.967,.340
May 11,@ MIA,L 6-3,4,1,2,1,0,0,1,0,0,0,0,.420,.554,.974,.345
May 12,@ MIA,W 10-5,5,2,2,0,0,0,0,0,1,0,0,.420,.549,.969,.346
May 13,@ MIA,W 4-3,4,0,1,0,0,0,1,0,2,0,0,.416,.541,.957,.344
May 14,@ CHC,W 6-5,5,2,2,0,0,0,0,0,1,0,0,.415,.537,.952,.346
May 15,vs CHC,L 3-2,4,0,0,0,0,0,0,0,0,0,0,.406,.524,.930,.337
May 16,vs CHC,W 4-1,2,0,0,0,0,0,0,2,0,0,0,.408,.518,.926,.333
May 18,vs MIA,L 2-0,4,0,3,1,0,0,0,0,0,0,0,.415,.529,.944,.343
May 19,vs MIA,W 8-1,4,0,1,0,0,0,0,0,0,0,0,.412,.523,.935,.341
May 20,vs MIA,W 10-9,5,1,2,0,0,0,2,0,0,1,0,.412,.519,.931,.343
May 21,@ PHI,L 3-0,4,0,1,0,0,0,0,0,1,0,0,.409,.514,.923,.341
May 22,@ PHI,W 3-1,3,0,1,0,0,0,0,1,0,0,0,.410,.511,.921,.340
May 23,@ PHI,L 4-0,4,0,2,0,0,0,0,0,2,0,0,.412,.510,.922,.344
May 25,@ BOS,L 6-2,3,0,1,1,0,0,2,1,1,0,0,.414,.513,.927,.344
May 26,@ BOS,L 8-6,4,1,2,2,0,0,1,0,0,0,0,.413,.523,.936,.347
May 27,@ BOS,W 7-1,4,1,0,0,0,0,0,1,0,0,0,.409,.512,.921,.340
May 28,vs NYM,W 4-3,3,0,1,0,0,0,1,0,1,0,0,.406,.510,.916,.340
May 28,vs NYM,L 8-5,5,0,2,1,0,0,1,0,0,0,0,.406,.512,.918,.341
May 29,vs NYM,W 7-6,5,0,1,1,0,0,1,0,1,0,0,.402,.509,.911,.338
May 30,vs NYM,L 4-1,4,0,0,0,0,0,0,0,1,0,0,.395,.500,.895,.332
May 31,vs WSH,W 4-2,2,1,1,1,0,0,0,2,0,0,0,.401,.505,.906,.333
Jun 1,vs WSH,W 4-0,4,1,1,0,0,0,0,0,0,0,0,.398,.500,.898,.332
Jun 2,vs WSH,L 5-3,5,1,1,0,0,0,0,0,1,0,0,.395,.494,.889,.329
Jun 3,vs WSH,W 4-2,4,0,1,0,0,0,1,0,0,0,0,.392,.489,.881,.328
Jun 4,@ SD,L 11-4,4,2,2,1,0,0,0,0,0,0,0,.394,.494,.888,.331
Jun 5,@ SD,W 14-1,5,1,2,0,0,1,3,0,1,0,0,.394,.504,.898,.332
Jun 6,@ SD,L 3-1,3,0,0,0,0,0,0,1,1,0,0,.392,.498,.890,.328
Jun 8,@ LAD,L 7-3,4,1,1,0,0,0,0,0,0,0,0,.390,.494,.884,.327
Jun 9,@ LAD,W 5-3,5,1,2,1,0,0,1,0,1,0,0,.390,.496,.886,.328
Jun 10,@ LAD,L 7-2,4,0,1,0,0,0,0,0,0,0,0,.388,.492,.880,.327
Jun 12,vs NYM,W 8-2,4,0,3,1,0,0,1,0,0,0,0,.393,.500,.893,.333
Jun 13,vs NYM,W 2-0,4,0,0,0,0,0,0,0,0,0,0,.388,.493,.881,.328
Jun 14,vs SD,W 4-2,3,0,0,0,0,0,0,1,1,0,0,.386,.487,.873,.325
Jun 15,vs SD,L 9-3,3,0,1,0,0,0,0,1,0,0,0,.388,.485,.873,.325
Jun 16,vs SD,W 1-0,3,0,0,0,0,0,0,0,1,0,0,.384,.480,.864,.321
Jun 17,vs SD,W 4-1,4,1,3,1,0,0,0,0,1,0,0,.389,.488,.877,.327
Jun 19,@ TOR,W 11-4,3,1,0,0,0,0,0,2,1,0,0,.389,.482,.871,.324
Jun 20,@ TOR,L 5-4,4,1,1,0,0,0,0,0,0,0,0,.387,.479,.866,.323
Jun 22,vs BAL,L 10-7,6,0,2,1,0,0,1,1,0,0,0,.388,.480,.868,.323
Jun 23,vs BAL,L 7-5,4,0,2,1,0,0,3,1,2,0,0,.391,.483,.874,.326
Jun 24,vs BAL,W 7-3,4,1,2,2,0,0,1,0,1,0,0,.392,.490,.882,.328
Jun 25,vs CIN,W 5-4,4,0,2,0,0,0,0,1,0,0,0,.395,.490,.885,.330
Jun 26,vs CIN,L 5-3,4,0,0,0,0,0,1,0,0,0,0,.391,.484,.875,.326
Jun 27,vs CIN,L 6-5,3,1,1,0,0,0,0,1,1,0,0,.392,.482,.874,.326
Jun 29,@ STL,W 5-1,3,1,0,0,0,0,1,1,0,0,0,.389,.478,.867,.323
Jun 30,@ STL,W 11-4,3,2,2,1,0,1,5,0,1,0,0,.391,.492,.883,.326
