DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Sep 27,vs HOU,L 12-2,5.0,10,6,6,1,1,2,13,9,95,25,24,L(3-8),-,5.66
Sep 22,@ OAK,L 4-1,6.0,5,4,3,1,1,6,7,10,79,24,53,L(3-7),-,5.42
Sep 15,@ LAA,L 7-6,5.1,6,4,4,0,1,2,8,11,81,22,41,-,-,5.47
Sep 10,vs NYY,L 16-7,0.2,5,4,4,1,0,0,2,4,19,6,-,-,-,5.40
Sep 4,@ ATL,W 8-2,2.0,2,0,0,0,0,1,4,3,33,8,-,-,-,5.06
Aug 31,@ HOU,L 5-1,5.0,5,2,2,1,0,6,7,6,75,19,55,L(3-6),-,5.17
Aug 25,@ OAK,L 3-1,7.0,4,3,3,2,2,7,4,13,100,26,62,L(3-5),-,5.26
Aug 6,@ MIN,L 6-5,4.0,5,5,5,3,2,5,4,8,82,19,35,-,-,5.38
Aug 1,vs SEA,L 8-7,5.1,8,7,7,1,2,0,8,16,90,27,22,L(3-4),-,5.07
Jul 4,vs BOS,L 11-4,3.2,8,4,3,2,3,3,8,8,80,22,-,-,-,4.56
Jun 29,@ CLE,L 5-1,2.0,2,0,0,0,1,1,2,5,30,9,-,-,-,4.41
Jun 25,@ NYY,W 7-6,5.0,6,4,4,1,1,3,8,11,88,23,41,W(3-3),-,4.55
Jun 20,vs TOR,W 6-1,6.1,2,1,1,0,3,2,5,13,103,23,64,W(2-3),-,4.33
Jun 13,@ HOU,W 4-2,6.0,5,2,2,2,0,1,10,10,82,21,55,-,-,4.67
Jun 4,vs HOU,L 7-2,3.1,1,0,0,0,0,2,4,5,50,11,-,-,-,4.88
May 30,vs TB,W 9-5,4.1,6,5,5,3,2,3,5,11,71,21,32,-,-,5.24
May 25,@ BOS,L 6-2,5.0,7,4,4,1,2,4,8,9,95,23,39,L(1-3),-,4.69
May 19,@ DET,W 5-3,5.0,4,1,0,0,1,4,6,10,92,22,60,W(1-2),-,4.33
May 13,vs OAK,W 6-5,6.0,7,3,3,0,1,1,11,11,91,24,46,-,-,5.04
May 8,@ SD,L 5-1,6.0,8,4,4,2,1,4,9,13,100,27,43,L(0-2),-,5.18
May 3,@ HOU,L 10-1,5.1,9,7,6,3,3,0,12,12,101,27,21,L(0-1),-,4.91
Apr 28,vs LAA,L 6-3,6.0,5,3,3,2,0,7,7,9,84,23,57,-,-,2.77
Apr 22,vs KC,W 2-1,7.0,4,1,1,0,1,3,11,11,94,26,67,-,-,1.29
