DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 20,@ NYY,W 7-5,5.0,8,1,1,0,0,4,9,10,84,23,51,W(6-1),-,2.89
Jul 13,vs WSH,W 4-2,5.0,7,1,1,0,2,3,6,11,75,22,50,W(5-1),-,2.97
May 25,@ MIL,L 4-3,6.0,6,3,3,1,0,8,8,8,78,24,56,-,-,3.06
May 20,vs ARI,W 4-1,7.0,6,1,1,0,1,7,11,8,102,27,67,W(4-1),-,2.91
May 15,vs TOR,W 12-2,5.0,5,2,2,0,2,7,7,5,103,22,54,W(3-1),-,3.14
May 6,vs COL,L 3-2,6.0,6,2,2,1,4,5,7,10,95,27,53,-,-,3.09
May 1,vs ATL,L 3-2,6.0,10,3,3,0,1,3,14,10,91,29,42,L(2-1),-,3.10
Apr 26,@ STL,L 4-3,7.1,6,2,1,0,0,7,8,13,101,28,65,-,-,2.86
Apr 20,@ ATL,W 5-3,6.0,7,3,3,1,0,6,8,11,103,25,52,-,-,3.29
Apr 15,vs MIL,W 3-2,5.1,2,1,0,0,1,11,4,4,101,20,72,-,-,2.95
Apr 9,@ MIA,W 4-2,6.0,5,2,1,0,2,5,11,6,90,25,59,W(2-0),-,3.94
Apr 4,vs PHI,W 4-2,4.0,4,2,2,0,2,7,5,4,92,18,51,-,-,5.40
Mar 29,vs STL,W 9-4,6.0,6,4,4,2,0,10,6,8,85,24,54,W(1-0),-,6.00
