DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ ATL,L 8-5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 30,@ ATL,W 5-4,6,0,1,1,0,0,0,0,1,0,0,.167,.333,.500,.167
Mar 31,@ ATL,L 15-2,3,1,0,0,0,0,0,1,1,0,0,.200,.222,.422,.111
Apr 3,@ NYM,L 2-0,4,0,1,0,0,0,0,0,0,0,0,.214,.231,.445,.154
Apr 4,@ NYM,L 4-2,Did not play
Apr 5,vs MIA,W 5-0,3,1,2,0,0,0,1,1,0,1,0,.333,.313,.646,.250
Apr 7,vs MIA,W 20-1,5,2,3,1,0,0,0,0,2,0,0,.391,.429,.820,.333
Apr 8,vs MIA,L 6-3,4,2,2,1,0,0,0,0,0,0,0,.407,.480,.887,.360
Apr 9,vs CIN,W 6-5,3,0,0,0,0,0,0,1,2,0,0,.387,.429,.816,.321
Apr 10,vs CIN,W 6-1,4,1,2,2,0,0,1,0,0,0,0,.400,.500,.900,.344
Apr 11,vs CIN,W 4-3,5,0,1,0,0,0,0,0,2,0,0,.375,.459,.834,.324
Apr 13,@ TB,W 2-1,4,0,1,0,0,0,0,0,2,0,0,.364,.439,.803,.317
Apr 14,@ TB,W 9-4,5,0,3,0,0,0,1,0,0,0,0,.388,.457,.845,.348
Apr 15,@ TB,W 10-4,3,1,0,0,0,0,0,2,0,0,0,.389,.429,.818,.327
Apr 16,@ ATL,L 2-1,4,1,2,0,0,1,1,0,0,0,0,.397,.491,.888,.340
Apr 17,@ ATL,W 5-1,5,0,1,0,0,0,1,0,2,0,0,.381,.466,.847,.328
Apr 18,@ ATL,L 7-3,4,0,1,0,0,0,0,0,0,0,0,.373,.452,.825,.323
Apr 19,vs PIT,W 7-0,4,1,2,0,0,0,2,0,1,0,0,.380,.455,.835,.333
Apr 20,vs PIT,W 2-1,4,0,2,0,1,0,1,0,1,0,1,.387,.486,.873,.343
Apr 21,vs PIT,W 6-2,4,2,1,0,0,0,0,0,1,0,0,.380,.473,.853,.338
Apr 22,vs PIT,W 3-2,5,0,1,0,0,0,0,0,0,0,0,.369,.456,.825,.329
Apr 24,vs ARI,L 8-4,0,0,0,0,0,0,0,0,0,0,0,.376,.456,.832,.329
Apr 25,vs ARI,W 5-3,2,1,1,0,0,0,1,1,1,0,0,.382,.457,.839,.333
Apr 26,vs ARI,L 8-2,4,1,2,0,0,0,0,0,0,0,0,.387,.459,.846,.341
Apr 27,vs ATL,W 7-3,4,2,2,0,0,2,4,0,0,0,0,.392,.528,.920,.348
Apr 28,vs ATL,L 4-1,4,0,1,0,0,0,0,0,1,0,0,.386,.516,.902,.344
Apr 29,vs ATL,L 10-1,2,0,0,0,0,0,0,2,0,0,0,.390,.505,.895,.337
Apr 30,@ MIA,L 8-4,4,0,2,0,0,0,0,1,0,0,1,.400,.505,.905,.343
May 1,@ MIA,L 2-1,5,0,1,0,0,0,0,0,1,0,0,.391,.490,.881,.337
May 2,@ MIA,W 6-0,4,0,1,0,0,0,1,0,0,0,0,.392,.481,.873,.333
May 4,@ WSH,L 7-3,4,0,1,0,0,0,0,0,1,0,0,.387,.473,.860,.330
May 5,@ WSH,W 3-1,3,0,0,0,0,0,0,1,1,0,0,.383,.461,.844,.322
May 6,@ WSH,L 5-4,5,0,3,2,0,0,1,0,1,0,0,.391,.483,.874,.333
May 7,vs SF,W 11-0,3,3,2,0,0,2,5,1,0,0,0,.401,.537,.938,.341
May 8,vs SF,W 4-2,4,0,2,0,0,0,1,0,0,1,0,.404,.535,.939,.346
May 9,vs SF,W 11-3,2,2,0,0,0,0,0,3,1,0,0,.411,.527,.938,.341
May 10,vs SF,W 6-3,4,1,3,1,0,0,2,0,1,0,0,.420,.541,.961,.353
May 11,vs NYM,L 3-1,3,1,2,0,0,1,1,1,0,0,0,.429,.566,.995,.360
May 13,vs NYM,W 4-2,3,0,1,0,0,0,0,1,1,0,0,.430,.561,.991,.360
May 16,@ BAL,W 4-1,4,0,1,0,0,0,0,0,0,0,0,.426,.552,.978,.357
May 17,@ STL,W 6-2,4,0,2,1,0,0,1,1,0,0,0,.431,.558,.989,.361
May 18,@ STL,L 12-4,4,0,1,0,0,0,2,0,2,0,0,.427,.550,.977,.358
May 19,@ STL,W 7-6,5,1,1,0,0,1,3,0,1,0,0,.420,.558,.978,.353
May 20,@ STL,L 5-1,4,0,0,0,0,0,0,0,3,0,0,.411,.544,.955,.344
May 21,vs ATL,W 3-0,4,0,2,0,0,0,0,0,0,0,0,.413,.543,.956,.348
May 22,vs ATL,L 3-1,4,0,1,1,0,0,0,0,2,0,0,.410,.542,.952,.345
May 23,vs ATL,W 4-0,4,0,1,0,0,0,0,0,1,0,0,.406,.535,.941,.343
May 25,vs TOR,L 6-5,5,1,1,1,0,0,0,0,1,0,0,.401,.531,.932,.339
May 26,vs TOR,W 2-1,3,0,0,0,0,0,0,0,0,0,0,.398,.522,.920,.333
May 27,vs TOR,L 5-3,1,0,0,0,0,0,0,0,0,0,0,.396,.519,.915,.331
May 28,@ LAD,L 5-4,3,0,1,0,0,0,0,1,1,0,0,.398,.516,.914,.332
May 29,@ LAD,W 6-1,5,0,1,0,0,0,2,0,0,0,0,.393,.508,.901,.328
May 30,@ LAD,L 8-2,5,0,0,0,0,0,0,0,2,0,0,.384,.495,.879,.320
May 31,@ LAD,W 2-1,4,0,0,0,0,0,0,0,1,0,0,.377,.485,.862,.313
Jun 1,@ SF,L 4-0,4,0,1,1,0,0,0,0,0,0,0,.375,.485,.860,.312
Jun 2,@ SF,L 2-0,4,0,0,0,0,0,0,0,1,0,0,.368,.476,.844,.306
Jun 3,@ SF,L 6-1,4,0,1,0,0,0,0,0,2,0,0,.366,.471,.837,.305
Jun 5,@ CHC,W 6-1,4,1,1,0,0,0,0,1,1,0,0,.367,.467,.834,.304
Jun 6,@ CHC,L 7-5,5,0,2,0,0,0,0,0,1,0,0,.368,.466,.834,.306
Jun 7,@ CHC,L 4-3,4,1,1,0,0,0,0,1,1,0,0,.368,.462,.830,.305
Jun 8,vs MIL,L 12-4,5,0,0,0,0,0,0,0,3,0,0,.361,.452,.813,.298
Jun 9,vs MIL,L 12-3,4,0,0,0,0,0,0,0,3,0,0,.355,.444,.799,.293
Jun 10,vs MIL,W 4-3,4,0,0,0,0,0,1,0,1,0,0,.350,.436,.786,.288
Jun 12,vs COL,W 5-4,4,1,0,0,0,0,0,0,2,1,0,.345,.429,.774,.283
Jun 13,vs COL,L 7-2,Did not play
Jun 14,vs COL,W 9-3,5,0,2,0,0,0,1,0,1,0,0,.346,.429,.775,.286
Jun 15,@ MIL,L 13-2,4,1,2,0,0,1,1,0,0,0,0,.348,.442,.790,.289
Jun 16,@ MIL,W 4-1,5,0,0,0,0,0,0,0,3,0,0,.342,.433,.775,.283
Jun 17,@ MIL,W 10-9,4,3,3,1,0,1,1,1,0,0,0,.350,.453,.803,.291
Jun 18,vs STL,W 6-5,5,1,2,0,0,1,3,0,0,0,0,.351,.464,.815,.293
Jun 19,vs STL,L 7-6,4,1,1,0,0,1,1,0,1,0,0,.349,.472,.821,.292
Jun 20,vs STL,W 4-3,4,1,3,1,0,1,1,0,0,0,0,.355,.491,.846,.299
Jun 22,@ WSH,W 12-2,5,4,4,0,0,1,2,0,0,0,0,.362,.507,.869,.308
Jun 23,@ WSH,W 5-3,4,0,0,0,0,0,0,0,1,0,0,.357,.500,.857,.304
Jun 24,@ WSH,L 8-6,5,1,2,0,1,0,2,0,3,1,0,.358,.505,.863,.305
Jun 25,vs NYY,L 4-2,3,0,0,0,0,0,0,1,2,0,0,.357,.500,.857,.302
Jun 26,vs NYY,L 6-0,4,0,0,0,0,0,0,0,1,0,0,.352,.493,.845,.298
Jun 27,vs NYY,W 3-0,4,0,0,0,0,0,0,0,0,0,0,.348,.486,.834,.294
Jun 28,vs WSH,W 4-3,3,1,0,0,0,0,0,0,1,0,0,.347,.482,.829,.291
Jun 29,vs WSH,L 17-7,5,0,0,0,0,0,0,0,0,0,0,.341,.474,.815,.286
Jun 30,vs WSH,W 3-2,4,1,1,0,0,1,1,0,2,0,0,.340,.481,.821,.286
Jul 1,vs WSH,W 4-3,6,0,1,0,0,0,1,0,2,0,0,.337,.475,.812,.283
Jul 3,vs BAL,W 3-2,4,0,0,0,0,0,0,0,1,0,0,.333,.469,.802,.280
Jul 4,vs BAL,W 4-1,4,0,0,0,0,0,0,0,0,0,0,.330,.463,.793,.276
Jul 6,@ PIT,W 17-5,6,2,2,0,0,1,4,1,2,0,0,.331,.470,.801,.277
Jul 7,@ PIT,W 3-2,4,0,2,0,0,0,0,0,0,0,0,.333,.470,.803,.280
Jul 8,@ PIT,L 4-1,3,0,1,0,0,0,0,1,2,0,0,.335,.469,.804,.281
Jul 9,@ NYM,L 4-3,5,0,0,0,0,0,0,0,2,0,0,.331,.462,.793,.276
Jul 9,@ NYM,W 3-1,Did not play
Jul 10,@ NYM,W 7-3,5,2,2,0,0,1,1,0,1,0,0,.332,.470,.802,.278
Jul 11,@ NYM,L 3-0,4,0,1,0,0,0,0,0,1,1,0,.331,.467,.798,.278
Jul 12,@ BAL,W 5-4,5,0,1,0,0,0,0,0,0,0,0,.329,.463,.792,.277
Jul 13,@ MIA,W 2-0,1,0,0,0,0,0,0,0,1,0,0,.328,.462,.790,.276
Jul 14,@ MIA,L 2-0,4,0,1,0,0,0,0,0,0,0,0,.327,.460,.787,.276
Jul 15,@ MIA,L 10-5,4,1,1,1,0,0,0,0,2,0,0,.327,.460,.787,.275
Jul 20,vs SD,W 11-5,4,1,2,0,0,0,2,0,1,0,0,.328,.460,.788,.278
Jul 22,vs SD,L 10-2,4,0,2,0,0,0,0,0,1,0,0,.332,.461,.793,.280
Jul 22,vs SD,W 5-0,4,1,1,0,0,1,1,0,1,0,0,.331,.467,.798,.280
Jul 23,vs LAD,L 7-6,4,1,1,0,0,1,1,0,1,0,0,.330,.472,.802,.280
Jul 24,vs LAD,W 7-4,6,0,1,0,0,0,0,1,1,0,0,.329,.468,.797,.278
Jul 25,vs LAD,W 7-3,3,1,0,0,0,0,0,1,1,0,0,.329,.464,.793,.276
