DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs COL,W 8-2,2,1,0,0,0,0,0,3,1,0,0,.600,.000,.600,.000
Mar 30,vs COL,W 9-8,2,1,0,0,0,0,0,1,2,0,0,.556,.000,.556,.000
Mar 31,vs COL,L 2-1,4,0,0,0,0,0,0,0,2,0,0,.385,.000,.385,.000
Apr 2,vs LAD,W 8-7,4,2,1,1,0,0,0,3,1,0,0,.450,.167,.617,.083
Apr 3,vs LAD,W 6-1,2,0,0,0,0,0,1,2,0,0,0,.458,.143,.601,.071
Apr 4,vs LAD,W 3-0,3,0,0,0,0,0,1,0,0,0,0,.407,.118,.525,.059
Apr 5,@ STL,W 3-1,5,0,1,0,0,0,0,0,1,0,0,.375,.136,.511,.091
Apr 7,@ STL,L 5-3,4,1,1,0,0,0,0,1,2,0,0,.378,.154,.532,.115
Apr 8,@ STL,W 4-1,4,0,0,0,0,0,0,0,2,0,0,.341,.133,.474,.100
Apr 9,@ SF,W 2-1,4,1,1,0,1,0,1,0,2,0,0,.333,.206,.539,.118
Apr 10,@ SF,L 5-4,4,2,2,0,0,1,1,1,0,0,0,.360,.316,.676,.158
Apr 11,@ SF,W 7-3,4,1,2,1,0,1,3,0,1,0,0,.370,.429,.799,.190
Apr 13,@ LAD,W 8-7,5,1,1,0,0,0,0,0,2,0,0,.356,.404,.760,.191
Apr 14,@ LAD,W 9-1,4,2,3,0,0,1,2,0,0,0,0,.381,.490,.871,.235
Apr 15,@ LAD,L 7-2,3,1,1,0,0,1,1,1,1,0,0,.388,.537,.925,.241
Apr 17,vs SF,W 1-0,2,0,0,0,0,0,0,0,1,0,0,.386,.518,.904,.232
Apr 18,vs SF,L 4-3,4,1,2,2,0,0,0,1,2,0,0,.400,.550,.950,.250
Apr 19,vs SF,W 3-1,3,0,1,0,0,0,0,1,0,0,0,.405,.540,.945,.254
Apr 20,vs SD,L 4-1,3,0,0,0,0,0,0,1,3,0,0,.398,.515,.913,.242
