DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ PHI,L 7-3,1.0,1,1,1,0,1,1,1,1,21,5,-,-,-,3.41
Jun 9,vs ATL,L 5-3,1.0,0,0,0,0,0,1,1,1,9,3,-,-,-,3.23
Jun 7,@ PIT,W 8-7,2.0,2,1,1,0,0,0,4,4,22,8,-,W(3-3),-,3.34
Jun 5,@ PIT,W 5-0,1.0,1,0,0,0,1,0,0,3,20,4,-,-,-,3.25
Jun 2,@ COL,W 12-4,1.0,1,0,0,0,1,0,2,1,12,4,-,W(2-3),-,3.38
May 31,vs PHI,L 2-1,1.0,0,0,0,0,0,3,0,0,17,3,-,-,-,3.51
May 29,vs PHI,L 6-1,1.0,2,1,1,0,1,2,1,2,22,6,-,-,-,3.65
May 26,vs SD,L 7-5,0.2,0,0,0,0,0,0,0,2,6,2,-,-,-,3.42
May 25,vs SD,W 4-1,0.1,0,0,0,0,0,1,0,0,6,1,-,-,H(4),3.52
May 23,vs COL,W 3-0,0.1,0,0,0,0,0,0,0,1,3,1,-,-,H(3),3.57
May 21,vs COL,L 2-1,0.2,0,1,0,0,1,1,0,1,18,3,-,L(1-3),-,3.63
May 19,@ WSH,W 5-4,2.0,0,0,0,0,1,1,3,3,39,9,-,-,-,3.74
May 16,@ MIA,L 6-5,1.0,2,1,1,1,1,1,0,4,24,6,-,L(1-2),-,4.12
May 12,vs CIN,L 5-3,1.0,2,0,0,0,0,1,2,2,23,5,-,-,-,3.86
May 10,vs CIN,L 4-1,1.0,2,1,1,0,0,1,2,2,21,5,-,-,-,4.08
May 9,vs ARI,W 6-3,1.0,1,0,0,0,0,1,2,1,19,4,-,W(1-1),-,3.78
May 6,@ SD,L 3-0,1.0,2,1,1,0,1,2,2,1,32,6,-,-,-,4.02
May 2,@ ARI,W 2-1,2.2,2,0,0,0,1,4,2,4,42,11,-,-,-,3.68
Apr 28,@ SF,W 15-6,0.1,4,3,3,1,1,1,1,3,24,6,-,-,-,4.50
Apr 27,@ SF,L 6-4,0.2,0,0,0,0,1,1,0,1,19,3,-,-,-,2.31
Apr 24,vs MIA,L 3-2,1.0,2,1,1,0,0,1,1,3,21,5,-,L(0-1),-,2.45
Apr 22,vs WSH,W 4-3,0.2,0,0,0,0,1,0,0,2,13,3,-,-,H(2),1.80
Apr 20,vs WSH,L 5-2,0.2,1,1,1,0,3,2,0,1,29,6,-,-,-,1.93
Apr 17,@ SD,W 7-3,1.1,0,0,0,0,0,4,0,0,16,4,-,-,H(1),1.04
Apr 15,vs ARI,W 7-2,1.0,0,0,0,0,0,2,0,1,15,3,-,-,-,1.23
Apr 13,vs ARI,L 8-7,1.0,0,0,0,0,0,2,0,1,13,3,-,-,-,1.42
Apr 11,vs OAK,L 16-6,1.0,3,0,0,0,0,1,3,2,23,6,-,-,-,1.69
Apr 7,@ SF,L 7-5,1.1,2,1,1,0,0,1,3,2,24,6,-,-,-,2.08
Apr 3,@ ARI,L 6-1,0.2,0,0,0,0,2,1,1,0,15,4,-,-,-,0.00
Apr 2,@ ARI,L 8-7,1.1,0,0,0,0,0,1,1,2,16,4,-,-,-,0.00
Mar 31,vs SF,W 5-0,1.0,1,0,0,0,0,0,2,1,10,3,-,-,-,0.00
