DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,vs WSH,L 2-0,0,0,0,0,0,0,0,1,0,0,0,1.000,.000,1.000,.000
Mar 31,vs WSH,L 13-7,1,0,0,0,0,0,0,0,1,0,0,.500,.000,.500,.000
Apr 1,vs WSH,L 6-5,Did not play
Apr 2,vs CHC,W 1-0,0,0,0,0,0,0,0,0,0,0,0,.500,.000,.500,.000
Apr 5,@ PIT,L 5-2,2,0,0,0,0,0,0,0,1,0,0,.250,.000,.250,.000
Apr 6,@ PIT,L 14-3,1,0,1,0,0,0,1,0,0,0,0,.400,.250,.650,.250
Apr 7,@ PIT,W 7-4,4,0,0,0,0,0,0,0,1,0,0,.222,.125,.347,.125
Apr 8,@ PIT,L 5-0,Did not play
Apr 9,@ PHI,L 6-5,4,1,1,0,0,0,0,0,2,1,0,.231,.167,.398,.167
Apr 10,@ PHI,L 6-1,Did not play
Apr 11,@ PHI,L 4-3,4,0,1,0,0,0,2,1,0,0,1,.278,.188,.466,.188
Apr 12,vs STL,L 13-4,4,0,1,0,0,0,0,0,1,0,0,.273,.200,.473,.200
Apr 13,vs STL,L 5-3,3,0,0,0,0,0,0,1,2,0,0,.269,.174,.443,.174
Apr 14,vs STL,L 6-1,2,0,1,0,0,0,0,2,0,0,0,.333,.200,.533,.200
Apr 15,vs STL,L 3-2,3,0,0,0,0,0,0,0,3,0,0,.324,.179,.503,.179
Apr 16,@ MIL,W 10-4,5,2,2,1,0,0,0,0,1,0,0,.333,.242,.575,.212
Apr 17,@ MIL,L 2-0,Did not play
Apr 18,@ MIL,L 2-0,1,0,0,0,0,0,0,0,0,0,0,.325,.235,.560,.206
Apr 20,@ STL,L 4-2,Did not play
Apr 21,@ STL,L 4-3,2,1,1,0,0,0,0,0,0,0,0,.333,.250,.583,.222
Apr 22,@ STL,L 9-2,Did not play
Apr 23,vs ATL,W 10-4,Did not play
Apr 24,vs ATL,W 9-7,2,1,0,0,0,0,0,0,0,0,0,.318,.237,.555,.211
Apr 25,vs ATL,L 5-4,Did not play
Jun 21,vs CHC,W 6-2,1,0,0,0,0,0,0,0,0,0,0,.311,.231,.542,.205
Jun 22,vs CHC,W 6-3,0,0,0,0,0,0,0,0,0,0,0,.311,.231,.542,.205
Jun 23,vs CHC,W 11-2,0,0,0,0,0,0,0,0,0,0,0,.311,.231,.542,.205
Jul 20,vs PIT,L 12-1,4,0,1,1,0,0,0,0,1,0,0,.306,.256,.562,.209
Jul 21,vs PIT,L 6-2,1,0,1,0,0,0,0,0,0,0,0,.320,.273,.593,.227
Jul 22,vs PIT,L 9-2,3,0,2,0,0,0,2,0,0,0,0,.340,.298,.638,.255
Jul 23,vs STL,W 2-1,1,0,1,0,0,0,0,0,0,0,0,.352,.313,.665,.271
Jul 24,vs STL,L 4-2,3,0,0,0,0,0,0,0,1,0,0,.345,.294,.639,.255
Jul 25,vs STL,W 7-3,4,0,2,1,0,0,2,0,2,0,0,.355,.327,.682,.273
