DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs PHI,W 8-5,4,0,1,0,0,0,1,0,1,0,0,.250,.250,.500,.250
Mar 30,vs PHI,L 5-4,4,0,2,0,0,0,1,0,1,0,0,.375,.375,.750,.375
Mar 31,vs PHI,W 15-2,4,0,2,1,0,0,0,0,1,0,0,.417,.500,.917,.417
Apr 2,vs WSH,L 8-1,3,0,1,0,0,0,0,0,0,0,0,.400,.467,.867,.400
Apr 3,vs WSH,W 13-6,4,2,2,1,0,1,3,0,0,0,0,.421,.684,1.105,.421
Apr 4,vs WSH,W 7-1,2,2,1,0,0,1,3,1,1,0,0,.455,.810,1.265,.429
Apr 6,@ COL,W 8-3,2,1,1,0,0,0,1,1,0,0,0,.462,.783,1.245,.435
Apr 7,@ COL,L 3-2,3,0,0,0,0,0,0,0,1,0,0,.414,.692,1.106,.385
Apr 8,@ COL,W 4-0,1,0,0,0,0,0,0,0,1,0,0,.400,.667,1.067,.370
Apr 9,@ WSH,L 2-0,3,0,0,0,0,0,0,0,1,0,0,.364,.600,.964,.333
Apr 10,@ WSH,L 4-1,3,0,0,0,0,0,0,0,1,0,0,.333,.545,.878,.303
Apr 11,@ WSH,W 5-3,2,0,0,0,0,0,0,0,1,0,0,.333,.514,.847,.286
Apr 13,@ CHC,W 4-0,4,1,2,0,0,1,3,0,0,0,0,.349,.590,.939,.308
Apr 14,@ CHC,L 14-10,1,0,0,0,0,0,0,0,1,0,0,.341,.575,.916,.300
Apr 16,vs PHI,W 2-1,3,0,0,0,0,0,0,0,1,0,0,.319,.535,.854,.279
Apr 17,vs PHI,L 5-1,3,0,1,0,0,0,1,0,0,0,0,.320,.522,.842,.283
Apr 18,vs PHI,W 7-3,2,1,0,0,0,0,0,1,1,0,0,.321,.500,.821,.271
Apr 19,vs NYM,W 12-4,4,1,2,2,0,0,5,0,0,0,0,.333,.538,.871,.288
Apr 20,vs NYM,L 5-3,5,0,1,0,0,0,0,0,2,0,0,.323,.509,.832,.281
Apr 21,vs NYM,W 4-3,4,0,0,0,0,0,0,0,2,0,0,.303,.475,.778,.262
Apr 23,@ CIN,L 10-4,4,0,1,1,0,0,0,0,2,0,0,.300,.477,.777,.262
Apr 24,@ CIN,L 9-7,6,1,1,1,0,0,0,0,1,0,0,.289,.465,.754,.254
Apr 25,@ CIN,W 5-4,1,0,0,0,0,0,0,0,1,0,0,.286,.458,.744,.250
Apr 26,@ CIN,W 7-4,1,0,0,0,0,0,0,0,0,0,0,.282,.452,.734,.247
Apr 27,@ PHI,L 7-3,1,0,1,0,0,0,0,0,0,0,0,.291,.459,.750,.257
Apr 28,@ PHI,W 4-1,1,0,1,0,0,0,0,0,0,0,0,.300,.467,.767,.267
Apr 29,@ PHI,W 10-1,Did not play
May 1,@ NYM,W 3-2,1,0,1,0,0,0,0,0,0,0,0,.309,.474,.783,.276
May 2,@ NYM,W 7-0,1,0,0,0,0,0,0,0,0,0,0,.305,.468,.773,.273
May 3,@ NYM,W 11-0,1,0,1,1,0,0,0,0,0,0,0,.313,.487,.800,.282
May 4,vs SF,L 9-4,1,0,0,0,0,0,0,0,0,0,0,.310,.481,.791,.278
