DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs NYY,L 6-1,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Mar 30,vs NYY,L 4-2,4,1,1,0,0,1,1,0,1,0,0,.143,.571,.714,.143
Mar 31,vs NYY,W 5-3,3,0,1,0,0,0,0,1,1,0,0,.273,.500,.773,.200
Apr 1,vs NYY,W 7-4,4,0,0,0,0,0,0,0,2,0,0,.200,.357,.557,.143
Apr 2,vs CHW,W 4-2,1,0,0,0,0,0,0,2,0,0,0,.278,.333,.611,.133
Apr 3,vs CHW,W 14-5,4,0,0,0,0,0,1,0,1,0,0,.217,.263,.480,.105
Apr 4,vs CHW,L 4-3,4,0,0,0,0,0,0,0,3,0,0,.185,.217,.402,.087
Apr 6,@ TEX,W 8-5,4,0,0,0,0,0,0,0,1,0,0,.161,.185,.346,.074
Apr 7,@ TEX,L 5-1,3,0,0,0,0,0,0,0,1,0,0,.147,.167,.314,.067
Apr 8,@ TEX,W 7-4,4,0,0,0,0,0,0,0,2,0,0,.132,.147,.279,.059
Apr 9,@ BAL,W 7-1,1,0,1,1,0,0,0,0,0,0,0,.154,.200,.354,.086
Apr 10,@ BAL,W 2-1,0,0,0,0,0,0,0,0,0,0,0,.154,.200,.354,.086
Apr 11,@ BAL,L 5-3,4,0,0,0,0,0,0,0,1,0,0,.140,.179,.319,.077
Apr 13,@ CLE,W 8-4,3,0,0,0,0,0,0,1,2,1,0,.149,.167,.316,.071
Apr 17,vs KC,W 11-3,4,2,2,1,0,1,3,0,0,0,0,.176,.283,.459,.109
Apr 17,vs KC,W 5-4,3,1,0,0,0,0,0,1,2,0,0,.196,.265,.461,.102
Apr 18,vs KC,W 15-5,4,1,0,0,0,0,0,0,1,0,0,.197,.245,.442,.094
Apr 19,@ NYY,L 4-3,4,0,0,0,0,0,0,0,3,0,0,.185,.228,.413,.088
Apr 20,@ NYY,W 8-5,0,0,0,0,0,0,0,0,0,0,0,.185,.228,.413,.088
