DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs ARI,L 7-1,1.2,2,1,0,0,1,1,4,2,41,8,-,-,-,2.03
Jul 22,vs STL,W 7-2,1.0,2,0,0,0,0,0,3,2,15,5,-,-,-,2.15
Jul 21,vs STL,L 6-3,0.2,1,1,1,1,0,0,2,1,7,3,-,-,H(7),2.22
Jul 14,@ SD,W 11-6,1.2,1,2,2,1,2,1,1,3,24,7,-,-,H(6),1.95
Jul 11,@ SF,L 5-4,1.0,2,0,0,0,0,1,3,1,16,5,-,-,-,1.38
Jul 9,@ SF,L 2-1,1.0,0,0,0,0,0,0,1,2,7,3,-,-,-,1.44
Jul 7,vs CIN,W 8-7,2.1,2,0,0,0,0,2,4,2,23,8,-,W(4-0),-,1.50
Jul 6,vs CIN,L 3-2,1.2,2,0,0,0,1,1,4,2,28,8,-,-,-,1.66
Jun 29,vs MIN,W 10-6,1.0,0,0,0,0,1,0,1,2,11,4,-,-,H(5),1.80
Jun 27,@ LAD,L 7-5,0.2,2,1,1,1,0,0,0,4,14,4,-,-,-,1.89
Jun 25,@ LAD,L 2-1,1.2,2,0,0,0,0,0,1,5,20,6,-,-,-,1.47
Jun 24,@ CIN,L 8-6,1.1,1,0,0,0,1,1,1,3,20,6,-,-,-,1.62
Jun 21,@ CIN,L 6-2,0.1,4,2,2,1,0,0,1,4,19,5,-,-,BlSv(1),1.76
Jun 19,vs LAD,W 2-1,1.0,1,0,0,0,0,1,2,0,11,3,-,-,-,0.60
Jun 19,vs LAD,L 4-3,0.1,0,0,0,0,1,0,0,1,10,2,-,-,H(4),0.64
Jun 16,@ STL,W 6-3,0.1,0,0,0,0,0,0,0,1,6,1,-,-,H(3),0.66
Jun 15,@ STL,W 13-5,0.2,0,0,0,0,1,0,1,1,10,3,-,-,-,0.68
Jun 11,@ MIL,W 7-2,2.0,0,0,0,0,0,1,3,2,24,6,-,W(3-0),-,0.71
Jun 8,vs PIT,W 3-1,1.0,0,0,0,0,1,2,0,1,16,4,-,-,H(2),0.84
Jun 5,vs PHI,L 6-1,2.0,3,1,1,0,1,0,4,5,44,10,-,-,-,0.93
Jun 3,@ NYM,W 2-0,0.2,0,0,0,0,1,0,0,2,14,3,-,-,H(1),0.00
Jun 1,@ NYM,W 7-4,1.2,0,0,0,0,0,1,2,2,19,5,-,W(2-0),-,0.00
May 30,@ PIT,L 2-1,1.0,1,0,0,0,0,0,3,0,10,3,-,-,-,0.00
May 27,vs SF,W 8-3,2.1,1,0,0,0,2,3,4,0,35,9,-,W(1-0),-,0.00
May 19,@ CIN,L 5-4,2.0,0,0,0,0,1,2,4,0,27,7,-,-,-,0.00
