DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 20,@ CIN,W 12-1,0.2,0,0,0,0,0,1,1,0,9,2,-,-,-,2.29
Jul 15,vs MIL,W 7-6,0.1,0,0,0,0,0,0,0,1,1,1,-,-,-,2.33
Jul 14,vs MIL,W 2-1,1.1,0,0,0,0,0,2,1,1,15,4,-,W(2-2),-,2.35
Jul 12,vs MIL,W 6-3,1.0,1,0,0,0,0,1,1,2,19,4,-,-,-,2.43
Jul 11,vs WSH,W 2-0,1.0,0,0,0,0,1,1,1,0,15,3,-,-,H(4),2.50
Jul 9,vs WSH,W 6-3,1.1,0,0,0,0,0,2,2,0,15,4,-,-,H(3),2.57
Jul 6,vs PHI,L 17-5,0.2,2,2,2,0,3,1,2,1,28,7,-,-,-,2.67
Jul 4,@ LAD,L 6-4,1.2,1,0,0,0,0,0,2,3,16,5,-,-,-,2.18
Jul 1,@ SD,W 7-5,0.1,2,1,1,0,1,0,1,2,17,4,-,-,H(2),2.30
Jun 30,@ SD,L 4-3,1.1,1,0,0,0,0,2,2,1,19,5,-,-,-,2.03
Jun 26,@ NYM,L 4-3,2.0,1,0,0,0,0,2,0,5,33,8,-,-,-,2.12
Jun 23,vs ARI,L 7-2,3.0,1,1,1,1,0,5,0,5,42,10,-,-,-,2.28
Jun 21,vs ARI,L 9-3,2.0,1,0,0,0,0,0,4,3,25,7,-,-,-,2.19
Jun 6,vs LAD,W 11-9,0.2,0,0,0,0,0,0,0,1,9,1,-,-,H(1),2.38
Jun 5,vs LAD,L 5-0,1.0,0,0,0,0,0,1,1,1,13,3,-,-,-,2.45
Jun 3,@ STL,L 5-0,0.1,0,0,0,0,0,0,0,1,4,1,-,-,-,2.57
Jun 2,@ STL,L 3-2,0.0,1,1,1,1,0,0,0,1,3,1,-,L(1-2),-,INF
May 29,vs CHC,L 8-6,0.1,0,0,0,0,0,0,1,0,3,1,-,-,-,2.18
May 28,vs CHC,L 7-0,1.0,4,2,2,0,0,1,2,4,29,7,-,-,-,2.21
May 26,vs STL,L 4-1,1.0,1,0,0,0,0,1,1,2,22,4,-,-,-,1.40
May 24,@ CIN,L 5-4,0.2,0,0,0,0,1,0,0,2,13,3,-,-,-,1.47
May 20,vs SD,L 8-5,1.0,1,0,0,0,0,1,3,0,17,4,-,-,-,1.53
May 18,vs SD,L 3-2,1.0,0,0,0,0,0,2,1,0,13,3,-,-,-,1.62
May 15,vs CHW,W 7-0,1.0,0,0,0,0,0,2,0,1,16,3,-,-,-,1.72
May 13,vs SF,L 5-0,1.1,3,1,1,1,0,2,1,4,27,7,-,-,-,1.84
May 11,vs SF,W 11-2,1.0,1,0,0,0,0,1,2,0,11,3,-,-,-,1.35
May 9,@ CHW,W 6-5,1.0,2,1,1,0,1,1,0,4,20,6,-,W(1-1),-,1.46
May 6,@ MIL,W 9-0,2.0,1,0,0,0,0,6,1,0,28,7,-,-,-,0.79
May 1,@ WSH,L 12-4,2.1,2,0,0,0,0,2,4,3,33,9,-,-,-,0.96
Apr 30,@ WSH,L 3-2,1.0,1,0,0,0,1,1,1,2,13,5,-,-,-,1.29
Apr 27,vs STL,W 6-5,1.0,0,0,0,0,0,2,0,1,13,3,-,-,-,1.50
Apr 25,vs DET,L 13-10,1.0,1,0,0,0,0,2,0,2,15,4,-,-,-,1.80
Apr 22,@ PHI,L 3-2,0.1,2,1,1,0,0,0,1,2,9,3,-,L(0-1),-,2.25
Apr 19,@ PHI,L 7-0,2.2,2,0,0,0,0,6,2,1,40,9,-,-,-,0.00
Apr 17,vs COL,L 2-0,1.0,1,0,0,0,0,2,0,2,19,4,-,-,-,0.00
