DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 20,@ PHI,L 11-5,2.0,2,0,0,0,0,1,5,1,24,7,-,-,-,3.70
Jul 14,vs CHC,L 11-6,2.2,0,0,0,0,0,2,3,3,26,8,-,-,-,3.83
Jul 8,@ ARI,W 4-3,1.0,1,0,0,0,0,1,2,0,8,3,-,-,-,4.03
Jul 7,@ ARI,L 20-5,1.2,2,1,1,1,1,2,3,1,31,7,-,-,-,4.11
Jul 6,@ ARI,L 3-1,0.1,0,0,0,0,0,0,0,1,3,1,-,-,-,4.07
Jul 1,vs PIT,L 7-5,0.2,0,0,0,0,0,1,1,0,8,2,-,-,-,4.10
Jun 25,@ TEX,L 7-4,2.1,3,1,1,0,1,3,4,3,40,11,-,-,-,4.15
Jun 23,@ SF,L 5-3,1.0,1,1,1,0,0,1,2,1,11,4,-,-,-,4.17
Jun 20,vs OAK,L 12-4,4.1,4,3,2,2,0,4,5,8,68,17,-,-,-,4.06
Jun 14,@ ATL,L 4-2,1.0,1,0,0,0,0,1,2,1,12,4,-,-,-,4.05
Jun 8,@ MIA,L 4-0,2.0,2,1,1,0,0,2,5,1,31,8,-,-,-,4.15
Jun 1,vs CIN,L 7-2,1.1,1,1,1,1,0,0,2,3,12,5,-,-,-,4.14
May 28,vs MIA,L 7-2,5.2,4,0,0,0,0,3,6,8,64,17,-,-,-,4.04
May 21,@ WSH,L 10-2,4.0,7,6,6,2,0,2,6,11,56,19,26,L(1-3),-,4.80
May 19,@ PIT,W 6-2,1.0,0,0,0,0,0,0,1,2,5,3,-,-,-,3.46
May 14,vs COL,L 6-4,1.0,2,0,0,0,0,1,1,3,20,5,-,-,-,3.60
May 10,vs STL,L 2-1,2.0,0,0,0,0,0,2,2,2,29,6,-,-,-,3.75
May 5,vs LAD,W 7-4,2.2,2,0,0,0,0,1,4,3,24,8,-,-,-,4.09
May 2,@ SF,L 9-4,1.1,5,2,2,0,0,1,4,4,27,9,-,-,-,4.66
Apr 28,vs NYM,W 12-2,2.0,0,0,0,0,0,2,2,2,18,6,-,-,-,4.00
Apr 25,@ COL,L 5-2,1.0,0,0,0,0,0,2,1,0,9,3,-,-,-,4.50
Apr 23,@ COL,W 13-5,0.2,0,0,0,0,0,2,0,0,8,2,-,W(1-2),-,4.80
Apr 16,vs LAD,L 10-3,3.0,7,6,5,1,2,4,3,9,70,18,-,L(0-2),-,5.02
Apr 12,vs SF,L 7-0,3.1,2,0,0,0,1,2,7,3,44,13,-,-,-,2.38
Apr 10,@ COL,W 5-2,0.2,0,0,0,0,0,1,1,0,7,2,-,-,H(1),3.38
Apr 7,@ HOU,L 1-0,1.2,1,1,1,0,0,3,2,1,29,6,-,L(0-1),-,3.68
Apr 4,vs COL,L 5-2,2.0,1,0,0,0,0,3,3,1,33,7,-,-,-,3.18
Mar 31,vs MIL,L 7-3,3.2,3,2,2,0,1,0,8,6,57,15,-,-,-,4.91
