DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,vs SD,W 6-4,0.2,0,0,0,0,1,0,0,2,12,3,-,-,H(10),4.03
Jul 23,vs SD,L 3-2,1.0,0,0,0,0,0,1,2,0,12,3,-,-,-,4.08
Jul 20,@ NYY,W 7-5,2.0,2,2,0,0,2,2,6,1,44,11,-,-,Sv(5),4.15
Jul 13,vs WSH,W 4-2,2.0,1,1,1,1,0,0,2,5,26,7,-,-,Sv(4),4.31
Jul 11,vs PHI,W 3-0,1.0,1,0,0,0,1,0,1,2,13,4,-,W(6-2),-,4.30
Jul 9,vs PHI,W 4-3,0.2,0,0,0,0,0,1,1,0,11,2,-,-,-,4.38
Jul 7,vs TB,L 3-0,1.2,2,1,1,0,0,2,3,1,26,7,-,-,-,4.44
Jul 4,@ TOR,W 6-3,0.1,0,0,0,0,0,0,1,0,1,1,-,-,H(9),4.41
Jul 3,@ TOR,L 8-6,0.1,1,1,1,1,0,0,0,2,8,2,-,-,BlSv(6),4.44
Jun 30,@ MIA,L 5-2,1.0,2,2,0,0,0,1,4,1,27,6,-,-,-,4.28
Jun 27,vs PIT,L 5-3,0.1,2,1,1,0,0,0,1,2,13,3,-,-,H(8),4.37
Jun 25,vs PIT,L 6-4,2.0,2,1,1,0,1,3,2,3,35,9,-,-,-,4.21
Jun 23,vs LAD,L 8-3,2.0,4,5,5,1,1,2,3,5,31,11,-,-,-,4.20
Jun 20,@ COL,L 10-8,1.0,2,3,3,1,1,0,0,5,19,6,-,L(5-2),BlSv(5),3.35
Jun 17,@ ARI,W 5-3,1.0,0,0,0,0,0,1,1,2,12,4,-,-,Sv(3),2.79
Jun 16,@ ARI,W 5-1,1.1,0,0,0,0,0,2,2,1,23,6,-,-,H(7),2.85
Jun 10,vs NYY,W 2-0,2.0,1,0,0,0,0,2,3,3,25,8,-,-,H(6),2.95
Jun 9,vs NYY,L 4-3,1.0,0,0,0,0,1,0,1,1,16,3,-,-,-,3.11
Jun 6,vs BAL,L 1-0,1.0,0,0,0,0,0,2,0,0,16,3,-,-,-,3.19
Jun 2,vs CHC,L 7-1,1.0,0,0,0,0,1,3,0,0,23,4,-,-,-,3.28
May 30,@ ATL,W 4-1,1.0,0,0,0,0,0,0,1,2,13,3,-,-,Sv(2),3.38
May 29,@ ATL,L 7-6,0.0,0,0,0,0,0,0,0,0,6,0,-,-,-,3.48
May 28,@ ATL,W 8-5,1.0,3,1,1,0,1,1,3,2,23,7,-,W(5-1),BlSv(4),3.48
May 27,@ MIL,L 8-7,0.2,1,2,2,0,1,0,2,1,14,4,-,-,H(5),3.31
May 25,@ MIL,L 4-3,1.2,2,1,1,0,1,1,1,4,18,7,-,L(4-1),-,2.81
May 22,vs MIA,L 5-1,1.0,1,0,0,0,1,1,3,0,29,5,-,-,-,2.67
May 20,vs ARI,W 4-1,1.2,0,0,0,0,0,3,2,0,25,5,-,-,Sv(1),2.76
May 18,vs ARI,W 3-1,1.0,0,0,0,0,0,0,1,2,8,3,-,-,H(4),2.93
May 16,vs TOR,L 12-1,1.0,0,0,0,0,1,1,1,1,21,4,-,-,-,3.04
May 13,@ PHI,L 4-2,3.0,3,0,0,0,2,2,7,1,42,12,-,-,-,3.16
May 9,@ CIN,L 2-1,2.0,0,0,0,0,0,0,3,3,17,6,-,-,-,3.57
May 7,@ CIN,W 7-6,2.2,1,1,1,1,0,0,4,5,22,9,-,W(4-0),-,3.92
May 5,vs COL,L 2-0,2.0,3,1,1,0,2,3,3,2,30,11,-,-,-,4.00
May 2,vs ATL,L 7-0,1.0,4,4,4,2,0,0,3,4,28,7,-,-,-,3.94
Apr 29,@ SD,W 14-2,1.0,2,0,0,0,0,0,2,3,14,5,-,-,-,1.80
Apr 26,@ STL,L 4-3,0.2,1,0,0,0,0,0,2,0,7,2,-,-,BlSv(3),1.93
Apr 24,@ STL,W 6-5,1.0,1,0,0,0,1,1,1,1,12,4,-,W(3-0),-,2.03
Apr 20,@ ATL,W 5-3,2.0,1,0,0,0,1,3,4,0,35,8,-,W(2-0),-,2.19
Apr 17,vs WSH,L 5-2,2.0,2,2,2,0,1,1,4,3,34,9,-,-,-,2.61
Apr 15,vs MIL,W 3-2,1.0,2,1,0,0,1,2,2,2,22,7,-,-,BlSv(2),1.08
Apr 13,vs MIL,W 6-5,0.1,0,0,0,0,0,0,1,0,4,1,-,-,H(3),1.23
Apr 11,@ MIA,W 4-1,1.0,0,0,0,0,0,3,0,0,15,3,-,-,H(2),1.29
Apr 8,@ WSH,W 6-5,2.0,2,1,1,0,2,1,5,2,36,10,-,-,BlSv(1),1.50
Apr 5,@ WSH,W 8-2,0.1,0,0,0,0,0,1,0,0,5,1,-,-,-,0.00
Apr 4,vs PHI,W 4-2,2.0,0,0,0,0,0,3,2,1,22,6,-,W(1-0),-,0.00
Mar 31,vs STL,W 6-2,0.2,2,0,0,0,0,1,2,1,14,4,-,-,H(1),0.00
Mar 29,vs STL,W 9-4,1.0,0,0,0,0,0,3,0,0,14,3,-,-,-,0.00
