DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs HOU,L 4-1,4,0,0,0,0,0,0,0,4,0,0,.000,.000,.000,.000
Mar 30,vs HOU,W 5-1,3,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000
Mar 31,vs HOU,L 9-3,Did not play
Apr 1,vs HOU,L 8-2,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
Apr 2,@ OAK,L 3-1,4,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000
Apr 3,@ OAK,W 4-1,4,0,2,1,0,0,1,0,0,0,0,.100,.158,.258,.105
Apr 4,@ OAK,L 6-2,2,0,0,0,0,0,0,1,0,0,0,.130,.143,.273,.095
Apr 5,@ OAK,W 6-3,Did not play
Apr 6,vs TOR,L 8-5,4,0,0,0,0,0,0,0,2,0,0,.111,.120,.231,.080
Apr 7,vs TOR,W 5-1,Did not play
Apr 8,vs TOR,L 7-4,3,1,0,0,0,0,0,2,2,0,0,.156,.107,.263,.071
Apr 9,vs LAA,L 8-3,4,0,2,1,0,0,0,0,1,0,0,.194,.188,.382,.125
Apr 10,vs LAA,L 11-1,4,0,1,0,0,0,0,0,2,0,0,.200,.194,.394,.139
Apr 11,vs LAA,L 7-2,3,0,0,0,0,0,0,0,2,0,0,.205,.179,.384,.128
Apr 13,@ HOU,L 3-2,2,1,1,0,0,1,1,0,1,0,0,.250,.268,.518,.146
Apr 14,@ HOU,W 6-5,Did not play
Apr 15,@ HOU,W 3-1,3,1,2,1,0,1,3,0,0,0,0,.288,.386,.674,.182
Apr 16,@ TB,L 8-4,4,0,0,0,0,0,0,0,0,0,0,.268,.354,.622,.167
Apr 17,@ TB,W 7-2,Did not play
Apr 18,@ TB,L 4-2,4,0,0,0,0,0,0,0,2,0,0,.250,.327,.577,.154
Apr 20,vs SEA,L 6-2,3,0,0,0,0,0,0,0,2,0,0,.250,.309,.559,.145
Apr 21,vs SEA,L 9-7,4,1,1,1,0,0,0,1,3,0,0,.261,.322,.583,.153
Apr 22,vs SEA,W 7-4,Did not play
Apr 23,vs OAK,L 9-4,4,1,1,0,0,1,2,0,2,0,0,.260,.365,.625,.159
Apr 24,vs OAK,L 3-2,3,0,1,1,0,0,0,1,0,0,0,.273,.379,.652,.167
Apr 25,vs OAK,W 4-2,Did not play
Apr 27,@ TOR,W 6-4,Did not play
Apr 28,@ TOR,W 7-4,4,2,2,0,0,2,2,0,1,0,0,.284,.471,.755,.186
Apr 29,@ TOR,L 7-2,3,0,0,0,0,0,0,0,3,0,0,.274,.452,.726,.178
Apr 30,@ CLE,L 7-5,4,1,1,0,0,1,1,0,2,0,0,.273,.481,.754,.182
May 1,@ CLE,W 8-6,5,0,1,0,0,0,0,0,2,0,0,.269,.463,.732,.183
May 2,@ CLE,L 12-4,Did not play
May 3,vs BOS,W 11-5,4,1,2,1,0,0,1,0,1,0,0,.278,.477,.755,.198
May 4,vs BOS,L 5-1,3,0,0,0,0,0,0,0,2,0,0,.270,.461,.731,.191
May 5,vs BOS,L 6-5,4,1,1,0,0,0,0,0,3,0,0,.269,.452,.721,.194
May 6,vs BOS,L 6-1,Did not play
May 7,vs DET,W 7-6,4,0,0,0,0,0,0,0,3,0,0,.259,.433,.692,.186
May 8,vs DET,L 7-4,Did not play
May 9,vs DET,W 5-4,Did not play
May 11,@ HOU,W 1-0,3,0,0,0,0,0,0,0,3,0,0,.252,.420,.672,.180
May 12,@ HOU,L 6-1,3,0,0,0,0,0,0,0,1,0,0,.246,.408,.654,.175
May 13,@ HOU,L 6-1,Did not play
May 15,@ SEA,L 9-8,4,0,3,0,0,0,3,1,1,1,0,.269,.421,.690,.196
May 16,@ SEA,W 5-1,1,0,0,0,0,0,0,1,1,0,0,.273,.417,.690,.194
May 17,@ CHW,L 4-2,3,0,1,0,0,0,0,1,1,0,0,.280,.414,.694,.198
May 18,@ CHW,W 12-5,4,1,1,0,0,0,0,1,2,0,0,.285,.409,.694,.200
May 19,@ CHW,L 5-3,4,0,1,0,0,0,0,0,2,0,0,.284,.403,.687,.202
May 20,@ CHW,L 3-0,Did not play
May 21,vs NYY,L 10-5,4,0,0,0,0,0,0,0,2,0,0,.275,.390,.665,.195
May 22,vs NYY,W 6-4,3,1,0,0,0,0,0,0,3,0,0,.275,.381,.656,.190
May 23,vs NYY,W 12-10,Did not play
May 24,vs KC,L 8-2,3,0,0,0,0,0,0,0,1,0,0,.269,.372,.641,.186
May 25,vs KC,W 8-4,2,2,0,0,0,0,0,2,1,0,0,.275,.366,.641,.183
May 26,vs KC,W 4-3,1,0,0,0,0,0,0,0,0,0,0,.273,.364,.637,.182
May 27,vs KC,L 5-3,4,1,2,0,0,1,2,0,2,0,0,.279,.390,.669,.191
May 28,@ SEA,L 2-1,1,0,0,0,0,0,0,2,0,0,0,.287,.387,.674,.190
May 29,@ SEA,W 9-5,Did not play
May 30,@ SEA,W 7-6,5,0,3,1,0,0,3,0,1,0,0,.296,.401,.697,.204
May 31,@ SEA,L 6-1,3,0,0,0,0,0,0,1,1,0,0,.295,.393,.688,.200
Jun 1,@ LAA,L 6-0,Did not play
Jun 2,@ LAA,W 3-2,3,0,0,0,0,0,0,1,2,0,0,.294,.385,.679,.196
Jun 3,@ LAA,L 3-1,3,0,1,0,0,0,0,1,2,0,0,.299,.384,.683,.199
Jun 5,vs OAK,W 7-4,4,1,1,0,0,1,1,0,2,0,0,.298,.400,.698,.200
Jun 6,vs OAK,W 8-2,2,1,0,0,0,0,0,2,2,0,0,.302,.395,.697,.197
Jun 7,vs HOU,L 5-2,1,0,1,1,0,0,1,0,0,0,0,.306,.405,.711,.203
Jun 8,vs HOU,L 7-3,4,0,0,0,0,0,0,0,3,0,0,.299,.395,.694,.198
Jun 9,vs HOU,L 4-3,3,1,1,0,0,0,0,1,1,0,0,.307,.394,.701,.200
Jun 10,vs HOU,L 8-7,Did not play
Jun 12,@ LAD,L 12-5,2,0,0,0,0,0,0,1,0,0,0,.308,.389,.697,.198
Jun 13,@ LAD,L 3-2,1,0,0,0,0,0,0,0,0,0,0,.306,.387,.693,.196
Jun 15,vs COL,L 9-5,Did not play
Jun 16,vs COL,W 5-2,Did not play
Jun 17,vs COL,W 13-12,2,1,0,0,0,0,0,0,2,0,0,.307,.382,.689,.194
Jun 18,@ KC,W 6-3,3,0,0,0,0,0,0,0,2,0,0,.305,.376,.681,.191
Jun 19,@ KC,W 4-1,3,1,0,0,0,0,0,1,0,0,0,.304,.369,.673,.188
Jun 20,@ KC,W 3-2,Did not play
Jun 22,@ MIN,W 8-1,4,0,2,1,0,0,0,0,0,0,0,.308,.378,.686,.194
Jun 23,@ MIN,W 9-6,3,2,1,0,0,1,3,1,1,0,0,.312,.393,.705,.197
Jun 24,@ MIN,L 2-0,Did not play
Jun 25,vs SD,W 7-4,3,1,2,1,0,0,2,0,1,0,0,.320,.403,.723,.204
Jun 26,vs SD,L 3-2,3,1,1,0,0,1,1,0,1,0,0,.323,.418,.741,.206
Jun 27,vs SD,W 5-2,Did not play
Jun 29,vs CHW,W 11-3,4,1,1,0,0,1,3,0,1,0,0,.322,.430,.752,.207
Jun 30,vs CHW,W 13-4,4,1,2,1,0,0,3,0,1,0,0,.325,.437,.762,.213
Jul 1,vs CHW,L 10-5,Did not play
Jul 3,vs HOU,L 5-3,4,0,0,0,0,0,0,0,3,0,0,.319,.428,.747,.209
Jul 4,vs HOU,L 5-4,4,0,1,1,0,0,1,1,2,0,0,.321,.429,.750,.210
Jul 5,@ DET,W 7-5,Did not play
Jul 6,@ DET,L 3-1,3,0,0,0,0,0,0,0,2,0,0,.317,.423,.740,.207
Jul 7,@ DET,L 7-2,4,0,0,0,0,0,1,0,1,0,0,.312,.415,.727,.203
Jul 8,@ DET,W 3-0,Did not play
Jul 9,@ BOS,L 5-0,4,0,1,0,1,0,0,0,0,0,0,.311,.421,.732,.204
Jul 10,@ BOS,L 8-4,Did not play
Jul 11,@ BOS,L 4-2,2,0,1,0,0,0,1,2,1,0,0,.318,.422,.740,.206
Jul 13,@ BAL,W 5-4,4,1,1,0,0,0,0,0,1,0,0,.317,.419,.736,.207
Jul 14,@ BAL,L 1-0,3,0,1,0,0,0,0,1,2,0,0,.319,.418,.737,.209
Jul 15,@ BAL,L 6-5,Did not play
Jul 20,vs CLE,L 9-8,5,2,2,0,0,1,2,1,2,0,0,.323,.430,.753,.213
Jul 21,vs CLE,L 16-3,4,0,0,0,0,0,0,0,0,0,0,.319,.423,.742,.209
Jul 22,vs CLE,W 5-0,Did not play
Jul 23,vs OAK,L 15-3,3,1,1,0,0,0,0,1,1,0,0,.321,.422,.743,.211
Jul 24,vs OAK,L 13-10,Did not play
