DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs SF,L 4-3,3.2,6,2,2,0,1,5,4,8,75,18,45,-,-,3.00
Jul 21,vs CHW,L 5-0,1.0,2,1,1,0,0,0,1,4,14,5,-,-,-,2.66
Jul 14,@ COL,L 4-1,1.0,0,0,0,0,0,2,1,0,11,3,-,-,-,2.33
Jul 12,@ LAA,L 11-2,1.0,1,0,0,0,0,0,2,1,13,3,-,-,-,2.45
Jul 10,@ LAA,L 9-3,2.0,2,1,1,0,1,1,2,5,37,9,-,-,-,2.60
Jul 6,vs COL,L 7-1,3.0,2,3,2,0,2,1,4,6,55,14,-,-,-,2.35
Jul 4,vs LAA,L 7-4,1.0,0,0,0,0,0,0,2,1,11,3,-,-,-,1.46
Jun 22,@ BOS,L 14-10,1.0,1,0,0,0,0,0,1,3,20,4,-,-,-,1.59
Jun 17,vs BOS,L 9-3,2.1,2,1,1,0,2,3,3,3,41,11,-,-,-,1.74
Jun 13,vs LAA,W 8-6,2.0,2,0,0,0,1,1,1,4,19,7,-,W(2-0),-,1.13
Jun 9,@ TB,L 7-3,4.0,2,1,1,0,1,3,2,9,61,15,-,-,-,1.50
Jun 1,vs TB,W 4-3,2.0,2,0,0,0,0,1,2,4,32,7,-,W(1-0),-,0.00
