DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ TEX,W 13-10,0.2,3,5,2,1,1,1,2,3,26,7,-,-,-,3.00
Jul 21,vs SF,W 4-3,0.2,2,1,1,0,0,1,0,3,11,4,-,-,H(10),2.21
Jul 20,vs SF,L 5-1,0.0,1,0,0,0,0,0,0,1,5,1,-,-,-,1.83
Jul 15,@ SF,W 6-2,1.0,0,0,0,0,0,3,0,0,15,3,-,-,H(9),1.83
Jul 12,@ HOU,W 6-4,1.0,0,0,0,0,0,0,2,1,8,3,-,-,H(8),1.93
Jul 11,@ HOU,W 8-3,1.0,1,0,0,0,0,0,2,2,12,4,-,-,-,2.04
Jul 8,@ CLE,W 6-0,1.0,0,0,0,0,1,1,0,2,16,4,-,-,-,2.16
Jul 7,@ CLE,W 6-3,1.1,1,0,0,0,0,0,2,2,14,4,-,-,-,2.30
Jul 4,vs SD,W 4-2,0.1,1,0,0,0,0,0,0,2,2,2,-,-,-,2.51
Jul 3,vs SD,W 6-2,1.0,0,0,0,0,0,1,0,2,17,3,-,-,H(7),2.57
Jun 30,vs CLE,W 7-2,0.1,0,0,0,0,0,1,0,0,7,1,-,-,H(6),2.77
Jun 29,vs CLE,W 3-1,1.0,1,1,1,0,0,1,1,2,18,4,-,-,H(5),2.84
Jun 26,@ DET,W 9-7,1.0,1,0,0,0,2,3,0,1,24,6,-,W(2-0),-,2.31
Jun 25,@ DET,W 5-4,0.0,1,1,1,0,0,0,0,1,8,1,-,-,-,INF
Apr 25,@ TEX,L 4-2,0.1,0,0,0,0,0,1,0,0,6,1,-,-,-,1.69
Apr 23,@ TEX,W 9-4,0.2,0,0,0,0,0,1,1,0,11,2,-,W(1-0),-,1.74
Apr 22,vs BOS,W 4-1,0.1,0,0,0,0,1,1,0,0,12,2,-,-,-,1.86
Apr 18,vs CHW,W 12-11,1.0,0,0,0,0,0,0,1,2,12,3,-,-,-,1.93
Apr 15,@ SEA,W 2-1,0.2,0,0,0,0,1,0,1,1,11,3,-,-,H(4),2.16
Apr 13,@ SEA,L 7-4,1.0,1,0,0,0,0,2,1,1,21,4,-,-,H(3),2.35
Apr 11,@ LAD,W 16-6,1.0,2,1,1,0,0,0,1,4,26,5,-,-,-,2.70
Apr 7,@ LAA,W 7-3,0.2,1,1,1,1,0,0,1,2,7,3,-,-,H(2),1.59
Apr 6,@ LAA,L 13-9,1.0,2,2,0,0,0,0,3,2,17,5,-,-,H(1),0.00
Apr 5,vs TEX,L 6-3,0.1,1,0,0,0,0,0,0,2,7,2,-,-,-,0.00
Apr 2,vs TEX,W 3-1,1.2,1,0,0,0,1,3,0,3,36,7,-,-,-,0.00
Apr 1,vs LAA,L 7-4,1.0,2,0,0,0,0,1,0,4,24,5,-,-,-,0.00
Mar 29,vs LAA,W 6-5,1.0,0,0,0,0,1,2,1,0,19,4,-,-,-,0.00
