DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs PHI,W 8-5,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.500,.250
Mar 30,vs PHI,L 5-4,4,1,2,1,0,0,1,1,1,0,0,.444,.500,.944,.375
Mar 31,vs PHI,W 15-2,5,4,4,2,0,0,0,0,0,0,0,.571,.769,1.340,.538
Apr 2,vs WSH,L 8-1,3,0,1,0,0,0,0,0,2,0,0,.529,.688,1.217,.500
Apr 3,vs WSH,W 13-6,3,0,1,0,0,0,0,1,2,0,0,.545,.632,1.177,.474
Apr 4,vs WSH,W 7-1,4,1,1,1,0,0,1,0,1,0,0,.500,.609,1.109,.435
Apr 6,@ COL,W 8-3,2,1,0,0,0,0,0,3,0,1,0,.516,.560,1.076,.400
Apr 7,@ COL,L 3-2,4,0,2,0,0,0,1,0,0,1,0,.514,.552,1.066,.414
Apr 8,@ COL,W 4-0,Did not play
Apr 9,@ WSH,L 2-0,3,0,0,0,0,0,0,0,0,0,0,.474,.500,.974,.375
Apr 10,@ WSH,L 4-1,3,0,0,0,0,0,0,1,2,0,0,.452,.457,.909,.343
Apr 11,@ WSH,W 5-3,1,0,0,0,0,0,0,0,1,0,0,.442,.444,.886,.333
Apr 13,@ CHC,W 4-0,5,0,3,0,0,0,0,0,1,0,1,.458,.463,.921,.366
Apr 14,@ CHC,L 14-10,Did not play
Apr 16,vs PHI,W 2-1,3,0,1,0,0,0,0,0,0,0,0,.451,.455,.906,.364
Apr 17,vs PHI,L 5-1,4,0,1,0,0,0,0,1,0,0,0,.446,.438,.884,.354
Apr 18,vs PHI,W 7-3,4,1,2,0,0,1,4,0,1,0,0,.450,.500,.950,.365
Apr 19,vs NYM,W 12-4,2,0,0,0,0,0,0,2,0,0,0,.453,.481,.934,.352
Apr 20,vs NYM,L 5-3,4,0,2,1,0,0,1,1,1,1,1,.464,.500,.964,.362
Apr 21,vs NYM,W 4-3,0,1,0,0,0,0,0,1,0,0,0,.471,.500,.971,.362
Apr 23,@ CIN,L 10-4,4,0,0,0,0,0,0,0,2,0,0,.446,.468,.914,.339
Apr 24,@ CIN,L 9-7,5,0,0,0,0,0,0,0,3,0,0,.418,.433,.851,.313
Apr 25,@ CIN,W 5-4,Did not play
Apr 26,@ CIN,W 7-4,4,0,1,0,0,0,0,0,1,0,0,.410,.423,.833,.310
Apr 27,@ PHI,L 7-3,4,0,1,0,0,0,0,0,1,0,0,.402,.413,.815,.307
Apr 28,@ PHI,W 4-1,4,1,1,0,0,0,0,0,1,0,0,.396,.405,.801,.304
Apr 29,@ PHI,W 10-1,1,1,0,0,0,0,0,1,1,0,0,.398,.400,.798,.300
May 1,@ NYM,W 3-2,3,0,2,0,0,0,0,1,0,0,0,.412,.410,.822,.313
May 2,@ NYM,W 7-0,4,1,1,0,0,1,1,0,0,0,0,.406,.437,.843,.310
May 3,@ NYM,W 11-0,Did not play
May 4,vs SF,L 9-4,Did not play
May 5,vs SF,L 11-2,Did not play
May 6,vs SF,L 4-3,Did not play
May 8,@ TB,W 1-0,Did not play
May 9,@ TB,W 5-2,Did not play
May 10,@ MIA,W 9-2,2,0,1,0,0,0,0,0,0,0,0,.408,.438,.846,.315
May 11,@ MIA,L 6-3,3,0,1,0,0,0,1,1,1,0,0,.411,.435,.846,.315
May 12,@ MIA,W 10-5,2,0,0,0,0,0,0,0,1,0,0,.404,.426,.830,.309
May 13,@ MIA,W 4-3,4,0,0,0,0,0,0,0,1,0,0,.389,.408,.797,.296
May 14,@ CHC,W 6-5,1,0,0,0,0,0,0,0,0,0,0,.386,.404,.790,.293
May 15,vs CHC,L 3-2,1,0,0,0,0,0,0,0,0,0,0,.383,.400,.783,.290
May 16,vs CHC,W 4-1,4,0,0,0,0,0,0,0,0,0,0,.370,.385,.755,.279
May 18,vs MIA,L 2-0,Did not play
May 19,vs MIA,W 8-1,Did not play
May 20,vs MIA,W 10-9,0,1,0,0,0,0,0,1,0,0,0,.375,.385,.760,.279
May 21,@ PHI,L 3-0,Did not play
May 22,@ PHI,W 3-1,4,0,0,0,0,0,0,0,2,0,0,.363,.370,.733,.269
May 23,@ PHI,L 4-0,1,0,1,0,0,0,0,0,0,0,0,.368,.376,.744,.275
May 25,@ BOS,L 6-2,Did not play
May 26,@ BOS,L 8-6,Did not play
May 27,@ BOS,W 7-1,Did not play
