DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CHW,L 14-7,Did not play
Mar 31,vs CHW,L 4-3,Did not play
Apr 2,@ DET,L 6-1,Did not play
Apr 3,@ DET,W 1-0,Did not play
Apr 6,@ CLE,L 3-2,Did not play
Apr 7,@ CLE,W 1-0,Did not play
Apr 8,@ CLE,L 3-1,Did not play
Apr 9,vs SEA,W 10-0,Did not play
Apr 10,vs SEA,L 8-3,Did not play
Apr 11,vs SEA,L 4-2,Did not play
Apr 12,vs LAA,L 7-1,Did not play
Apr 13,vs LAA,L 5-4,Did not play
Apr 14,vs LAA,L 5-3,Did not play
Apr 17,@ TOR,L 11-3,Did not play
Apr 17,@ TOR,L 5-4,Did not play
Apr 18,@ TOR,L 15-5,Did not play
Apr 20,@ DET,L 3-2,Did not play
Apr 20,@ DET,W 3-2,Did not play
Apr 21,@ DET,L 12-4,Did not play
Apr 22,@ DET,W 8-5,Did not play
Apr 24,vs MIL,L 5-2,4,1,1,0,0,1,1,0,1,0,0,.250,1.000,1.250,.250
Apr 25,vs MIL,L 6-2,4,0,0,0,0,0,1,0,1,0,0,.125,.500,.625,.125
Apr 26,vs CHW,L 6-3,5,1,2,0,0,0,0,0,1,0,0,.231,.462,.693,.231
Apr 27,vs CHW,L 7-4,5,1,1,0,0,0,0,0,1,0,0,.222,.389,.611,.222
Apr 28,vs CHW,L 8-0,3,0,1,1,0,0,0,1,0,0,0,.273,.429,.702,.238
Apr 28,vs CHW,W 5-2,4,2,2,1,0,0,0,0,1,0,0,.308,.480,.788,.280
Apr 29,vs CHW,W 5-4,5,1,2,0,0,0,0,0,2,0,0,.323,.467,.790,.300
Apr 30,@ BOS,L 10-6,4,0,1,0,0,0,1,1,2,0,0,.333,.441,.774,.294
May 1,@ BOS,W 7-6,5,1,2,0,0,0,0,0,1,1,0,.341,.436,.777,.308
May 2,@ BOS,L 5-4,3,0,0,0,0,0,1,0,1,0,0,.311,.405,.716,.286
May 3,vs DET,W 10-6,4,2,2,1,0,1,2,1,0,0,0,.340,.500,.840,.304
May 4,vs DET,W 4-2,2,0,0,0,0,0,0,1,0,0,0,.340,.479,.819,.292
May 5,vs DET,L 3-2,4,0,0,0,0,0,0,0,0,0,0,.316,.442,.758,.269
May 6,vs DET,W 4-2,3,0,1,0,0,0,1,0,1,0,0,.317,.436,.753,.273
May 8,@ BAL,W 15-7,3,1,1,0,0,1,2,0,1,0,0,.313,.483,.796,.276
May 9,@ BAL,L 5-3,4,1,2,0,0,0,0,0,0,0,0,.324,.484,.808,.290
May 10,@ BAL,L 11-6,4,1,1,0,0,1,4,0,1,0,0,.319,.515,.834,.288
May 11,@ CLE,W 10-9,5,2,1,0,0,1,2,0,0,0,0,.312,.535,.847,.282
May 12,@ CLE,L 6-2,4,0,0,0,0,0,1,0,1,0,0,.296,.507,.803,.267
May 13,@ CLE,L 11-2,4,1,2,1,0,0,1,0,0,0,0,.306,.519,.825,.278
May 14,vs TB,L 2-1,3,0,0,0,0,0,0,1,0,0,0,.303,.500,.803,.268
May 15,vs TB,L 6-5,4,0,0,0,0,0,0,0,0,0,0,.290,.477,.767,.256
May 16,vs TB,L 5-3,4,0,0,0,0,0,0,0,1,0,0,.278,.456,.734,.244
