DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ MIL,W 7-3,0.2,4,3,3,1,0,1,0,1,18,6,-,-,-,5.22
Jul 23,@ MIL,L 6-1,0.1,1,0,0,0,0,1,1,0,16,2,-,-,-,4.40
Jul 22,vs ATL,W 6-2,0.1,2,0,0,0,0,1,1,1,9,3,-,-,H(13),4.45
Jun 29,@ PHI,W 17-7,1.0,0,0,0,0,1,1,1,1,18,4,-,-,-,4.50
Jun 28,@ PHI,L 4-3,0.1,0,0,0,0,0,0,1,0,6,2,-,-,-,4.67
Jun 24,vs PHI,W 8-6,1.0,2,2,2,1,0,0,3,2,20,5,-,-,-,4.73
Jun 22,vs PHI,L 12-2,1.0,2,3,3,0,2,0,5,0,34,7,-,-,-,4.21
Jun 18,vs NYY,L 4-2,0.2,1,0,0,0,1,0,0,3,7,4,-,-,-,3.28
Jun 13,@ NYY,W 5-4,0.1,0,0,0,0,0,0,1,0,4,1,-,-,H(12),3.38
Jun 9,vs SF,W 7-5,1.0,0,0,0,0,0,2,0,1,10,3,-,-,H(11),3.42
Jun 3,@ ATL,L 4-2,1.0,0,0,0,0,1,0,0,3,22,4,-,-,H(10),3.57
Jun 2,@ ATL,W 5-3,0.2,0,0,0,0,0,0,2,0,6,2,-,-,-,3.74
Jun 1,@ ATL,L 4-0,0.1,1,0,0,0,0,0,1,1,4,2,-,-,-,3.86
May 29,@ BAL,W 3-2,1.0,0,0,0,0,0,1,0,2,16,3,-,-,H(9),3.92
May 27,@ MIA,W 5-2,1.0,1,1,1,1,0,1,0,3,17,4,-,-,-,4.12
May 25,@ MIA,W 9-5,0.1,0,0,0,0,1,1,0,0,9,2,-,-,H(8),3.86
May 23,vs SD,L 3-1,1.1,1,0,0,0,0,0,3,1,19,4,-,-,-,3.93
May 20,vs LAD,L 7-2,0.1,0,0,0,0,0,1,0,0,6,1,-,-,-,4.24
May 19,vs LAD,L 5-4,0.1,1,1,1,1,0,0,0,2,10,2,-,-,H(7),4.32
May 15,vs NYY,W 5-3,0.2,0,0,0,0,0,0,0,1,5,1,-,-,H(6),3.86
May 13,@ ARI,W 6-4,0.1,0,0,0,0,0,1,1,0,5,2,-,-,H(5),4.02
May 12,@ ARI,W 2-1,0.2,0,0,0,0,0,1,1,0,9,2,-,-,H(4),4.11
May 10,@ ARI,W 2-1,0.2,1,0,0,0,0,1,1,1,10,3,-,-,-,4.30
May 9,@ SD,L 2-1,0.2,1,0,0,0,1,0,2,1,15,4,-,-,-,4.50
May 6,vs PHI,W 5-4,0.0,1,1,1,0,0,0,0,1,4,1,-,-,BlSv(2),INF
May 5,vs PHI,L 3-1,1.2,0,0,0,0,1,1,1,2,20,5,-,-,-,4.05
May 3,vs PIT,W 3-1,0.1,0,0,0,0,0,0,0,1,1,1,-,W(1-1),-,4.63
May 1,vs PIT,W 12-4,1.0,1,0,0,0,0,2,2,0,18,4,-,-,-,4.76
Apr 28,vs ARI,L 4-3,0.1,1,1,1,0,1,1,0,1,14,3,-,L(0-1),-,5.23
Apr 27,vs ARI,L 5-4,1.0,0,0,0,0,0,0,2,0,5,2,-,-,-,4.50
Apr 23,@ SF,L 4-2,1.0,0,0,0,0,0,1,1,1,10,3,-,-,-,5.00
Apr 22,@ LAD,L 4-3,0.0,1,0,0,0,1,0,0,1,11,2,-,-,BlSv(1),5.63
Apr 20,@ LAD,W 5-2,0.2,1,0,0,0,0,1,2,0,11,3,-,-,H(3),5.63
Apr 18,@ NYM,L 11-5,0.0,0,2,2,0,2,0,0,0,13,2,-,-,-,INF
Apr 17,@ NYM,W 5-2,0.2,0,0,0,0,0,1,0,1,12,2,-,-,H(2),3.68
Apr 15,vs COL,L 6-5,0.1,0,0,0,0,0,0,0,1,6,1,-,-,-,4.05
Apr 13,vs COL,L 2-1,1.1,2,0,0,0,0,3,2,1,19,6,-,-,-,4.26
Apr 11,vs ATL,L 5-3,1.0,1,0,0,0,0,1,3,0,13,4,-,-,-,5.40
Apr 10,vs ATL,W 4-1,0.1,1,1,1,0,1,0,1,1,10,3,-,-,-,6.75
Apr 8,vs NYM,L 6-5,2.0,1,0,0,0,0,5,1,0,31,6,-,-,-,4.91
Apr 3,@ ATL,L 13-6,1.0,0,0,0,0,0,3,0,0,20,3,-,-,-,10.80
Apr 1,@ CIN,W 6-5,0.0,1,2,2,0,2,0,0,1,19,4,-,-,-,INF
Mar 31,@ CIN,W 13-7,0.2,0,0,0,0,0,1,1,0,7,2,-,-,H(1),0.00
