DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,vs WSH,L 2-0,4,0,4,1,0,0,0,0,0,0,0,1.000,1.250,2.250,1.000
Mar 31,vs WSH,L 13-7,5,0,2,0,0,0,1,0,0,0,0,.667,.778,1.445,.667
Apr 1,vs WSH,L 6-5,4,0,1,1,0,0,0,0,1,0,0,.538,.692,1.230,.538
Apr 2,vs CHC,W 1-0,4,0,1,0,0,0,0,0,0,0,0,.471,.588,1.059,.471
Apr 5,@ PIT,L 5-2,4,1,1,0,0,0,0,0,0,0,0,.429,.524,.953,.429
Apr 6,@ PIT,L 14-3,5,0,0,0,0,0,0,0,1,0,0,.346,.423,.769,.346
Apr 7,@ PIT,W 7-4,5,0,0,0,0,0,0,0,2,0,0,.290,.355,.645,.290
Apr 8,@ PIT,L 5-0,2,0,0,0,0,0,0,1,0,0,0,.294,.333,.627,.273
Apr 9,@ PHI,L 6-5,4,1,2,1,0,0,1,1,1,0,0,.333,.378,.711,.297
Apr 10,@ PHI,L 6-1,4,0,1,0,0,0,0,0,1,0,0,.326,.366,.692,.293
Apr 11,@ PHI,L 4-3,5,1,2,1,0,0,0,0,2,0,0,.333,.391,.724,.304
Apr 12,vs STL,L 13-4,4,0,1,0,0,0,2,0,1,1,0,.327,.380,.707,.300
Apr 13,vs STL,L 5-3,4,1,1,0,0,0,0,0,2,0,0,.321,.370,.691,.296
Apr 14,vs STL,L 6-1,4,0,3,0,0,0,0,0,0,0,0,.350,.397,.747,.328
Apr 15,vs STL,L 3-2,4,0,0,0,0,0,0,0,2,0,0,.328,.371,.699,.306
Apr 16,@ MIL,W 10-4,4,0,1,1,0,0,1,1,0,0,0,.333,.379,.712,.303
Apr 17,@ MIL,L 2-0,4,0,0,0,0,0,0,0,1,0,0,.315,.357,.672,.286
Apr 18,@ MIL,L 2-0,3,0,0,0,0,0,0,1,0,0,0,.312,.342,.654,.274
Apr 20,@ STL,L 4-2,3,1,1,0,0,0,0,1,0,0,0,.321,.342,.663,.276
Apr 21,@ STL,L 4-3,5,0,2,0,0,0,2,0,2,0,0,.326,.346,.672,.284
Apr 22,@ STL,L 9-2,4,0,0,0,0,0,0,0,2,0,0,.311,.329,.640,.271
Apr 23,vs ATL,W 10-4,4,0,1,0,0,0,2,1,2,0,0,.316,.326,.642,.270
Apr 24,vs ATL,W 9-7,5,3,3,0,0,2,4,0,0,0,0,.330,.404,.734,.287
Apr 25,vs ATL,L 5-4,5,0,1,1,0,0,0,0,1,0,0,.324,.404,.728,.283
Apr 26,vs ATL,L 7-4,0,0,0,0,0,0,0,1,0,0,0,.330,.404,.734,.283
Apr 27,@ MIN,W 15-9,5,2,3,0,0,0,1,1,0,0,0,.348,.413,.761,.298
Apr 28,@ MIN,L 3-1,4,0,1,0,0,0,0,0,0,0,0,.345,.407,.752,.296
Apr 29,@ MIN,W 8-2,5,2,2,1,0,0,0,0,1,0,0,.347,.416,.763,.301
Apr 30,vs MIL,L 6-5,1,0,0,0,0,0,0,0,1,0,0,.344,.412,.756,.298
May 1,vs MIL,L 7-6,1,0,0,0,0,0,0,0,0,0,0,.341,.409,.750,.296
May 2,vs MIL,L 3-1,1,0,0,0,0,0,0,0,0,0,0,.339,.405,.744,.293
May 4,vs MIA,W 4-1,1,0,0,0,0,0,0,0,1,0,0,.336,.402,.738,.291
May 5,vs MIA,L 6-0,3,0,0,0,0,0,0,0,2,0,0,.328,.392,.720,.283
May 6,vs MIA,L 8-5,4,0,1,1,0,0,0,1,2,0,0,.331,.395,.726,.282
May 7,vs NYM,L 7-6,4,2,2,1,0,1,2,0,0,0,0,.336,.430,.766,.289
May 8,vs NYM,W 7-2,4,1,1,0,0,1,2,0,0,0,0,.333,.447,.780,.288
May 9,vs NYM,W 2-1,Did not play
May 10,@ LAD,W 4-1,4,1,3,1,0,1,3,0,0,0,0,.345,.485,.830,.301
May 11,@ LAD,W 6-2,5,2,4,0,0,1,3,0,0,0,0,.360,.518,.878,.319
May 12,@ LAD,W 5-3,5,1,3,0,0,0,0,0,1,0,0,.368,.521,.889,.329
May 13,@ LAD,W 5-3,Did not play
