DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Aug 17,@ CHC,W 13-10,3.2,7,6,6,5,0,1,7,10,52,18,24,-,-,4.77
Aug 12,@ MIL,L 6-5,4.0,7,3,3,1,1,6,4,8,83,19,41,-,-,4.43
Jul 17,vs WSH,L 6-1,1.0,5,5,5,2,1,0,0,8,33,9,22,L(7-7),-,4.34
Jul 5,@ COL,L 5-3,5.0,5,4,4,2,1,6,7,7,88,21,46,L(7-6),-,3.94
Jun 30,vs CHC,W 5-0,7.0,2,0,0,0,2,7,9,7,108,25,78,W(7-5),-,3.78
Jun 25,@ WSH,W 6-2,7.0,7,2,2,1,2,5,11,11,119,29,58,W(6-5),-,4.07
Jun 19,@ TB,W 7-3,6.0,6,2,2,1,1,6,8,9,99,25,57,-,-,4.20
Jun 13,@ SD,L 6-2,5.0,8,4,4,1,2,6,7,10,92,25,39,L(5-5),-,4.29
Jun 8,vs STL,W 5-2,7.0,4,0,0,0,0,4,11,9,100,24,73,W(5-4),-,4.09
Jun 3,vs ATL,L 6-5,4.1,7,5,4,1,3,1,7,11,98,24,29,-,-,4.52
May 28,@ PHI,W 8-4,5.0,8,4,4,1,0,4,8,8,84,21,39,W(4-4),-,4.26
May 22,vs CLE,W 5-1,6.0,4,1,1,1,2,9,5,7,98,23,67,W(3-4),-,3.99
May 17,@ CHC,L 7-5,2.2,5,7,5,0,3,4,5,5,80,18,25,L(2-4),-,4.29
May 12,@ SF,L 3-2,7.0,7,2,2,1,1,2,14,9,92,26,56,-,-,3.59
May 7,vs SF,W 4-0,9.0,4,0,0,0,1,5,17,8,119,32,83,W(2-3),-,3.76
May 2,vs PIT,L 12-3,4.0,6,7,7,1,2,3,6,9,73,20,23,L(1-3),-,4.83
Apr 25,@ MIL,L 9-1,5.0,5,4,4,0,5,5,6,8,101,24,41,L(1-2),-,3.25
Apr 20,vs BAL,L 2-1,7.0,4,1,1,1,0,4,7,12,86,23,69,-,-,2.38
Apr 14,vs MIL,L 10-4,5.0,4,2,2,0,5,3,6,9,104,23,49,-,-,2.87
Apr 9,@ STL,W 8-0,6.0,4,0,0,0,1,6,6,9,101,22,69,W(1-1),-,2.53
Apr 3,vs PHI,L 4-3,4.2,7,3,3,2,2,6,4,9,99,21,42,L(0-1),-,5.79
