DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,vs WSH,L 2-0,4,0,1,0,0,0,0,0,1,1,0,.250,.250,.500,.250
Mar 31,vs WSH,L 13-7,5,2,2,1,0,1,1,0,0,0,0,.333,.778,1.111,.333
Apr 1,vs WSH,L 6-5,3,1,1,0,0,0,0,0,0,0,0,.385,.667,1.052,.333
Apr 2,vs CHC,W 1-0,Did not play
Apr 5,@ PIT,L 5-2,Did not play
Apr 6,@ PIT,L 14-3,Did not play
Apr 7,@ PIT,W 7-4,Did not play
Apr 8,@ PIT,L 5-0,Did not play
Apr 9,@ PHI,L 6-5,Did not play
Apr 10,@ PHI,L 6-1,Did not play
Apr 11,@ PHI,L 4-3,Did not play
Apr 12,vs STL,L 13-4,Did not play
Apr 13,vs STL,L 5-3,Did not play
Apr 14,vs STL,L 6-1,Did not play
Apr 15,vs STL,L 3-2,Did not play
Apr 16,@ MIL,W 10-4,Did not play
Apr 17,@ MIL,L 2-0,Did not play
Apr 18,@ MIL,L 2-0,Did not play
Apr 20,@ STL,L 4-2,0,0,0,0,0,0,0,0,0,0,0,.385,.667,1.052,.333
Apr 21,@ STL,L 4-3,3,0,0,0,0,0,0,0,1,0,0,.353,.533,.886,.267
Apr 22,@ STL,L 9-2,4,0,1,0,0,0,0,0,0,0,0,.333,.474,.807,.263
Apr 23,vs ATL,W 10-4,5,3,2,0,0,1,3,0,0,0,0,.346,.583,.929,.292
Apr 24,vs ATL,W 9-7,1,0,0,0,0,0,0,0,1,0,0,.333,.560,.893,.280
Apr 25,vs ATL,L 5-4,4,1,2,1,0,0,1,0,0,0,0,.355,.586,.941,.310
Apr 26,vs ATL,L 7-4,4,0,1,0,0,0,0,0,0,0,0,.343,.545,.888,.303
Apr 27,@ MIN,W 15-9,5,2,2,0,0,0,3,1,2,0,0,.366,.526,.892,.316
Apr 28,@ MIN,L 3-1,3,1,1,0,0,1,1,1,1,0,0,.378,.585,.963,.317
Apr 29,@ MIN,W 8-2,5,0,1,0,0,0,2,0,0,0,0,.360,.543,.903,.304
Apr 30,vs MIL,L 6-5,4,1,2,1,0,0,0,0,1,0,0,.370,.560,.930,.320
May 1,vs MIL,L 7-6,5,0,1,0,0,0,0,0,0,0,0,.356,.527,.883,.309
May 2,vs MIL,L 3-1,1,0,0,0,0,0,0,0,0,0,0,.350,.518,.868,.304
May 4,vs MIA,W 4-1,3,0,0,0,0,0,0,1,1,0,0,.344,.492,.836,.288
May 5,vs MIA,L 6-0,3,0,1,0,0,0,0,0,1,0,0,.343,.484,.827,.290
May 6,vs MIA,L 8-5,4,0,0,0,0,0,0,1,2,0,0,.333,.455,.788,.273
May 7,vs NYM,L 7-6,0,0,0,0,0,0,1,0,0,0,0,.329,.455,.784,.273
May 8,vs NYM,W 7-2,5,2,2,1,0,0,0,0,0,0,0,.333,.465,.798,.282
May 9,vs NYM,W 2-1,3,0,0,0,0,0,0,1,0,0,0,.329,.446,.775,.270
May 10,@ LAD,W 4-1,1,0,0,0,0,0,0,0,1,0,0,.325,.440,.765,.267
May 11,@ LAD,W 6-2,3,0,0,0,0,0,0,1,2,0,0,.322,.423,.745,.256
May 12,@ LAD,W 5-3,4,1,1,0,0,1,3,0,1,0,0,.319,.451,.770,.256
May 13,@ LAD,W 5-3,5,0,0,0,0,0,0,0,0,0,0,.302,.425,.727,.241
May 14,@ SF,L 10-7,4,3,3,1,0,1,1,0,0,0,0,.320,.484,.804,.264
May 15,@ SF,L 5-3,3,0,0,0,0,0,0,0,1,0,0,.317,.468,.785,.255
May 16,@ SF,W 6-3,4,0,0,0,0,0,0,0,1,0,0,.306,.449,.755,.245
May 18,vs CHC,L 8-1,Did not play
May 19,vs CHC,W 5-4,3,1,1,0,0,0,0,2,0,1,0,.319,.446,.765,.248
May 19,vs CHC,L 10-0,3,0,1,0,0,0,0,0,0,0,0,.319,.442,.761,.250
May 20,vs CHC,L 6-1,2,0,1,0,0,0,1,1,1,0,0,.328,.443,.771,.255
May 22,vs PIT,W 7-2,4,0,0,0,0,0,0,0,3,0,0,.317,.427,.744,.245
May 23,vs PIT,L 5-4,3,0,1,0,0,0,0,0,2,0,0,.317,.425,.742,.248
May 24,vs PIT,W 5-4,4,0,2,0,0,0,0,0,1,0,0,.323,.427,.750,.256
May 25,@ COL,L 5-4,3,0,0,0,0,0,1,1,0,0,0,.321,.417,.738,.250
May 26,@ COL,W 6-5,2,1,1,0,0,0,0,0,0,0,0,.324,.418,.742,.254
May 27,@ COL,L 8-2,4,0,0,0,0,0,0,0,1,0,0,.314,.405,.719,.246
May 28,@ ARI,L 12-5,2,1,0,0,0,0,0,1,0,0,0,.319,.398,.717,.242
May 29,@ ARI,L 5-2,3,0,0,0,0,0,0,0,1,0,0,.318,.389,.707,.237
May 30,@ ARI,W 7-4,4,1,2,0,0,1,2,1,1,0,0,.327,.415,.742,.244
Jun 1,@ SD,W 7-2,4,1,1,0,0,0,0,0,0,0,0,.325,.410,.735,.245
Jun 2,@ SD,L 8-2,3,1,2,0,0,1,1,0,0,0,0,.335,.437,.772,.254
Jun 3,@ SD,L 6-3,1,0,1,0,0,0,0,0,0,0,0,.340,.441,.781,.259
Jun 5,vs COL,L 9-6,5,2,2,0,0,1,1,0,2,0,0,.341,.459,.800,.264
Jun 6,vs COL,L 6-3,5,0,2,0,0,0,0,0,2,0,0,.343,.458,.801,.268
Jun 7,vs COL,W 7-5,6,1,3,1,0,0,1,0,2,0,0,.348,.465,.813,.277
Jun 8,vs STL,L 7-6,6,1,4,2,0,0,0,0,0,0,0,.359,.485,.844,.291
Jun 9,vs STL,L 6-4,5,0,1,1,0,0,1,0,1,0,0,.354,.482,.836,.288
Jun 10,vs STL,W 6-3,4,1,0,0,0,0,1,1,1,0,0,.351,.471,.822,.282
Jun 12,@ KC,W 5-1,5,1,2,0,0,0,0,0,1,0,0,.352,.469,.821,.285
Jun 13,@ KC,W 7-0,4,0,1,1,0,0,0,0,1,0,0,.353,.470,.823,.284
Jun 15,@ PIT,L 3-2,5,1,1,0,0,0,0,0,4,0,0,.349,.463,.812,.282
Jun 16,@ PIT,L 6-2,4,0,1,1,0,0,0,0,0,0,0,.347,.464,.811,.281
Jun 17,@ PIT,W 8-6,4,2,1,0,0,1,3,1,1,0,0,.349,.474,.823,.281
Jun 19,vs DET,W 9-5,2,0,0,0,0,0,0,0,1,0,0,.345,.470,.815,.278
