DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,@ MIA,W 12-1,6.0,4,1,1,1,4,5,8,7,103,24,61,W(9-5),-,3.41
Jul 14,vs ARI,L 3-0,5.2,4,3,3,1,3,2,9,10,102,24,48,L(8-5),-,3.51
Jul 8,@ MIL,L 10-3,3.2,5,5,5,1,4,3,5,8,82,20,30,L(8-4),-,3.44
Jul 3,@ NYY,L 8-5,2.2,3,5,5,2,5,2,3,6,70,16,29,L(8-3),-,3.10
Jun 27,vs CIN,L 6-5,6.0,7,3,3,1,2,6,3,16,111,27,50,-,-,2.71
Jun 22,vs BAL,L 10-7,7.0,5,1,1,1,2,3,8,12,108,25,64,-,-,2.59
Jun 16,vs SD,W 1-0,6.0,2,0,0,0,1,7,8,5,84,21,74,W(8-2),-,2.70
Jun 10,@ LAD,L 7-2,5.1,7,5,5,2,2,6,6,10,94,24,38,L(7-2),-,2.92
Jun 5,@ SD,W 14-1,6.0,3,0,0,0,3,4,7,7,95,21,67,W(7-1),-,2.49
May 31,vs WSH,W 4-2,7.0,4,2,2,0,2,2,13,10,93,27,61,W(6-1),-,2.73
May 26,@ BOS,L 8-6,3.0,6,3,3,0,4,4,7,4,88,19,-,-,-,2.75
May 19,vs MIA,W 8-1,6.0,4,1,1,0,2,4,8,10,99,24,62,W(5-1),-,2.39
May 13,@ MIA,W 4-3,6.0,1,0,0,0,4,6,7,6,102,23,72,W(4-1),-,2.51
May 8,@ TB,W 1-0,6.0,2,0,0,0,3,6,7,6,108,22,71,W(3-1),-,2.88
May 2,@ NYM,W 7-0,7.0,2,0,0,0,1,8,7,8,97,24,80,W(2-1),-,3.38
Apr 26,@ CIN,W 7-4,6.0,5,4,4,1,3,7,8,8,94,26,50,-,-,4.23
Apr 20,vs NYM,L 5-3,6.0,6,3,2,0,3,5,8,8,105,24,52,-,-,3.74
Apr 14,@ CHC,L 14-10,5.1,6,3,2,1,4,7,7,9,109,27,49,-,-,4.02
Apr 8,@ COL,W 4-0,6.0,5,0,0,0,0,9,9,4,89,22,71,W(1-1),-,4.35
Apr 2,vs WSH,L 8-1,4.1,5,6,5,1,4,6,5,7,97,22,33,L(0-1),-,10.38
