DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CHC,L 8-4,3,2,1,0,0,0,0,2,1,0,0,.600,.333,.933,.333
Mar 30,vs CHC,W 2-1,7,0,2,0,0,0,1,1,1,0,0,.462,.300,.762,.300
Mar 31,vs CHC,L 10-6,5,0,1,0,0,0,2,0,2,0,0,.389,.267,.656,.267
Apr 1,vs CHC,W 6-0,2,1,1,0,0,0,0,2,0,0,0,.455,.294,.749,.294
Apr 2,vs BOS,L 7-3,5,1,3,1,0,0,1,0,1,0,0,.481,.409,.890,.364
Apr 3,vs BOS,L 4-2,6,0,1,0,0,0,0,0,0,0,0,.424,.357,.781,.321
Apr 5,@ PHI,L 5-0,4,0,1,0,0,0,0,0,0,0,0,.405,.344,.749,.313
Apr 7,@ PHI,L 20-1,3,0,1,1,0,0,0,0,0,0,0,.400,.371,.771,.314
Apr 8,@ PHI,W 6-3,2,2,0,0,0,0,0,2,1,0,0,.409,.351,.760,.297
Apr 9,vs NYM,L 4-2,5,1,1,0,0,0,0,0,3,1,0,.388,.333,.721,.286
Apr 10,vs NYM,L 8-6,4,0,2,0,0,0,1,0,0,0,0,.389,.348,.737,.304
Apr 11,vs NYM,L 4-1,4,0,0,0,0,0,0,0,1,0,0,.362,.320,.682,.280
Apr 13,vs PIT,W 7-2,3,1,1,0,0,0,1,0,0,0,0,.355,.321,.676,.283
Apr 14,vs PIT,L 1-0,4,0,2,0,0,0,0,0,1,0,0,.364,.333,.697,.298
Apr 15,vs PIT,L 7-3,4,0,1,0,0,0,0,0,0,0,0,.357,.328,.685,.295
Apr 16,@ NYY,L 12-1,3,0,0,0,0,0,0,0,1,0,0,.342,.313,.655,.281
Apr 17,@ NYY,W 9-1,5,2,2,0,0,0,1,0,2,0,0,.346,.319,.665,.290
Apr 19,@ MIL,L 12-3,4,0,1,0,0,0,0,0,2,0,0,.341,.315,.656,.288
Apr 20,@ MIL,L 8-0,3,0,0,0,0,0,0,1,2,0,0,.337,.303,.640,.276
Apr 21,@ MIL,L 6-5,4,1,3,0,0,0,0,0,0,0,0,.356,.325,.681,.300
Apr 22,@ MIL,L 4-2,4,0,1,0,0,0,0,0,2,0,0,.351,.321,.672,.298
Apr 23,@ LAD,L 2-1,4,1,1,0,0,0,0,0,0,0,0,.347,.318,.665,.295
Apr 24,@ LAD,W 3-2,4,0,1,1,0,0,1,0,1,0,0,.343,.326,.669,.293
Apr 25,@ LAD,W 8-6,4,0,2,1,0,0,0,1,1,0,0,.355,.344,.699,.302
Apr 27,vs COL,L 1-0,4,0,1,0,0,0,0,0,1,0,0,.351,.340,.691,.300
Apr 28,vs COL,W 4-1,3,1,1,0,0,0,0,1,0,0,0,.357,.340,.697,.301
Apr 29,vs COL,W 3-0,3,0,0,0,0,0,1,0,0,0,0,.345,.330,.675,.292
Apr 30,vs PHI,W 8-4,3,2,3,2,0,0,1,1,0,0,0,.366,.367,.733,.312
May 1,vs PHI,W 2-1,4,0,1,0,0,0,0,0,0,0,0,.362,.363,.725,.310
May 2,vs PHI,L 6-0,0,0,0,0,0,0,0,0,0,0,0,.362,.363,.725,.310
May 4,@ CIN,L 4-1,3,0,0,0,0,0,0,1,1,0,0,.359,.353,.712,.302
May 5,@ CIN,W 6-0,4,2,2,1,0,1,3,0,0,0,0,.363,.392,.755,.308
May 6,@ CIN,W 8-5,4,2,2,0,0,0,3,0,1,0,0,.364,.395,.759,.315
May 7,@ CHC,L 14-2,3,0,0,0,0,0,0,0,0,0,0,.357,.386,.743,.307
May 8,@ CHC,L 4-3,4,1,1,0,0,0,0,0,2,0,0,.354,.382,.736,.305
May 9,@ CHC,L 13-4,4,0,0,0,0,0,0,0,1,0,0,.344,.370,.714,.296
May 10,vs ATL,L 9-2,4,0,0,0,0,0,0,0,1,0,0,.335,.360,.695,.288
May 11,vs ATL,W 6-3,4,1,1,0,0,1,2,0,0,0,0,.333,.378,.711,.287
May 12,vs ATL,L 10-5,5,2,2,0,0,0,0,0,1,0,0,.335,.378,.713,.291
May 13,vs ATL,L 4-3,4,1,1,0,0,0,0,0,0,0,0,.333,.375,.708,.289
May 15,vs LAD,W 4-2,3,0,0,0,0,0,0,1,2,0,0,.331,.368,.699,.284
May 16,vs LAD,W 6-5,5,1,4,1,0,0,1,0,1,0,0,.345,.388,.733,.300
May 17,vs LAD,L 7-0,2,0,0,0,0,0,0,0,1,0,0,.341,.383,.724,.296
May 18,@ ATL,W 2-0,4,0,2,1,0,0,1,0,1,0,0,.344,.392,.736,.301
May 19,@ ATL,L 8-1,4,0,0,0,0,0,0,0,1,0,0,.337,.382,.719,.294
May 20,@ ATL,L 10-9,5,1,1,1,0,0,0,0,1,0,0,.333,.383,.716,.291
May 21,@ NYM,L 2-0,4,0,2,0,1,0,0,0,0,1,0,.337,.397,.734,.296
May 22,@ NYM,W 5-1,4,0,1,0,0,0,0,0,1,0,0,.335,.393,.728,.295
May 23,@ NYM,W 2-1,5,0,1,0,0,0,1,0,1,0,0,.332,.388,.720,.293
May 25,vs WSH,L 9-5,5,2,2,0,0,0,0,0,0,0,0,.333,.389,.722,.295
May 26,vs WSH,L 4-1,3,0,0,0,0,0,0,1,1,0,0,.332,.383,.715,.291
May 27,vs WSH,L 5-2,4,0,0,0,0,0,0,0,3,0,0,.326,.375,.701,.285
May 28,@ SD,W 7-2,5,2,2,1,0,0,1,0,1,0,0,.327,.380,.707,.288
May 29,@ SD,L 9-5,Did not play
May 30,@ SD,L 3-2,4,1,1,0,0,1,2,0,1,0,0,.326,.392,.718,.287
May 31,@ SD,L 8-3,4,0,1,0,0,0,0,0,3,0,0,.325,.390,.715,.286
Jun 1,@ ARI,L 9-1,5,0,1,0,0,0,0,0,0,0,0,.322,.385,.707,.284
Jun 2,@ ARI,L 6-2,5,1,2,2,0,0,0,0,0,0,0,.324,.395,.719,.287
Jun 3,@ ARI,L 6-1,3,0,1,0,0,0,0,1,1,0,0,.327,.394,.721,.288
Jun 5,@ STL,W 7-4,4,1,1,0,0,0,0,1,1,0,0,.328,.391,.719,.287
Jun 6,@ STL,W 11-3,6,3,4,3,0,0,0,0,1,0,0,.336,.411,.747,.297
Jun 7,@ STL,L 4-1,4,1,0,0,0,0,0,0,1,0,0,.331,.404,.735,.292
Jun 8,vs SD,W 4-0,3,1,1,0,0,0,0,2,0,1,0,.336,.403,.739,.292
Jun 9,vs SD,L 5-4,3,1,1,1,0,0,0,1,0,0,0,.338,.407,.745,.293
Jun 10,vs SD,L 3-1,3,0,0,0,0,0,0,1,1,0,0,.337,.402,.739,.289
Jun 11,vs SF,W 7-5,4,0,0,0,0,0,0,0,1,0,0,.332,.395,.727,.285
Jun 12,vs SF,W 3-1,4,0,2,0,0,0,1,0,1,0,0,.335,.397,.732,.288
Jun 13,vs SF,W 5-4,3,0,0,0,0,0,0,1,1,0,0,.333,.392,.725,.285
Jun 14,vs SF,L 6-3,6,1,1,0,0,0,0,1,1,0,0,.332,.387,.719,.282
Jun 15,@ BAL,W 2-0,4,0,0,0,0,0,0,0,1,0,0,.328,.381,.709,.278
Jun 16,@ BAL,W 5-4,4,0,0,0,0,0,0,0,2,0,0,.323,.376,.699,.274
Jun 17,@ BAL,L 10-4,4,0,2,2,0,0,0,0,0,0,0,.326,.385,.711,.277
Jun 18,@ SF,W 5-4,4,0,0,0,0,0,0,0,3,0,0,.321,.379,.700,.273
Jun 19,@ SF,L 6-3,4,1,1,0,0,0,0,0,0,0,0,.321,.378,.699,.273
Jun 20,@ SF,L 6-5,4,0,1,0,0,0,2,0,2,0,0,.319,.376,.695,.272
Jun 22,@ COL,L 11-3,4,1,1,0,0,0,0,0,1,0,0,.318,.374,.692,.272
Jun 23,@ COL,W 6-2,4,1,1,0,0,0,0,1,0,0,0,.319,.372,.691,.272
Jun 24,@ COL,W 8-5,5,1,0,0,0,0,0,0,1,0,0,.314,.366,.680,.267
Jun 25,vs ARI,W 9-5,4,1,2,0,0,0,1,0,0,0,0,.316,.368,.684,.270
Jun 26,vs ARI,L 5-3,4,1,1,0,0,1,1,1,0,0,0,.318,.376,.694,.270
