DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,@ DET,W 13-10,5,1,2,0,1,0,0,1,2,0,1,.500,.800,1.300,.400
Apr 1,@ DET,W 1-0,3,0,1,0,0,0,0,0,0,0,0,.444,.625,1.069,.375
Apr 1,@ DET,W 8-6,4,2,1,0,0,1,1,1,1,1,0,.429,.750,1.179,.333
Apr 2,vs MIN,W 5-4,4,1,0,0,0,0,0,1,1,0,0,.368,.563,.931,.250
Apr 4,vs MIN,L 7-3,3,0,1,0,0,0,0,1,0,0,0,.391,.526,.917,.263
Apr 5,vs CIN,W 5-2,3,0,0,0,0,0,0,1,0,0,0,.370,.455,.825,.227
Apr 6,vs CIN,W 14-3,5,1,2,0,1,0,3,0,1,1,0,.375,.519,.894,.259
Apr 7,vs CIN,L 7-4,4,1,1,0,0,0,0,0,1,0,0,.361,.484,.845,.258
Apr 8,vs CIN,W 5-0,4,1,1,1,0,0,0,0,0,0,0,.350,.486,.836,.257
Apr 10,@ CHC,W 8-5,4,2,1,0,0,1,1,1,0,0,0,.356,.538,.894,.256
Apr 11,@ CHC,L 13-5,3,1,1,1,0,0,0,1,1,1,0,.367,.548,.915,.262
Apr 12,@ CHC,W 6-1,5,0,0,0,0,0,0,0,1,0,0,.333,.489,.822,.234
Apr 13,@ MIA,L 7-2,3,0,1,0,0,0,0,1,2,1,1,.345,.480,.825,.240
Apr 14,@ MIA,W 1-0,4,1,1,0,0,0,0,0,0,0,0,.339,.463,.802,.241
Apr 15,@ MIA,W 7-3,5,4,5,0,0,1,1,0,0,0,0,.388,.559,.947,.305
Apr 16,vs COL,L 6-2,3,0,1,0,1,0,1,1,2,1,0,.394,.581,.975,.306
Apr 17,vs COL,L 2-0,3,0,1,0,0,0,0,1,0,0,0,.400,.569,.969,.308
Apr 18,vs COL,W 10-2,4,1,0,0,0,0,0,1,1,0,0,.388,.536,.924,.290
Apr 19,@ PHI,L 7-0,2,0,0,0,0,0,0,1,1,0,0,.386,.521,.907,.282
Apr 20,@ PHI,L 2-1,4,0,1,0,0,0,0,0,0,1,0,.379,.507,.886,.280
Apr 21,@ PHI,L 6-2,4,0,1,0,0,0,1,0,2,0,0,.374,.494,.868,.278
Apr 22,@ PHI,L 3-2,5,0,1,0,0,0,0,0,1,1,0,.365,.476,.841,.274
Apr 25,vs DET,L 13-10,5,2,2,0,0,0,0,0,1,0,0,.366,.472,.838,.281
