DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs ARI,L 5-1,1.0,2,1,1,0,1,1,2,2,30,7,-,-,-,2.14
Jul 21,vs STL,L 6-3,0.1,2,1,1,0,1,0,1,2,15,4,-,-,-,1.99
Jul 21,vs STL,W 7-2,0.2,0,0,0,0,0,0,1,1,3,2,-,-,H(13),1.80
Jul 19,vs STL,W 9-6,1.1,2,1,0,0,0,2,2,2,23,6,-,-,H(12),1.83
Jul 14,@ SD,W 11-6,0.2,0,0,0,0,0,0,1,1,7,2,-,-,-,1.88
Jul 13,@ SD,W 5-4,1.0,1,0,0,0,0,2,1,1,23,4,-,-,-,1.91
Jul 10,@ SF,W 2-0,1.0,0,0,0,0,0,0,1,2,14,3,-,-,Sv(3),1.96
Jul 9,@ SF,L 2-1,1.0,3,1,1,0,0,2,1,3,18,6,-,L(2-1),-,2.01
Jul 8,vs CIN,W 6-5,0.1,0,0,0,0,0,0,0,1,4,2,-,-,H(11),1.83
Jul 3,vs DET,W 5-3,1.0,0,0,0,0,0,2,0,1,15,3,-,-,H(10),1.85
Jul 1,vs MIN,W 11-10,2.0,2,1,1,1,0,1,3,3,29,8,-,-,-,1.89
Jun 28,@ LAD,W 11-5,1.2,0,0,0,0,1,1,2,2,24,6,-,W(2-0),-,1.75
Jun 26,@ LAD,W 9-4,2.0,0,0,0,0,1,3,3,0,32,7,-,-,-,1.83
Jun 23,@ CIN,L 11-2,1.0,1,0,0,0,1,1,1,1,17,4,-,-,-,1.95
Jun 19,vs LAD,W 2-1,1.0,1,0,0,0,1,1,0,3,23,5,-,-,-,2.01
Jun 19,vs LAD,L 4-3,0.2,2,1,1,0,0,0,3,1,14,4,-,-,H(9),2.08
Jun 16,@ STL,W 6-3,0.2,0,0,0,0,0,0,2,0,15,2,-,-,H(8),1.82
Jun 13,@ MIL,L 1-0,0.1,1,0,0,0,0,0,2,0,12,2,-,-,-,1.86
Jun 9,vs PIT,W 2-0,1.0,0,0,0,0,0,1,1,1,17,3,-,-,Sv(2),1.88
Jun 7,vs PHI,W 4-3,0.1,0,0,0,0,0,1,0,0,8,1,-,-,H(7),1.95
Jun 6,vs PHI,W 7-5,1.1,1,1,1,1,0,3,1,1,20,5,-,-,BlSv(2),1.98
Jun 3,@ NYM,W 2-0,0.1,0,0,0,0,0,1,0,0,6,1,-,-,H(6),1.73
Jun 1,@ NYM,W 7-4,0.1,0,0,0,0,0,1,0,0,7,1,-,-,H(5),1.75
May 31,@ NYM,W 5-1,1.0,0,0,0,0,0,2,0,1,15,3,-,-,-,1.78
May 29,@ PIT,W 8-6,1.0,0,0,0,0,0,1,2,0,17,3,-,-,-,1.85
May 28,@ PIT,W 7-0,0.1,0,0,0,0,0,1,0,0,3,1,-,-,H(4),1.93
May 26,vs SF,L 5-4,2.0,3,1,1,0,1,3,3,3,33,10,-,-,-,1.96
May 19,@ CIN,W 10-0,1.0,1,0,0,0,0,1,2,0,12,3,-,-,-,1.71
May 19,@ CIN,L 5-4,0.1,0,0,0,0,0,0,1,0,2,1,-,-,-,1.80
May 16,@ ATL,L 4-1,1.0,0,0,0,0,1,2,0,1,17,4,-,-,-,1.83
May 14,vs ATL,L 6-5,0.1,0,0,0,0,0,0,1,0,4,1,-,-,-,1.93
May 13,vs CHW,L 5-3,1.2,0,0,0,0,0,3,0,2,20,5,-,-,-,1.96
May 8,vs MIA,W 4-3,1.0,0,0,0,0,0,0,2,1,7,3,-,-,-,2.16
May 6,@ STL,L 4-3,0.1,1,0,0,0,0,1,0,1,15,3,-,-,BlSv(1),2.30
May 4,@ STL,L 3-2,2.0,1,0,0,0,1,1,3,3,26,8,-,-,-,2.35
Apr 30,vs COL,W 3-2,0.2,0,0,0,0,1,1,1,0,11,3,-,-,Sv(1),2.70
Apr 28,vs MIL,W 3-0,0.1,0,0,0,0,0,0,1,0,2,1,-,-,-,2.84
Apr 27,vs MIL,W 3-2,0.1,1,1,1,0,2,0,0,2,15,4,-,-,H(3),2.92
Apr 24,@ CLE,W 10-3,1.0,1,0,0,0,1,2,0,2,18,5,-,-,-,2.25
Apr 22,@ COL,W 9-7,1.0,1,3,2,0,2,1,2,1,25,6,-,-,H(2),2.45
Apr 19,vs STL,W 8-5,1.0,0,0,0,0,0,0,1,2,15,4,-,-,-,0.90
Apr 17,vs STL,L 5-3,1.1,2,0,0,0,1,2,4,0,25,7,-,-,-,1.00
Apr 14,vs ATL,W 14-10,1.0,2,0,0,0,1,0,2,2,27,5,-,-,-,1.17
Apr 12,vs PIT,L 6-1,1.1,0,0,0,0,0,1,3,0,17,4,-,-,-,1.35
Apr 7,@ MIL,W 5-2,1.0,1,1,1,0,0,1,1,2,19,5,-,-,-,1.69
Apr 6,@ MIL,L 5-4,0.1,0,0,0,0,0,1,0,0,4,1,-,-,-,0.00
Apr 5,@ MIL,W 8-0,1.0,0,0,0,0,0,0,2,1,4,3,-,-,-,0.00
Mar 31,@ MIA,W 10-6,1.1,0,0,0,0,1,1,2,1,21,5,-,-,H(1),0.00
Mar 29,@ MIA,W 8-4,1.2,1,0,0,0,1,2,1,3,28,7,-,W(1-0),-,0.00
