DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Jun 19,@ WSH,L 9-7,Did not play
Jun 20,@ WSH,W 3-0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Jun 21,@ WSH,L 4-2,2,0,0,0,0,0,0,1,0,0,0,.333,.000,.333,.000
Jun 22,@ ATL,W 10-7,3,1,1,0,0,0,1,0,1,0,0,.333,.200,.533,.200
Jun 27,vs SEA,L 8-7,1,0,0,0,0,0,0,0,1,0,0,.286,.167,.453,.167
Jun 28,vs SEA,L 4-2,4,0,1,0,0,0,0,0,0,1,0,.273,.200,.473,.200
Jun 29,vs LAA,L 7-1,Did not play
Jun 30,vs LAA,L 6-2,4,0,0,0,0,0,0,0,1,0,0,.200,.143,.343,.143
Jul 1,vs LAA,W 8-2,3,1,2,1,0,0,1,0,0,0,0,.278,.294,.572,.235
Jul 3,@ PHI,L 3-2,Did not play
Jul 4,@ PHI,L 4-1,Did not play
Jul 5,@ MIN,L 5-2,Did not play
Jul 6,@ MIN,L 6-2,Did not play
Jul 7,@ MIN,L 5-4,Did not play
Jul 8,@ MIN,L 10-1,Did not play
Jul 9,vs NYY,W 5-4,Did not play
Jul 9,vs NYY,L 10-2,Did not play
Jul 10,vs NYY,W 6-5,Did not play
Jul 11,vs NYY,L 9-0,Did not play
Jul 12,vs PHI,L 5-4,Did not play
Jul 13,vs TEX,L 5-4,Did not play
Jul 14,vs TEX,W 1-0,Did not play
Jul 15,vs TEX,W 6-5,Did not play
Jul 20,@ TOR,L 8-7,Did not play
Jul 21,@ TOR,L 4-1,Did not play
Jul 22,@ TOR,L 5-4,Did not play
Jul 23,vs BOS,L 5-3,Did not play
Jul 24,vs BOS,W 7-6,Did not play
