DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ CHC,L 2-1,1.0,1,1,0,0,2,0,3,0,17,5,-,L(2-2),-,1.78
Jul 11,@ COL,L 19-2,0.1,1,0,0,0,0,0,1,1,5,2,-,-,-,1.81
Jul 8,vs SD,L 4-3,4.0,2,0,0,0,3,2,9,2,53,16,-,-,-,1.82
Jul 7,vs SD,W 20-5,1.0,0,0,0,0,0,0,3,0,11,3,-,-,-,1.95
Jul 5,vs SD,L 6-3,1.0,1,0,0,0,0,0,3,0,12,3,-,-,-,1.99
Jun 30,vs SF,L 7-0,2.0,1,0,0,0,0,2,3,2,26,7,-,-,-,2.03
Jun 29,vs SF,L 2-1,0.2,1,0,0,0,0,0,3,0,8,3,-,-,-,2.10
Jun 25,@ MIA,L 9-5,2.1,1,0,0,0,0,4,3,1,28,8,-,-,-,2.13
Jun 23,@ PIT,W 7-2,1.2,3,1,1,0,0,0,7,1,26,8,-,-,-,2.23
Jun 22,@ PIT,W 2-1,1.0,0,0,0,0,0,0,2,1,6,3,-,-,Sv(1),2.12
Jun 19,@ LAA,L 5-4,1.0,1,0,0,0,0,1,3,0,16,4,-,-,-,2.17
Jun 16,vs NYM,L 5-1,2.0,1,0,0,0,2,1,3,3,38,9,-,-,-,2.22
Jun 13,vs PIT,L 5-4,2.1,1,0,0,0,1,4,2,1,37,8,-,-,-,2.32
Jun 10,@ COL,W 8-3,1.1,3,1,1,0,0,0,6,1,29,7,-,-,-,2.45
Jun 8,@ COL,W 9-4,1.0,1,0,0,0,0,0,3,1,12,4,-,-,-,2.31
Jun 4,@ SF,L 10-3,1.2,3,2,2,1,0,1,3,3,27,8,-,-,-,2.37
Jun 2,vs MIA,W 6-2,1.0,2,1,1,1,0,0,2,3,21,5,-,-,-,1.98
May 30,vs CIN,L 7-4,1.0,2,1,1,0,2,0,4,1,27,7,-,-,-,1.78
May 28,vs CIN,W 12-5,2.0,3,0,0,0,0,0,6,2,28,8,-,-,-,1.57
May 23,@ MIL,L 9-2,2.0,1,0,0,0,1,0,4,1,25,6,-,-,-,1.67
May 22,@ MIL,L 1-0,1.0,1,0,0,0,0,1,2,0,13,3,-,-,-,1.78
May 20,@ NYM,L 4-1,1.0,1,0,0,0,0,0,4,0,8,4,-,-,-,1.84
May 16,vs MIL,L 8-2,2.2,1,0,0,0,1,1,4,4,40,10,-,-,-,1.91
May 12,vs WSH,L 2-1,3.0,3,0,0,0,1,2,4,5,45,12,-,-,-,2.10
May 8,@ LAD,W 8-5,1.1,0,0,0,0,0,1,0,3,16,4,-,W(2-1),-,2.38
May 4,vs HOU,L 8-0,4.1,5,1,1,0,0,3,5,10,59,18,-,-,-,2.53
May 2,vs LAD,L 2-1,1.0,1,1,1,0,0,0,1,3,22,4,-,-,-,2.65
Apr 29,@ WSH,L 3-1,4.2,5,3,2,2,3,1,12,6,77,22,-,L(1-1),-,2.25
Apr 26,@ PHI,W 8-2,2.0,3,0,0,0,0,1,4,3,33,8,-,-,-,1.59
Apr 24,@ PHI,W 8-4,1.0,0,0,0,0,0,2,1,0,14,3,-,-,-,1.93
Apr 21,vs SD,W 6-2,2.0,1,0,0,0,0,1,4,1,17,6,-,-,-,2.16
Apr 14,@ LAD,W 9-1,4.0,2,0,0,0,0,1,9,4,59,14,-,W(1-0),-,2.84
Apr 13,@ LAD,W 8-7,0.1,2,1,1,0,0,0,3,0,13,3,-,-,-,7.71
Apr 3,vs LAD,W 6-1,1.0,0,0,0,0,0,1,1,1,10,3,-,-,-,4.50
Apr 2,vs LAD,W 8-7,1.0,2,1,1,0,0,1,4,0,25,5,-,-,-,9.00
