DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,@ KC,L 4-2,0.0,0,1,1,0,2,0,0,0,12,2,-,-,-,INF
Jul 20,@ KC,L 6-5,0.2,0,0,0,0,0,1,1,0,8,2,-,-,-,3.79
Jul 15,vs TB,W 11-7,1.1,0,0,0,0,0,1,3,0,20,4,-,-,-,3.86
Jul 13,vs TB,W 11-8,0.2,1,0,0,0,0,1,2,0,12,3,-,-,H(5),3.99
Jul 10,vs KC,L 9-4,2.1,0,0,0,0,1,2,3,1,37,7,-,-,-,4.06
Jul 8,vs BAL,W 10-1,1.0,0,0,0,0,0,0,2,1,8,3,-,-,-,4.33
Jul 2,@ MIL,L 6-5,0.1,0,0,0,0,0,0,0,1,5,1,-,-,H(4),4.46
Jul 1,@ CHC,L 11-10,2.0,2,2,2,1,1,3,2,3,34,9,-,-,-,4.50
Jun 28,@ CHW,W 2-1,1.1,2,0,0,0,0,2,1,2,19,5,-,-,-,4.22
Jun 26,@ CHW,L 8-4,0.1,1,0,0,0,0,0,0,2,11,2,-,-,BlSv(2),4.40
Jun 22,vs TEX,L 8-1,1.0,1,0,0,0,0,1,3,0,17,4,-,-,-,4.45
Jun 21,vs BOS,L 9-2,0.2,0,0,0,0,0,0,2,0,8,2,-,-,-,4.60
Jun 20,vs BOS,W 4-1,1.0,0,0,0,0,0,2,0,1,15,3,-,-,H(3),4.71
Jun 17,@ CLE,L 4-1,1.1,1,0,0,0,0,3,2,0,22,5,-,-,-,4.88
Jun 15,@ CLE,W 6-3,0.2,3,2,2,1,0,0,2,3,19,5,-,-,-,5.13
Jun 10,vs LAA,W 7-5,1.0,0,0,0,0,0,1,0,2,10,3,-,-,H(2),4.56
Jun 6,vs CHW,L 5-2,1.0,0,0,0,0,0,2,0,1,15,3,-,-,-,4.74
Jun 5,vs CHW,L 6-3,1.0,0,0,0,0,0,2,1,0,11,3,-,-,-,4.94
Jun 3,vs CLE,W 7-5,1.1,1,0,0,0,0,2,2,1,18,5,-,-,-,5.16
May 31,vs CLE,L 9-8,1.1,3,0,0,0,0,1,3,2,28,6,-,-,-,5.48
May 29,@ KC,L 2-1,0.1,1,1,1,1,0,0,0,2,8,2,-,L(1-2),-,5.85
May 28,@ KC,W 8-5,0.1,0,0,0,0,0,0,0,1,4,1,-,-,H(1),5.49
May 23,vs DET,L 4-1,0.2,1,1,1,0,0,0,1,1,6,2,-,-,-,5.59
May 20,vs MIL,W 3-1,0.2,0,0,0,0,0,2,0,0,7,2,-,-,-,5.30
May 19,vs MIL,L 5-4,1.1,1,0,0,0,0,2,1,1,18,4,-,-,-,5.50
May 16,vs STL,L 7-5,1.2,2,1,1,0,0,0,3,4,22,7,-,-,-,5.94
May 13,@ LAA,L 2-1,1.0,1,0,0,0,2,1,1,2,26,6,-,-,-,6.00
May 11,@ LAA,W 5-4,0.2,1,0,0,0,0,0,2,1,9,3,-,-,-,6.43
May 8,@ STL,W 7-1,1.0,0,0,0,0,0,2,1,0,11,3,-,-,-,6.75
May 3,@ CHW,L 6-5,1.2,0,0,0,0,0,3,1,1,17,5,-,-,-,7.30
Apr 29,vs CIN,L 8-2,0.2,3,3,3,0,0,1,2,2,23,5,-,-,-,8.44
Apr 27,vs CIN,L 15-9,0.1,3,0,0,0,0,1,2,1,14,4,-,-,-,6.30
Apr 25,@ NYY,L 7-4,1.0,1,1,1,0,3,0,1,3,25,7,-,-,-,6.52
Apr 24,@ NYY,L 8-3,1.0,0,0,0,0,0,2,1,0,12,3,-,-,-,6.23
Apr 22,@ TB,L 8-6,0.2,3,3,3,0,0,1,1,3,19,5,-,-,BlSv(1),7.04
Apr 20,@ TB,L 8-7,0.0,1,1,1,0,0,0,0,1,6,1,-,-,-,INF
Apr 18,vs CLE,W 2-1,1.1,0,0,0,0,0,1,2,1,11,4,-,-,-,2.57
Apr 17,vs CLE,L 6-1,1.2,2,1,1,0,0,0,3,4,25,7,-,-,-,3.18
Apr 9,vs HOU,L 2-0,0.2,1,1,1,0,0,0,2,1,7,3,-,L(1-1),-,2.25
Apr 5,vs SEA,W 4-2,1.2,0,0,0,0,1,0,2,2,21,5,-,-,-,0.00
Apr 4,@ PIT,W 7-3,0.2,1,0,0,0,0,1,0,1,7,2,-,W(1-0),-,0.00
Apr 2,@ PIT,L 5-4,1.0,1,0,0,0,0,0,1,2,11,3,-,-,-,0.00
