DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Sep 19,vs STL,L 8-7,1.0,2,2,2,0,1,0,2,3,25,7,-,L(5-11),-,5.52
Sep 7,@ NYM,L 7-2,1.0,3,2,2,2,1,1,2,3,29,7,-,-,-,5.41
Sep 3,@ PIT,L 3-1,1.0,1,1,1,1,1,1,0,3,17,5,-,-,-,5.31
Aug 30,vs NYM,L 2-0,3.0,1,0,0,0,0,2,3,5,43,10,-,-,-,5.28
Aug 25,vs PIT,W 9-5,1.0,2,3,3,1,1,2,0,3,39,6,-,-,H(2),5.42
Aug 20,@ ATL,L 8-1,3.1,2,0,0,0,0,1,5,6,31,12,-,-,-,5.23
Aug 17,@ CHC,W 13-10,1.0,1,1,1,0,1,2,0,2,23,5,-,-,H(1),5.38
Aug 13,@ MIL,L 7-4,1.0,0,0,0,0,0,1,1,1,10,3,-,-,-,5.35
Aug 12,@ MIL,L 6-5,0.2,1,1,1,0,2,0,0,3,20,5,-,L(5-10),-,5.40
Aug 7,vs SD,W 11-3,4.2,6,2,2,1,1,4,8,7,76,20,47,-,-,5.35
Jul 29,@ MIA,L 7-3,4.1,6,6,6,1,4,2,5,11,84,22,25,L(5-9),-,5.42
Jul 24,@ CLE,L 6-2,6.0,6,5,5,1,3,4,5,13,103,25,41,L(5-8),-,5.11
Jul 19,vs ARI,W 4-3,6.0,7,3,3,1,0,7,5,13,97,25,53,-,-,4.96
Jul 14,vs WSH,L 5-0,4.1,7,5,5,2,3,4,2,14,98,23,30,L(5-7),-,4.99
Jul 7,@ ARI,L 6-3,5.0,6,4,3,1,1,4,5,12,91,23,44,L(5-6),-,4.71
Jul 2,vs CHC,L 6-2,5.0,6,3,3,2,1,5,7,8,93,21,47,L(5-5),-,4.67
Jun 27,vs MIL,W 8-6,5.0,5,5,5,3,3,7,4,8,94,23,41,W(5-4),-,4.62
Jun 21,@ TB,L 8-3,5.0,7,3,3,1,4,7,2,11,95,24,44,L(4-4),-,4.30
Jun 16,vs LAD,L 3-1,6.0,5,2,2,1,4,4,10,8,108,27,54,L(4-3),-,4.22
Jun 11,@ LAD,L 9-7,5.0,5,3,2,2,2,4,6,11,75,23,49,-,-,4.34
Jun 6,vs STL,W 13-1,7.0,3,1,1,1,2,7,5,11,110,25,72,W(4-2),-,4.42
May 31,@ TOR,L 5-4,6.0,6,3,3,1,2,5,5,12,95,24,51,-,-,4.89
May 26,@ PHI,W 5-2,8.0,1,0,0,0,2,4,14,5,100,26,82,W(3-2),-,4.95
May 20,vs COL,W 12-8,4.2,7,6,6,0,4,4,5,11,98,24,26,-,-,6.19
May 14,@ SF,L 8-3,1.0,3,4,3,0,2,0,4,3,25,9,31,L(2-2),-,5.27
May 9,vs NYY,W 5-3,5.0,5,3,3,2,2,6,5,7,83,20,49,W(2-1),-,4.44
May 4,vs PIT,W 4-2,6.0,6,2,2,0,1,5,6,13,88,25,56,W(1-1),-,4.22
Apr 28,@ STL,L 7-5,5.1,8,6,5,2,1,3,10,10,86,24,32,L(0-1),-,4.70
Apr 21,vs CHC,L 6-5,6.0,4,2,2,2,2,7,5,9,92,24,61,-,-,2.70
Apr 16,vs MIL,L 4-2,4.0,2,1,1,1,0,5,2,7,57,14,-,-,-,2.25
