DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ MIA,W 8-4,1,0,1,1,0,0,2,0,0,0,0,1.000,2.000,3.000,1.000
Mar 30,@ MIA,L 2-1,1,0,0,0,0,0,0,0,1,0,0,.500,1.000,1.500,.500
Mar 31,@ MIA,W 10-6,1,0,0,0,0,0,0,0,0,0,0,.333,.667,1.000,.333
Apr 1,@ MIA,L 6-0,1,0,1,0,0,0,0,0,0,0,0,.500,.750,1.250,.500
Apr 2,@ CIN,L 1-0,Did not play
Apr 5,@ MIL,W 8-0,1,0,0,0,0,0,0,0,0,0,0,.400,.600,1.000,.400
Apr 6,@ MIL,L 5-4,1,0,1,1,0,0,0,0,0,0,0,.500,.833,1.333,.500
Apr 7,@ MIL,W 5-2,5,0,1,0,0,0,0,0,0,0,0,.364,.545,.909,.364
Apr 8,@ MIL,W 3-0,1,0,0,0,0,0,0,0,0,0,0,.333,.500,.833,.333
Apr 10,vs PIT,L 8-5,1,0,0,0,0,0,0,0,0,0,0,.308,.462,.770,.308
Apr 11,vs PIT,W 13-5,1,1,0,0,0,0,1,0,0,0,0,.286,.429,.715,.286
Apr 12,vs PIT,L 6-1,1,0,0,0,0,0,0,0,0,0,0,.267,.400,.667,.267
Apr 13,vs ATL,L 4-0,4,0,1,0,0,0,0,0,2,0,0,.263,.368,.631,.263
Apr 14,vs ATL,W 14-10,1,1,1,0,0,0,1,1,0,0,0,.333,.400,.733,.300
Apr 17,vs STL,L 5-3,1,0,0,0,0,0,0,0,1,0,0,.318,.381,.699,.286
Apr 19,vs STL,W 8-5,0,0,0,0,0,0,0,1,0,0,0,.348,.381,.729,.286
Apr 20,@ COL,W 16-5,0,1,0,0,0,0,0,1,0,0,0,.375,.381,.756,.286
Apr 21,@ COL,L 5-2,1,0,0,0,0,0,0,0,0,0,0,.360,.364,.724,.273
Apr 22,@ COL,W 9-7,3,2,2,0,0,0,1,0,1,0,0,.393,.400,.793,.320
Apr 24,@ CLE,W 10-3,5,0,1,0,0,0,2,0,1,0,0,.364,.367,.731,.300
Apr 25,@ CLE,L 4-1,3,0,0,0,0,0,0,0,1,0,0,.333,.333,.666,.273
Apr 26,vs MIL,W 1-0,3,0,0,0,0,0,0,0,0,0,0,.308,.306,.614,.250
Apr 27,vs MIL,W 3-2,Did not play
Apr 28,vs MIL,W 3-0,1,0,1,0,0,0,2,0,0,0,0,.325,.324,.649,.270
Apr 29,vs MIL,W 2-0,Did not play
Apr 30,vs COL,W 3-2,Did not play
May 1,vs COL,L 3-1,1,0,0,0,0,0,0,0,0,0,0,.317,.316,.633,.263
May 2,vs COL,L 11-2,Did not play
May 4,@ STL,L 3-2,1,0,1,0,0,0,1,0,0,0,0,.333,.333,.666,.282
May 5,@ STL,L 8-6,0,0,0,0,0,0,0,1,0,0,0,.349,.333,.682,.282
May 6,@ STL,L 4-3,1,0,0,0,0,0,0,0,0,0,0,.341,.325,.666,.275
May 7,vs MIA,W 14-2,1,0,1,0,0,0,1,0,0,0,0,.356,.341,.697,.293
May 8,vs MIA,W 4-3,4,0,1,0,0,0,0,0,1,0,0,.347,.333,.680,.289
May 9,vs MIA,W 13-4,0,0,0,0,0,0,0,0,0,0,0,.347,.333,.680,.289
May 11,vs CHW,W 11-2,1,0,1,0,0,0,0,0,0,0,0,.360,.348,.708,.304
May 12,vs CHW,W 8-4,Did not play
May 13,vs CHW,L 5-3,1,0,1,0,0,0,0,0,0,0,0,.373,.362,.735,.319
May 14,vs ATL,L 6-5,4,1,1,0,0,0,0,0,0,0,0,.364,.353,.717,.314
May 15,@ ATL,W 3-2,1,0,0,0,0,0,0,0,0,0,0,.357,.346,.703,.308
May 16,@ ATL,L 4-1,1,0,0,0,0,0,0,0,0,0,0,.351,.340,.691,.302
May 18,@ CIN,W 8-1,Did not play
May 19,@ CIN,L 5-4,1,1,1,0,0,0,0,0,0,0,0,.362,.352,.714,.315
May 19,@ CIN,W 10-0,5,0,3,0,0,0,0,0,0,0,0,.381,.373,.754,.339
May 20,@ CIN,W 6-1,0,1,0,0,0,0,0,2,0,0,0,.400,.373,.773,.339
May 22,vs CLE,L 10-1,Did not play
May 23,vs CLE,L 1-0,Did not play
May 25,vs SF,W 6-2,0,1,0,0,0,0,0,1,0,0,0,.409,.373,.782,.339
May 26,vs SF,L 5-4,1,0,0,0,0,0,0,0,0,0,0,.403,.367,.770,.333
May 27,vs SF,W 8-3,1,1,1,0,0,0,1,0,0,0,0,.412,.377,.789,.344
May 28,@ PIT,W 7-0,1,0,0,0,0,0,0,2,0,0,0,.423,.371,.794,.339
May 29,@ PIT,W 8-6,Did not play
May 30,@ PIT,L 2-1,1,0,0,0,0,0,0,0,0,0,0,.417,.365,.782,.333
May 31,@ NYM,W 5-1,1,0,1,0,0,0,0,0,0,0,0,.425,.375,.800,.344
