DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs STL,W 9-4,Did not play
Mar 31,vs STL,W 6-2,3,1,1,0,0,1,1,1,1,0,0,.500,1.333,1.833,.333
Apr 1,vs STL,L 5-1,Did not play
Apr 3,vs PHI,W 2-0,3,0,1,0,0,0,1,0,1,0,0,.429,.833,1.262,.333
Apr 4,vs PHI,W 4-2,Did not play
Apr 5,@ WSH,W 8-2,Did not play
Apr 7,@ WSH,W 3-2,4,0,1,0,0,0,1,0,2,0,0,.364,.600,.964,.300
Apr 8,@ WSH,W 6-5,5,0,0,0,0,0,0,0,1,0,0,.250,.400,.650,.200
Apr 9,@ MIA,W 4-2,Did not play
Apr 10,@ MIA,W 8-6,Did not play
Apr 11,@ MIA,W 4-1,Did not play
Jul 3,@ TOR,L 8-6,Did not play
Jul 4,@ TOR,W 6-3,Did not play
Jul 6,vs TB,W 5-1,Did not play
Jul 7,vs TB,L 3-0,Did not play
Jul 8,vs TB,L 9-0,Did not play
Jul 9,vs PHI,W 4-3,Did not play
Jul 9,vs PHI,L 3-1,Did not play
Jul 10,vs PHI,L 7-3,Did not play
Jul 11,vs PHI,W 3-0,Did not play
Jul 12,vs WSH,L 5-4,Did not play
Jul 13,vs WSH,W 4-2,Did not play
Jul 14,vs WSH,W 7-4,Did not play
Jul 15,vs WSH,L 6-1,Did not play
Jul 20,@ NYY,W 7-5,Did not play
Jul 21,@ NYY,L 7-6,Did not play
Jul 23,vs SD,L 3-2,Did not play
Jul 24,vs SD,W 6-3,Did not play
