DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,vs SF,W 4-3,5.2,2,1,1,1,3,5,7,6,79,21,63,-,-,2.95
Jul 12,@ HOU,W 6-4,3.2,3,3,3,0,3,3,6,5,83,17,43,-,-,3.10
Jun 2,@ KC,L 5-4,4.2,7,4,4,0,2,6,8,4,93,21,38,-,-,2.77
May 28,vs TB,L 1-0,8.0,4,0,0,0,0,6,13,9,97,28,80,-,-,2.25
May 22,vs SEA,L 3-2,7.0,4,2,2,1,2,3,12,9,102,27,62,-,-,2.75
May 16,@ BOS,L 6-4,5.0,5,3,3,1,1,1,12,6,88,20,45,L(1-2),-,2.79
May 5,vs BAL,W 2-0,6.0,4,0,0,0,1,12,7,2,98,22,75,-,-,2.25
Apr 29,@ HOU,L 8-4,6.0,4,4,3,1,1,5,9,8,81,24,54,L(1-1),-,3.00
Apr 23,@ TEX,W 9-4,5.0,4,3,3,1,2,6,6,6,98,20,51,-,-,2.25
Apr 17,vs CHW,W 10-2,7.0,5,0,0,0,2,8,11,5,92,26,73,W(1-0),-,0.00
