DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ TOR,W 12-6,1.0,3,3,3,0,1,0,2,1,20,7,-,-,BlSv(2),3.83
Jul 24,@ TOR,W 5-0,1.0,1,0,0,0,0,1,1,1,12,3,-,-,-,3.35
Jul 22,@ KC,L 5-3,0.1,1,1,1,1,0,0,1,1,9,2,-,-,-,3.42
Jul 21,@ KC,L 4-2,1.0,1,0,0,0,0,0,3,1,9,4,-,-,-,3.26
Jul 15,vs TB,W 11-7,1.0,4,3,3,0,1,0,2,5,27,8,-,-,BlSv(1),3.33
Jul 13,vs TB,W 11-8,1.0,0,0,0,0,0,3,0,0,17,3,-,W(2-2),-,2.80
Jul 9,vs KC,W 3-1,1.0,0,0,0,0,0,2,1,0,11,3,-,-,H(14),2.86
Jul 7,vs BAL,W 5-4,1.0,1,0,0,0,0,1,0,3,23,4,-,-,H(13),2.93
Jul 5,vs BAL,W 5-2,1.0,1,0,0,0,1,2,1,1,16,5,-,-,H(12),3.00
Jul 2,@ MIL,L 6-5,1.1,0,0,0,0,0,2,1,1,15,4,-,-,H(11),3.07
Jun 30,@ CHC,L 14-9,0.1,4,5,5,0,4,0,1,4,24,9,-,L(1-2),-,3.18
Jun 28,@ CHW,W 2-1,1.0,0,0,0,0,0,1,1,1,8,3,-,-,H(10),2.06
Jun 24,vs TEX,W 2-0,1.0,0,0,0,0,0,0,3,0,9,3,-,-,H(9),2.11
Jun 23,vs TEX,L 9-6,1.0,0,0,0,0,0,2,1,0,13,3,-,-,-,2.17
Jun 20,vs BOS,W 4-1,1.0,0,0,0,0,0,1,1,1,17,3,-,-,H(8),2.23
Jun 19,vs BOS,W 6-2,0.2,0,0,0,0,1,1,1,0,14,3,-,-,H(7),2.29
Jun 15,@ CLE,W 6-3,1.0,1,0,0,0,0,1,0,2,15,3,-,-,-,2.34
Jun 12,@ DET,W 6-4,1.2,1,0,0,0,0,2,2,2,23,6,-,-,H(6),2.41
Jun 9,vs LAA,L 2-1,1.0,1,0,0,0,0,0,1,2,15,4,-,-,-,2.53
Jun 6,vs CHW,L 5-2,1.0,1,0,0,0,1,1,1,3,23,6,-,-,-,2.61
Jun 5,vs CHW,L 6-3,1.0,0,0,0,0,0,1,1,1,8,3,-,-,-,2.70
Jun 2,vs CLE,W 7-1,1.0,1,0,0,0,0,1,2,1,18,4,-,-,-,2.79
Jun 1,vs CLE,W 7-4,1.0,1,0,0,0,0,1,2,1,11,4,-,-,H(5),2.89
May 29,@ KC,L 2-1,2.0,1,0,0,0,0,1,4,1,20,6,-,-,-,3.00
May 28,@ KC,W 8-5,0.1,1,0,0,0,0,0,1,1,5,2,-,-,H(4),3.24
May 26,@ SEA,L 4-3,2.0,0,0,0,0,0,1,3,2,20,6,-,-,-,3.28
May 23,vs DET,L 4-1,1.1,1,0,0,0,0,2,2,1,23,5,-,-,-,3.57
May 18,vs MIL,L 8-3,1.2,2,1,1,1,0,2,2,3,29,7,-,-,-,3.80
May 14,vs SEA,L 1-0,1.0,2,1,1,0,0,1,2,3,17,6,-,L(1-1),-,3.66
May 12,@ LAA,W 5-3,1.0,0,0,0,0,2,0,2,1,17,6,-,W(1-0),-,3.38
May 11,@ LAA,W 5-4,1.1,0,0,0,0,0,3,1,0,17,4,-,-,-,3.57
May 10,@ LAA,L 7-4,1.0,2,1,1,1,0,0,2,3,14,5,-,-,-,3.86
May 7,@ STL,W 6-0,1.0,0,0,0,0,0,1,2,0,8,3,-,-,-,3.52
May 4,@ CHW,W 6-4,1.0,1,0,0,0,0,1,2,1,11,4,-,-,H(3),3.77
May 2,vs TOR,W 4-0,0.1,0,0,0,0,0,0,0,1,2,1,-,-,H(2),4.05
Apr 30,vs TOR,L 7-5,2.0,0,0,0,0,0,2,3,1,17,6,-,-,-,4.15
Apr 27,vs CIN,L 15-9,1.0,2,1,1,0,0,1,1,3,15,5,-,-,-,4.91
Apr 25,@ NYY,L 7-4,0.1,0,0,0,0,0,0,0,1,9,1,-,-,-,4.50
Apr 23,@ NYY,L 14-1,1.2,2,1,1,0,1,2,0,5,29,8,-,-,-,4.66
Apr 22,@ TB,L 8-6,0.1,0,0,0,0,0,1,0,0,7,1,-,-,-,4.50
Apr 18,vs CLE,W 2-1,0.2,2,1,1,1,0,1,1,2,17,4,-,-,-,4.70
Apr 11,vs HOU,W 9-8,1.2,3,1,1,1,0,1,4,3,22,8,-,-,-,3.86
Apr 9,vs HOU,L 2-0,1.1,1,0,0,0,0,0,3,2,20,5,-,-,-,3.38
Apr 7,vs SEA,L 11-4,0.2,2,2,2,1,0,1,0,3,12,4,-,-,-,4.50
Apr 4,@ PIT,W 7-3,2.0,0,0,0,0,1,0,4,2,30,7,-,-,H(1),0.00
Apr 2,@ PIT,L 5-4,1.0,0,0,0,0,0,0,1,2,8,3,-,-,-,0.00
Mar 29,@ BAL,L 3-2,0.1,0,0,0,0,2,0,1,0,9,3,-,-,-,0.00
