DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,@ CLE,W 7-0,6.0,4,0,0,0,2,1,11,10,84,24,63,W(8-7),-,4.11
Jul 11,vs WSH,W 2-0,5.0,4,0,0,0,3,3,5,11,81,22,59,W(7-7),-,4.36
Jul 6,vs PHI,L 17-5,2.1,5,5,5,1,2,0,4,8,51,15,25,L(6-7),-,4.60
Jun 30,@ SD,L 4-3,4.2,4,4,4,1,2,4,4,10,75,20,42,L(6-6),-,4.22
Jun 24,vs ARI,L 3-0,6.0,5,3,3,2,0,6,11,6,76,23,56,L(6-5),-,4.03
Jun 18,vs MIL,W 1-0,7.0,1,0,0,0,2,7,5,10,96,25,80,W(6-4),-,4.00
Jun 12,@ ARI,L 13-8,3.0,6,8,3,0,2,2,8,6,80,18,-,L(5-4),-,4.38
Jun 6,vs LAD,W 11-9,3.0,4,4,4,1,2,2,7,4,65,15,35,-,-,4.18
May 31,@ STL,L 10-8,5.0,9,5,5,0,2,4,9,11,97,26,31,-,-,3.84
May 26,vs STL,L 4-1,4.0,7,4,4,1,0,3,6,8,65,18,35,L(5-3),-,3.43
May 20,vs SD,L 8-5,6.0,4,4,4,1,0,5,10,8,82,23,53,-,-,3.05
May 15,vs CHW,W 7-0,7.0,6,0,0,0,0,6,6,15,94,27,-,W(5-2),-,2.72
May 9,@ CHW,W 6-5,5.0,7,4,4,2,2,3,8,9,92,22,38,-,-,3.13
May 3,@ WSH,L 3-1,5.2,4,3,3,2,1,3,11,7,90,22,51,L(4-2),-,2.63
Apr 28,vs STL,W 6-2,6.0,4,2,2,0,2,2,5,15,104,24,56,W(4-1),-,2.29
Apr 22,@ PHI,L 3-2,6.0,1,2,2,0,5,7,2,9,92,23,64,-,-,2.15
Apr 17,vs COL,L 2-0,6.0,4,2,2,0,3,4,8,9,97,24,57,L(3-1),-,1.93
Apr 12,@ CHC,W 6-1,6.0,4,1,1,1,1,5,7,10,94,23,64,W(3-0),-,1.56
Apr 6,vs CIN,W 14-3,5.1,10,2,2,0,1,4,8,13,90,26,43,W(2-0),-,1.59
Apr 1,@ DET,W 1-0,6.0,0,0,0,0,5,1,8,6,85,20,68,W(1-0),-,0.00
