DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,vs STL,W 7-2,5.1,1,1,1,1,6,2,6,8,85,23,58,W(4-5),-,4.84
Jul 13,@ SD,W 5-4,5.0,5,3,3,1,3,2,10,7,74,23,44,-,-,5.04
Jul 7,vs CIN,W 8-7,5.2,9,7,7,1,4,4,13,9,120,30,23,-,-,5.01
Jun 30,vs MIN,W 14-9,5.0,7,7,7,1,3,6,6,10,103,25,28,-,-,4.54
Jun 19,vs LAD,L 4-3,5.0,2,1,1,1,5,6,6,5,101,23,60,-,-,3.95
Jun 12,@ MIL,L 4-0,5.0,5,4,4,0,2,5,12,3,97,22,-,L(3-5),-,4.12
Jun 7,vs PHI,W 4-3,4.2,4,1,1,0,7,6,8,3,107,25,51,-,-,3.86
Jun 1,@ NYM,W 7-4,5.1,4,2,2,1,4,3,9,7,96,23,51,-,-,4.02
May 27,vs SF,W 8-3,2.2,6,3,3,0,5,3,7,4,88,19,32,-,-,4.10
May 22,vs CLE,L 10-1,2.2,4,4,4,1,6,1,5,5,74,17,29,L(3-4),-,3.74
May 16,@ ATL,L 4-1,5.1,4,1,1,0,2,2,7,9,79,20,56,-,-,3.14
May 11,vs CHW,W 11-2,5.0,3,2,2,0,5,6,5,5,92,21,54,W(3-3),-,3.35
May 5,@ STL,L 8-6,4.0,3,4,3,0,5,5,6,5,89,23,42,-,-,3.31
Apr 29,vs MIL,W 2-0,7.0,2,0,0,0,3,4,9,8,90,24,74,W(2-3),-,2.83
Apr 24,@ CLE,W 10-3,6.0,4,1,1,0,5,5,9,5,92,24,60,W(1-3),-,3.74
Apr 17,vs STL,L 5-3,4.2,1,2,2,0,7,7,4,4,97,22,54,L(0-3),-,4.60
Apr 10,vs PIT,L 8-5,5.0,9,5,5,1,1,7,8,9,100,25,35,L(0-2),-,4.91
Apr 2,@ CIN,L 1-0,6.0,4,1,1,0,6,4,10,7,92,27,58,L(0-1),-,1.50
