DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 20,vs HOU,L 3-1,6.0,6,3,3,0,3,1,11,11,94,26,46,L(7-6),-,2.68
Jul 12,vs SEA,W 11-2,6.0,5,1,1,0,1,5,10,7,80,23,62,W(7-5),-,2.57
Jun 30,@ BAL,W 6-2,5.0,4,2,1,0,1,6,9,5,79,21,-,-,-,2.64
Jun 25,@ KC,L 2-0,7.0,7,1,1,0,2,8,4,12,110,26,65,L(6-5),-,2.69
Jun 15,@ OAK,W 8-4,7.0,7,2,0,0,1,8,9,9,102,27,-,W(6-4),-,2.81
Jun 9,@ MIN,W 2-1,7.0,5,1,1,0,1,8,7,10,112,26,70,W(5-4),-,3.08
Jun 3,vs TEX,W 3-1,6.0,4,0,0,0,3,6,6,9,107,24,-,W(4-4),-,3.27
May 28,@ DET,L 9-3,5.0,6,5,5,1,3,5,8,7,82,23,37,L(3-4),-,3.60
May 23,@ TOR,W 5-4,5.0,6,3,3,2,0,6,3,12,91,23,49,-,-,3.11
May 17,vs TB,L 7-1,6.0,6,1,1,1,3,7,7,8,95,25,60,L(3-3),-,2.88
May 11,vs MIN,L 5-4,6.0,6,2,2,2,2,7,9,6,98,24,57,-,-,3.07
May 5,@ SEA,L 9-8,5.1,6,2,2,0,1,7,8,7,93,23,-,-,-,3.08
Apr 29,vs NYY,L 2-1,5.1,3,2,2,1,2,8,5,6,99,21,60,L(3-2),-,3.03
Apr 23,@ HOU,W 2-0,7.0,4,0,0,0,1,3,12,9,102,25,71,W(3-1),-,2.96
Apr 18,vs BOS,L 9-0,4.1,8,6,6,1,1,4,11,7,98,23,-,L(2-1),-,3.98
Apr 10,@ TEX,W 11-1,5.0,5,1,1,0,4,7,6,8,114,25,56,W(2-0),-,1.69
Apr 4,vs CLE,W 3-2,4.2,5,2,2,0,2,5,7,6,103,20,-,-,-,1.64
Mar 30,@ OAK,W 2-1,6.1,3,0,0,0,0,5,8,9,98,23,72,W(1-0),-,0.00
